,time,open,high,low,close,volume
0,2021-05-10,0.027258,0.039960,0.024929,0.034839,11148362801
1,2021-05-11,0.034835,0.037709,0.027675,0.030494,39894056282
2,2021-05-12,0.030487,0.031556,0.015000,0.018181,111299141702
3,2021-05-13,0.018173,0.022807,0.014450,0.020690,112036196185
4,2021-05-14,0.020672,0.021553,0.018173,0.018415,39444778187
5,2021-05-15,0.018415,0.018942,0.015005,0.015580,54354846499
6,2021-05-16,0.015580,0.019305,0.012255,0.017764,69279813844
7,2021-05-17,0.017748,0.017843,0.013940,0.016475,71742670716
8,2021-05-18,0.016476,0.017545,0.015170,0.015606,35778310991
9,2021-05-19,0.015604,0.015800,0.004750,0.009115,104122357098
10,2021-05-20,0.009126,0.012176,0.007923,0.009661,91997824173
11,2021-05-21,0.009656,0.010369,0.005957,0.008078,85774591741
12,2021-05-22,0.008077,0.009789,0.006605,0.008381,69458696527
13,2021-05-23,0.008388,0.009378,0.006702,0.008077,92208628944
14,2021-05-24,0.008077,0.012111,0.007669,0.010644,83176441654
15,2021-05-25,0.010645,0.011150,0.008705,0.009381,55287991622
16,2021-05-26,0.009385,0.010498,0.009110,0.009505,36606619719
17,2021-05-27,0.009504,0.009510,0.008451,0.008811,30731920110
18,2021-05-28,0.008812,0.008861,0.007496,0.007902,38259331331
19,2021-05-29,0.007903,0.008209,0.007222,0.007888,25357883124
20,2021-05-30,0.007889,0.008132,0.007504,0.007854,22113607100
21,2021-05-31,0.007855,0.009950,0.007675,0.009286,41441645129
22,2021-06-01,0.009286,0.009400,0.008309,0.008826,37670303286
23,2021-06-02,0.008830,0.010500,0.008583,0.009429,51576452221
24,2021-06-03,0.009430,0.010403,0.009250,0.009772,33079290021
25,2021-06-04,0.009773,0.009802,0.008244,0.008770,38447274176
26,2021-06-05,0.008771,0.009123,0.008018,0.008415,21491862122
27,2021-06-06,0.008411,0.008630,0.008330,0.008520,10070790532
28,2021-06-07,0.008520,0.008712,0.007379,0.007722,17848828263
29,2021-06-08,0.007723,0.007858,0.006271,0.007151,44929535433
30,2021-06-09,0.007151,0.007612,0.006832,0.007386,28478262361
31,2021-06-10,0.007386,0.007427,0.006764,0.006840,21206267249
32,2021-06-11,0.006839,0.006910,0.006007,0.006200,23452853817
33,2021-06-12,0.006201,0.006558,0.005473,0.006280,45982339957
34,2021-06-13,0.006280,0.007158,0.006055,0.006846,31135983837
35,2021-06-14,0.006848,0.007250,0.006669,0.007090,23168619600
36,2021-06-15,0.007092,0.009835,0.006935,0.009033,90120141744
37,2021-06-16,0.009029,0.009327,0.008132,0.008313,93993864250
38,2021-06-17,0.008313,0.008489,0.007721,0.007951,54565493735
39,2021-06-18,0.007951,0.007973,0.006983,0.007272,49512694702
40,2021-06-19,0.007272,0.008482,0.007180,0.007605,72241856711
41,2021-06-20,0.007605,0.008040,0.007100,0.007765,53467529230
42,2021-06-21,0.007766,0.007825,0.006066,0.006181,71634521147
43,2021-06-22,0.006181,0.007002,0.005586,0.006325,73286358669
44,2021-06-23,0.006325,0.007108,0.006074,0.006828,35879378764
45,2021-06-24,0.006829,0.007448,0.006560,0.007206,21012894288
46,2021-06-25,0.007206,0.008486,0.006716,0.007057,82777082356
47,2021-06-26,0.007057,0.007550,0.006907,0.007475,39937878013
48,2021-06-27,0.007475,0.007879,0.007258,0.007852,20662301329
49,2021-06-28,0.007852,0.008210,0.007590,0.008072,27919443458
50,2021-06-29,0.008072,0.009648,0.008023,0.008878,76152558860
51,2021-06-30,0.008879,0.009231,0.008001,0.008825,55664154470
52,2021-07-01,0.008824,0.008835,0.008148,0.008324,29369474159
53,2021-07-02,0.008324,0.008440,0.008045,0.008354,18029412251
54,2021-07-03,0.008354,0.008804,0.008292,0.008658,19181787503
55,2021-07-04,0.008657,0.008962,0.008453,0.008724,15808587949
56,2021-07-05,0.008724,0.008724,0.008150,0.008325,18759504761
57,2021-07-06,0.008328,0.009336,0.008307,0.008751,35311988253
58,2021-07-07,0.008752,0.008957,0.008516,0.008553,13554043619
59,2021-07-08,0.008553,0.008567,0.007776,0.008018,25320053950
60,2021-07-09,0.008021,0.008104,0.007671,0.007906,14969681492
61,2021-07-10,0.007906,0.008095,0.007495,0.007656,13264162935
62,2021-07-11,0.007655,0.007977,0.007555,0.007862,9308128353
63,2021-07-12,0.007862,0.007986,0.007260,0.007552,11687610116
64,2021-07-13,0.007554,0.007597,0.007037,0.007113,11539611435
65,2021-07-14,0.007111,0.007568,0.006631,0.007224,18724455222
66,2021-07-15,0.007223,0.007359,0.006774,0.006907,15191770875
67,2021-07-16,0.006909,0.006990,0.006530,0.006619,11996987737
68,2021-07-17,0.006619,0.007049,0.006550,0.006806,15789579109
69,2021-07-18,0.006808,0.007013,0.006583,0.006648,9311150075
70,2021-07-19,0.006648,0.006675,0.006043,0.006188,18091492896
71,2021-07-20,0.006189,0.006233,0.005680,0.005882,25505945989
72,2021-07-21,0.005882,0.006972,0.005761,0.006541,29391932780
73,2021-07-22,0.006541,0.006653,0.006330,0.006462,18820926996
74,2021-07-23,0.006462,0.006714,0.006101,0.006480,18904798753
75,2021-07-24,0.006481,0.006657,0.006300,0.006441,15187346735
76,2021-07-25,0.006441,0.006538,0.006151,0.006365,11650579972
77,2021-07-26,0.006364,0.006910,0.006233,0.006302,26838775580
78,2021-07-27,0.006302,0.006416,0.006031,0.006316,16241180810
79,2021-07-28,0.006315,0.006357,0.006131,0.006185,11930706568
80,2021-07-29,0.006185,0.006519,0.006069,0.006305,12651963072
81,2021-07-30,0.006305,0.006416,0.006100,0.006292,10551916106
82,2021-07-31,0.006292,0.006318,0.006200,0.006250,9006602904
83,2021-08-01,0.006250,0.006718,0.006214,0.006307,19750490875
84,2021-08-02,0.006308,0.006437,0.006203,0.006350,11282236602
85,2021-08-03,0.006350,0.006414,0.006150,0.006190,12461919079
86,2021-08-04,0.006188,0.006338,0.006112,0.006242,11110925354
87,2021-08-05,0.006242,0.006261,0.006110,0.006224,11495024169
88,2021-08-06,0.006224,0.006449,0.006147,0.006311,12806233821
89,2021-08-07,0.006312,0.007892,0.006302,0.007798,56603425275
90,2021-08-08,0.007791,0.008881,0.007239,0.007295,97165437400
91,2021-08-09,0.007298,0.007892,0.007101,0.007626,48175242154
92,2021-08-10,0.007628,0.007962,0.007302,0.007578,29221435475
93,2021-08-11,0.007577,0.008328,0.007540,0.007783,41436442822
