,time,open,high,low,close,volume
0,2021-09-17,0.25420,0.25870,0.22707,0.22947,83687958
1,2021-09-18,0.22984,0.24328,0.22710,0.23215,68223692
2,2021-09-19,0.23215,0.23541,0.22213,0.22858,68016875
3,2021-09-20,0.22862,0.24260,0.20013,0.20685,176439695
4,2021-09-21,0.20697,0.21998,0.19270,0.19890,79929479
5,2021-09-22,0.19914,0.23857,0.19500,0.22884,160926876
6,2021-09-23,0.22863,0.23367,0.21681,0.23242,69786028
7,2021-09-24,0.23242,0.23270,0.20087,0.21410,79512571
8,2021-09-25,0.21432,0.21945,0.20760,0.21654,38992078
9,2021-09-26,0.21660,0.23250,0.19000,0.22497,127358754
10,2021-09-27,0.22486,0.24500,0.22013,0.23177,214669150
11,2021-09-28,0.23177,0.27500,0.22500,0.25598,735978163
12,2021-09-29,0.25599,0.26493,0.22853,0.23511,368887864
13,2021-09-30,0.23534,0.25591,0.22249,0.24472,431829754
14,2021-10-01,0.24472,0.25756,0.24001,0.25694,193312220
15,2021-10-02,0.25694,0.26049,0.24621,0.24878,138016318
16,2021-10-03,0.24885,0.24961,0.23588,0.24337,108530458
17,2021-10-04,0.24336,0.24532,0.22555,0.23383,148026777
18,2021-10-05,0.23373,0.23839,0.22500,0.23349,161396288
19,2021-10-06,0.23347,0.24085,0.21011,0.22538,268585066
20,2021-10-07,0.22546,0.23005,0.21600,0.22102,147502778
21,2021-10-08,0.22106,0.22710,0.22000,0.22221,139706999
22,2021-10-09,0.22221,0.22450,0.21719,0.22270,116155966
23,2021-10-10,0.22298,0.22299,0.21105,0.21202,87472759
24,2021-10-11,0.21202,0.21876,0.20669,0.21469,99224830
25,2021-10-12,0.21469,0.23618,0.21237,0.22203,883519842
26,2021-10-13,0.22198,0.22319,0.21293,0.21698,180554171
27,2021-10-14,0.21700,0.22330,0.21479,0.21829,133501490
28,2021-10-15,0.21829,0.22035,0.20381,0.20618,177575368
29,2021-10-16,0.20629,0.20949,0.20202,0.20384,178812196
30,2021-10-17,0.20397,0.21171,0.19200,0.20158,183808034
31,2021-10-18,0.20174,0.20198,0.19221,0.19492,155109004
32,2021-10-19,0.19492,0.19505,0.18515,0.18885,222600269
33,2021-10-20,0.18877,0.20049,0.17418,0.19744,583946351
34,2021-10-21,0.19743,0.20090,0.18560,0.18785,245482907
35,2021-10-22,0.18771,0.19150,0.18460,0.18808,146314393
36,2021-10-23,0.18815,0.19329,0.18627,0.18924,124546267
37,2021-10-24,0.18921,0.19350,0.18611,0.19236,157779974
38,2021-10-25,0.19236,0.19887,0.18903,0.19399,168757639
39,2021-10-26,0.19397,0.19523,0.18809,0.19015,127149766
40,2021-10-27,0.19014,0.19255,0.15200,0.17412,397910507
41,2021-10-28,0.17421,0.18384,0.16760,0.17987,234300318
42,2021-10-29,0.17968,0.18413,0.17762,0.18279,120059132
43,2021-10-30,0.18276,0.19929,0.18155,0.18703,363511679
44,2021-10-31,0.18701,0.18736,0.17400,0.18244,179476709
45,2021-11-01,0.18244,0.18288,0.17500,0.17841,114807898
46,2021-11-02,0.17841,0.18579,0.17703,0.18264,165194460
47,2021-11-03,0.18260,0.18341,0.17590,0.18020,126362983
48,2021-11-04,0.18022,0.21700,0.17782,0.20040,1654785870
49,2021-11-05,0.20038,0.21800,0.19020,0.19408,922698281
50,2021-11-06,0.19422,0.20111,0.18800,0.19627,240641406
51,2021-11-07,0.19630,0.19695,0.19106,0.19363,110199940
52,2021-11-08,0.19367,0.20228,0.18838,0.19717,210002789
53,2021-11-09,0.19714,0.20494,0.19488,0.20185,205909002
54,2021-11-10,0.20185,0.20234,0.17300,0.18663,242997193
55,2021-11-11,0.18659,0.19744,0.18341,0.19400,140147322
56,2021-11-12,0.19397,0.21975,0.19241,0.20290,840477231
57,2021-11-13,0.20289,0.20807,0.19656,0.20091,147805373
58,2021-11-14,0.20089,0.21528,0.19935,0.20746,395027186
59,2021-11-15,0.20744,0.20865,0.19215,0.19428,225093101
60,2021-11-16,0.19424,0.19432,0.16381,0.17666,399658453
61,2021-11-17,0.17667,0.18199,0.16855,0.17890,197553420
62,2021-11-18,0.17884,0.18028,0.15661,0.16343,242844036
63,2021-11-19,0.16352,0.17242,0.15989,0.16984,140274668
64,2021-11-20,0.16978,0.17310,0.16451,0.17216,117029806
65,2021-11-21,0.17215,0.17309,0.16754,0.16813,99422400
66,2021-11-22,0.16814,0.16892,0.15978,0.16156,112204669
67,2021-11-23,0.16151,0.16546,0.15820,0.16344,115225398
68,2021-11-24,0.16341,0.16345,0.15435,0.15776,112566137
69,2021-11-25,0.15770,0.16184,0.15525,0.15856,144368091
70,2021-11-26,0.15859,0.15881,0.13400,0.14323,263088016
71,2021-11-27,0.14316,0.15938,0.14226,0.14793,161569464
72,2021-11-28,0.14801,0.15377,0.13872,0.15021,143650621
73,2021-11-29,0.15021,0.15319,0.14680,0.15028,126016230
74,2021-11-30,0.15026,0.15417,0.14601,0.14929,161990040
75,2021-12-01,0.14930,0.15329,0.14806,0.14985,111285139
76,2021-12-02,0.14988,0.15041,0.14353,0.14637,97473005
77,2021-12-03,0.14631,0.14841,0.13148,0.13752,133866917
78,2021-12-04,0.13759,0.13782,0.08000,0.12221,523572526
79,2021-12-05,0.12211,0.13608,0.11180,0.12054,499319776
80,2021-12-06,0.12056,0.13449,0.10870,0.12596,578829091
81,2021-12-07,0.12596,0.13323,0.12395,0.12606,223095788
82,2021-12-08,0.12608,0.12990,0.11979,0.12818,146427581
83,2021-12-09,0.12820,0.12959,0.11724,0.11964,169541597
84,2021-12-10,0.11956,0.12206,0.11177,0.11303,175553124
85,2021-12-11,0.11287,0.11861,0.11007,0.11769,89973965
86,2021-12-12,0.11767,0.11849,0.11255,0.11578,130597709
87,2021-12-13,0.11575,0.11626,0.10131,0.10644,232935357
88,2021-12-14,0.10644,0.11643,0.10440,0.11325,735562807
89,2021-12-15,0.11325,0.11778,0.10590,0.11444,331066158
90,2021-12-16,0.11441,0.11454,0.10680,0.10811,154864816
91,2021-12-17,0.10806,0.11131,0.10384,0.10753,177556438
92,2021-12-18,0.10739,0.11165,0.10543,0.11005,138685377
93,2021-12-19,0.10994,0.11105,0.10740,0.10797,104245112
94,2021-12-20,0.10797,0.10802,0.10233,0.10587,143889879
95,2021-12-21,0.10585,0.10940,0.10465,0.10867,155911197
96,2021-12-22,0.10867,0.11205,0.10700,0.11016,185358136
97,2021-12-23,0.11014,0.11460,0.10771,0.11433,139867365
98,2021-12-24,0.11431,0.12348,0.11246,0.11656,295654728
99,2021-12-25,0.11642,0.12254,0.11520,0.11930,159102966
100,2021-12-26,0.11929,0.12396,0.11590,0.12138,153685386
101,2021-12-27,0.12134,0.12249,0.11710,0.11805,144214352
102,2021-12-28,0.11802,0.11815,0.10738,0.10940,130027937
103,2021-12-29,0.10936,0.11250,0.10618,0.10743,102726225
104,2021-12-30,0.10746,0.11191,0.10500,0.10897,94641029
105,2021-12-31,0.10892,0.11179,0.10478,0.10805,87819638
106,2022-01-01,0.10797,0.11091,0.10731,0.11064,46250723
107,2022-01-02,0.11060,0.11752,0.10911,0.11298,145318525
108,2022-01-03,0.11298,0.12024,0.11231,0.11641,321541161
109,2022-01-04,0.11644,0.11864,0.11200,0.11271,145264202
110,2022-01-05,0.11266,0.11482,0.09900,0.10421,153799558
111,2022-01-06,0.10407,0.10549,0.09944,0.10317,107552156
112,2022-01-07,0.10313,0.10334,0.09445,0.09838,145272705
113,2022-01-08,0.09834,0.10042,0.09181,0.09622,107851159
114,2022-01-09,0.09613,0.09794,0.09246,0.09595,116463080
115,2022-01-10,0.09576,0.09669,0.08515,0.08978,156810827
116,2022-01-11,0.08974,0.09377,0.08858,0.09335,129210142
117,2022-01-12,0.09338,0.09887,0.09278,0.09802,98484880
118,2022-01-13,0.09808,0.10175,0.09446,0.09491,149453163
119,2022-01-14,0.09484,0.09940,0.09322,0.09700,141670233
120,2022-01-15,0.09699,0.10356,0.09699,0.10117,312487555
121,2022-01-16,0.10119,0.10430,0.09867,0.10307,165443144
122,2022-01-17,0.10308,0.10378,0.09726,0.09954,161634497
123,2022-01-18,0.09952,0.10019,0.09265,0.09562,129535750
124,2022-01-19,0.09557,0.09800,0.09010,0.09224,144573117
125,2022-01-20,0.09222,0.09721,0.08984,0.09050,94445246
126,2022-01-21,0.09041,0.09157,0.07626,0.07965,208094258
127,2022-01-22,0.07964,0.08124,0.06428,0.06825,313147287
128,2022-01-23,0.06827,0.07529,0.06763,0.07464,159617826
129,2022-01-24,0.07464,0.07478,0.06323,0.07190,351765320
130,2022-01-25,0.07185,0.07239,0.06858,0.07201,145582346
131,2022-01-26,0.07201,0.07706,0.06935,0.07175,156292673
132,2022-01-27,0.07178,0.07270,0.06703,0.07008,135562801
133,2022-01-28,0.07003,0.07317,0.06821,0.07266,142273037
134,2022-01-29,0.07265,0.07739,0.07198,0.07677,242044966
135,2022-01-30,0.07683,0.07707,0.07359,0.07514,110805050
136,2022-01-31,0.07512,0.07837,0.07181,0.07626,172353117
137,2022-02-01,0.07624,0.07767,0.07516,0.07715,97129138
138,2022-02-02,0.07715,0.08199,0.07524,0.07572,387815871
139,2022-02-03,0.07573,0.07733,0.07294,0.07636,180128231
140,2022-02-04,0.07643,0.08301,0.07583,0.08271,191974861
141,2022-02-05,0.08271,0.08735,0.08166,0.08386,142705047
142,2022-02-06,0.08384,0.08805,0.08236,0.08592,145732932
143,2022-02-07,0.08593,0.09245,0.08381,0.08990,211298501
144,2022-02-08,0.08995,0.10124,0.08803,0.09442,625538299
145,2022-02-09,0.09442,0.09850,0.09281,0.09717,255089645
146,2022-02-10,0.09717,0.09726,0.08928,0.09266,195558359
147,2022-02-11,0.09265,0.09271,0.08130,0.08388,176373615
148,2022-02-12,0.08387,0.08564,0.08056,0.08225,135030915
149,2022-02-13,0.08227,0.08480,0.07958,0.08169,106158356
150,2022-02-14,0.08170,0.08248,0.07870,0.08179,149024777
151,2022-02-15,0.08179,0.08806,0.08177,0.08794,128368395
152,2022-02-16,0.08790,0.08842,0.08300,0.08539,95672794
153,2022-02-17,0.08529,0.08669,0.07701,0.07840,131299986
154,2022-02-18,0.07846,0.08064,0.07700,0.07853,162964168
155,2022-02-19,0.07854,0.07999,0.07513,0.07809,117424575
156,2022-02-20,0.07807,0.07818,0.07271,0.07440,95514535
157,2022-02-21,0.07438,0.07738,0.06751,0.06787,180595844
158,2022-02-22,0.06787,0.07264,0.06639,0.07212,178985354
159,2022-02-23,0.07220,0.07477,0.07012,0.07023,129630157
160,2022-02-24,0.07022,0.07310,0.06190,0.07115,311077064
161,2022-02-25,0.07110,0.07621,0.06975,0.07514,191856736
162,2022-02-26,0.07520,0.07768,0.07365,0.07533,99230277
163,2022-02-27,0.07531,0.07732,0.06981,0.07237,171360572
164,2022-02-28,0.07237,0.07901,0.07096,0.07864,137332564
165,2022-03-01,0.07861,0.08011,0.07686,0.07897,122000037
166,2022-03-02,0.07895,0.07922,0.07500,0.07586,115675176
167,2022-03-03,0.07596,0.07668,0.07323,0.07444,77467384
168,2022-03-04,0.07443,0.07460,0.06902,0.07055,115230827
169,2022-03-05,0.07055,0.07361,0.06924,0.07282,93811405
170,2022-03-06,0.07282,0.07339,0.06965,0.06990,94513526
171,2022-03-07,0.06995,0.07185,0.06675,0.06887,136170803
172,2022-03-08,0.06882,0.07023,0.06793,0.06913,86159687
173,2022-03-09,0.06915,0.08060,0.06890,0.07555,273936659
174,2022-03-10,0.07555,0.08366,0.06983,0.08053,1525597667
175,2022-03-11,0.08054,0.08083,0.07284,0.07307,493060798
176,2022-03-12,0.07303,0.07612,0.07290,0.07350,185759856
177,2022-03-13,0.07353,0.07599,0.07270,0.07344,267561180
178,2022-03-14,0.07341,0.07648,0.07126,0.07588,254828519
179,2022-03-15,0.07593,0.08300,0.07541,0.07944,761988008
180,2022-03-16,0.07945,0.08195,0.07597,0.08025,319804415
181,2022-03-17,0.08025,0.08049,0.07758,0.07838,162915123
182,2022-03-18,0.07838,0.08186,0.07721,0.08121,254554394
183,2022-03-19,0.08122,0.08453,0.08068,0.08319,168785738
184,2022-03-20,0.08319,0.08345,0.07806,0.07939,104580552
185,2022-03-21,0.07940,0.08200,0.07837,0.08037,114465682
186,2022-03-22,0.08037,0.08561,0.08023,0.08342,159476232
187,2022-03-23,0.08343,0.08471,0.08110,0.08354,122613180
188,2022-03-24,0.08354,0.08445,0.08172,0.08406,114264593
189,2022-03-25,0.08408,0.08989,0.08243,0.08405,230424437
190,2022-03-26,0.08405,0.08690,0.08361,0.08678,116686894
191,2022-03-27,0.08678,0.10480,0.08656,0.09820,711986636
192,2022-03-28,0.09822,0.10413,0.09178,0.09369,416983369
193,2022-03-29,0.09373,0.10107,0.09118,0.09440,253808630
194,2022-03-30,0.09438,0.09663,0.09041,0.09547,183049736
195,2022-03-31,0.09552,0.09900,0.09003,0.09292,214244701
196,2022-04-01,0.09292,0.09804,0.08880,0.09702,169001978
197,2022-04-02,0.09702,0.14780,0.09544,0.12877,4390540025
198,2022-04-03,0.12877,0.12914,0.11446,0.11619,2542383997
199,2022-04-04,0.11618,0.11677,0.10550,0.10875,765741815
200,2022-04-05,0.10876,0.12331,0.10856,0.11095,1133293600
201,2022-04-06,0.11095,0.11351,0.09639,0.09743,650760294
202,2022-04-07,0.09736,0.10586,0.09688,0.10239,470143226
203,2022-04-08,0.10236,0.10878,0.09959,0.10091,504168183
204,2022-04-09,0.10091,0.10384,0.09973,0.10164,172725912
205,2022-04-10,0.10176,0.10446,0.09967,0.10012,209386115
206,2022-04-11,0.10010,0.10078,0.08650,0.08846,348072531
207,2022-04-12,0.08846,0.09249,0.08572,0.09098,274634811
208,2022-04-13,0.09098,0.09508,0.08985,0.09475,260664668
209,2022-04-14,0.09475,0.09566,0.08995,0.09202,173543887
210,2022-04-15,0.09204,0.09392,0.09141,0.09334,142601518
211,2022-04-16,0.09335,0.09356,0.09092,0.09269,74480556
212,2022-04-17,0.09268,0.09341,0.08828,0.08865,119666763
213,2022-04-18,0.08863,0.09086,0.08265,0.09045,188303209
214,2022-04-19,0.09048,0.09304,0.08930,0.09242,139840371
215,2022-04-20,0.09242,0.09257,0.09082,0.09145,7997972
