,time,open,high,low,close,volume
0,2020-12-07,87.956,95.619,86.778,90.815,773110.6
1,2020-12-08,90.833,91.311,77.995,80.198,895814.4
2,2020-12-09,80.186,86.500,75.030,82.560,802766.7
3,2020-12-10,82.561,83.090,75.766,76.542,527906.1
4,2020-12-11,76.612,79.000,70.724,74.792,749903.5
5,2020-12-12,74.814,80.300,74.628,77.859,492617.8
6,2020-12-13,77.856,85.000,76.648,83.960,454933.9
7,2020-12-14,83.908,91.974,79.828,86.423,753021.6
8,2020-12-15,86.511,89.105,84.300,87.150,596280.8
9,2020-12-16,87.188,89.940,80.159,87.618,779265.5
10,2020-12-17,87.589,90.627,82.869,85.077,693440.8
11,2020-12-18,85.093,90.557,81.807,90.435,430320.3
12,2020-12-19,90.484,96.463,88.017,89.093,740578.4
13,2020-12-20,89.043,90.285,83.766,85.767,573747.9
14,2020-12-21,85.782,88.101,77.523,80.842,436955.5
15,2020-12-22,80.860,86.321,75.628,84.345,469667.7
16,2020-12-23,84.348,84.538,62.748,75.431,647771.9
17,2020-12-24,75.428,80.579,71.020,80.562,519317.6
18,2020-12-25,80.558,82.000,75.964,79.742,300530.6
19,2020-12-26,79.743,80.064,73.808,75.212,260191.6
20,2020-12-27,75.180,82.100,72.730,76.919,435249.2
21,2020-12-28,76.944,86.148,76.160,81.887,368776.9
22,2020-12-29,81.931,83.200,75.007,78.169,246245.7
23,2020-12-30,78.217,85.670,77.322,81.117,375468.0
24,2020-12-31,81.135,88.801,78.341,88.503,371053.0
25,2021-01-01,88.581,91.000,84.652,90.909,368132.6
26,2021-01-02,90.940,92.200,82.573,85.888,350675.1
27,2021-01-03,85.911,95.680,81.338,94.185,490412.4
28,2021-01-04,94.183,115.590,85.932,114.322,1108493.1
29,2021-01-05,114.344,124.279,98.653,119.800,843809.1
30,2021-01-06,119.866,121.023,107.856,115.719,485974.6
31,2021-01-07,115.816,131.000,107.000,115.235,726395.4
32,2021-01-08,115.339,120.040,100.240,110.686,523636.3
33,2021-01-09,110.795,119.548,106.062,117.674,346692.4
34,2021-01-10,117.802,137.000,111.072,126.987,684657.4
35,2021-01-11,126.980,127.609,94.000,114.329,901316.6
36,2021-01-12,114.368,136.146,109.109,127.740,639823.6
37,2021-01-13,127.747,147.989,120.128,146.778,703756.9
38,2021-01-14,146.781,154.911,139.321,147.766,388745.4
39,2021-01-15,147.935,168.685,139.900,166.525,516672.7
40,2021-01-16,166.534,203.940,166.368,181.145,759378.8
41,2021-01-17,181.324,199.322,174.475,186.482,502759.5
42,2021-01-18,186.591,201.313,180.520,200.944,360441.3
43,2021-01-19,200.934,210.000,184.845,186.000,507893.3
44,2021-01-20,186.093,200.000,171.710,197.316,506746.4
45,2021-01-21,197.368,199.894,155.270,160.343,784069.4
46,2021-01-22,160.169,199.278,147.608,189.581,498901.1
47,2021-01-23,189.649,220.423,185.568,213.996,432515.4
48,2021-01-24,213.697,289.434,212.514,264.705,941421.4
49,2021-01-25,264.752,283.229,237.001,247.947,693947.9
50,2021-01-26,247.821,288.145,240.691,277.765,744209.4
51,2021-01-27,277.821,299.423,255.000,286.320,943300.9
52,2021-01-28,286.320,310.057,274.970,298.549,582892.7
53,2021-01-29,298.300,308.971,271.901,288.649,499039.2
54,2021-01-30,288.355,323.798,282.559,315.496,458268.3
55,2021-01-31,315.445,320.596,293.000,300.369,284945.1
56,2021-02-01,300.021,307.127,284.000,295.759,332425.7
57,2021-02-02,295.422,310.380,286.000,303.288,360107.3
58,2021-02-03,303.339,388.514,301.492,384.168,624205.5
59,2021-02-04,384.209,522.900,383.998,466.853,2134631.9
60,2021-02-05,467.003,549.990,465.203,507.413,929623.6
61,2021-02-06,507.801,513.341,433.165,475.062,876430.1
