,time,open,high,low,close,volume
0,2020-12-07,0.15887,0.15925,0.15150,0.15411,259993303
1,2020-12-08,0.15413,0.15537,0.13700,0.14115,609821212
2,2020-12-09,0.14114,0.15032,0.13001,0.14808,754054173
3,2020-12-10,0.14796,0.14877,0.13895,0.14188,377810528
4,2020-12-11,0.14189,0.14290,0.13483,0.13933,425074398
5,2020-12-12,0.13936,0.14744,0.13879,0.14443,353010529
6,2020-12-13,0.14442,0.15670,0.14292,0.15423,460031021
7,2020-12-14,0.15422,0.15897,0.14972,0.15887,386395679
8,2020-12-15,0.15888,0.16024,0.15288,0.15395,362460274
9,2020-12-16,0.15396,0.16880,0.14908,0.16850,682347721
10,2020-12-17,0.16850,0.17721,0.16066,0.16361,998525626
11,2020-12-18,0.16361,0.16991,0.15850,0.16521,468575604
12,2020-12-19,0.16521,0.17112,0.16308,0.16454,389870608
13,2020-12-20,0.16447,0.16937,0.15546,0.16206,435474760
14,2020-12-21,0.16205,0.16656,0.14700,0.15285,544287319
15,2020-12-22,0.15285,0.16139,0.14899,0.15659,515789159
16,2020-12-23,0.15657,0.15802,0.12582,0.13634,794258925
17,2020-12-24,0.13630,0.15466,0.13124,0.15309,703063824
18,2020-12-25,0.15312,0.16743,0.15014,0.15773,698593257
19,2020-12-26,0.15784,0.16262,0.14863,0.15856,627478315
20,2020-12-27,0.15859,0.16680,0.14958,0.15481,926045408
21,2020-12-28,0.15484,0.18080,0.15285,0.17663,1089482938
22,2020-12-29,0.17656,0.19771,0.17326,0.19100,2076062748
23,2020-12-30,0.19097,0.19411,0.17530,0.18411,859626775
24,2020-12-31,0.18405,0.18675,0.17395,0.18153,599868781
25,2021-01-01,0.18158,0.18510,0.16999,0.17517,654388233
26,2021-01-02,0.17526,0.18516,0.16828,0.17759,781281611
27,2021-01-03,0.17758,0.21059,0.17270,0.20670,1533085381
28,2021-01-04,0.20674,0.24100,0.19127,0.22524,1986736544
29,2021-01-05,0.22524,0.26438,0.20699,0.25850,1706453485
30,2021-01-06,0.25860,0.34757,0.25305,0.33310,2235795095
31,2021-01-07,0.33317,0.35600,0.27802,0.29961,1598362034
32,2021-01-08,0.29971,0.32357,0.26395,0.30429,1536358960
33,2021-01-09,0.30431,0.33898,0.29614,0.33120,853182433
34,2021-01-10,0.33120,0.34230,0.28000,0.30187,1054957535
35,2021-01-11,0.30185,0.30427,0.22938,0.27584,1675029700
36,2021-01-12,0.27584,0.31559,0.26295,0.28929,1231461927
37,2021-01-13,0.28919,0.31600,0.27125,0.31246,822559877
38,2021-01-14,0.31256,0.32559,0.29650,0.31240,700999375
39,2021-01-15,0.31250,0.33294,0.27731,0.30207,958099123
40,2021-01-16,0.30213,0.36936,0.30210,0.35125,1310375588
41,2021-01-17,0.35128,0.39849,0.34080,0.38074,1674206543
42,2021-01-18,0.38082,0.39810,0.36426,0.37169,798240774
43,2021-01-19,0.37185,0.38539,0.36206,0.36782,728911877
44,2021-01-20,0.36780,0.37730,0.33070,0.37571,887167304
45,2021-01-21,0.37576,0.37993,0.30000,0.30810,1008064817
46,2021-01-22,0.30804,0.36000,0.27925,0.34874,1244348018
47,2021-01-23,0.34873,0.35805,0.33578,0.34612,618875414
48,2021-01-24,0.34598,0.36985,0.33636,0.35398,619971472
49,2021-01-25,0.35396,0.36485,0.34057,0.34325,554772519
50,2021-01-26,0.34309,0.35131,0.32270,0.34387,507580338
51,2021-01-27,0.34386,0.34441,0.30432,0.31143,590215642
52,2021-01-28,0.31141,0.35600,0.30435,0.34430,627324686
53,2021-01-29,0.34424,0.36972,0.33050,0.34787,756048185
