,time,open,high,low,close,volume
0,2020-12-07,0.3374,0.3442,0.3236,0.3315,33713403.2
1,2020-12-08,0.3315,0.3329,0.2919,0.3014,63902240.0
2,2020-12-09,0.3013,0.3089,0.2852,0.3059,44695726.2
3,2020-12-10,0.3057,0.3079,0.2912,0.2942,25550174.3
4,2020-12-11,0.2943,0.2960,0.2762,0.2886,33258594.3
5,2020-12-12,0.2884,0.3167,0.2881,0.3095,46795531.4
6,2020-12-13,0.3093,0.3204,0.3050,0.3093,32800476.7
7,2020-12-14,0.3094,0.3191,0.3033,0.3130,32494340.7
8,2020-12-15,0.3131,0.3403,0.3131,0.3252,51719049.8
9,2020-12-16,0.3253,0.3450,0.3178,0.3402,57845852.1
10,2020-12-17,0.3405,0.3590,0.3232,0.3330,96568286.3
11,2020-12-18,0.3330,0.3659,0.3169,0.3537,95218961.5
12,2020-12-19,0.3538,0.3849,0.3510,0.3558,85949512.4
13,2020-12-20,0.3560,0.3588,0.3279,0.3400,54127487.7
14,2020-12-21,0.3399,0.3672,0.3123,0.3249,65697392.5
15,2020-12-22,0.3247,0.3486,0.3171,0.3365,48830027.6
16,2020-12-23,0.3366,0.3523,0.2644,0.2892,81937752.0
17,2020-12-24,0.2891,0.3149,0.2806,0.3144,38176286.0
18,2020-12-25,0.3144,0.3294,0.3030,0.3090,42802778.4
19,2020-12-26,0.3091,0.3220,0.2992,0.3093,36526497.5
20,2020-12-27,0.3096,0.3385,0.3000,0.3193,58503906.7
21,2020-12-28,0.3193,0.3583,0.3154,0.3581,52764988.9
22,2020-12-29,0.3582,0.3631,0.3203,0.3468,70369147.7
23,2020-12-30,0.3469,0.3600,0.3272,0.3357,41848776.7
24,2020-12-31,0.3357,0.3373,0.3151,0.3361,39277464.6
25,2021-01-01,0.3363,0.4334,0.3315,0.3987,224658043.0
26,2021-01-02,0.3987,0.4634,0.3806,0.4080,235249576.8
27,2021-01-03,0.4083,0.4390,0.3990,0.4278,123872741.8
28,2021-01-04,0.4272,0.4630,0.3676,0.4461,150606365.4
29,2021-01-05,0.4468,0.4964,0.4027,0.4796,199994367.3
30,2021-01-06,0.4803,0.5334,0.4580,0.5128,144971311.5
31,2021-01-07,0.5129,0.5222,0.4317,0.4624,109653760.3
32,2021-01-08,0.4628,0.4892,0.4115,0.4563,98251864.9
33,2021-01-09,0.4560,0.4955,0.4372,0.4858,62839971.0
34,2021-01-10,0.4860,0.5163,0.4147,0.4592,96626921.2
35,2021-01-11,0.4590,0.4613,0.3711,0.4172,96127175.5
36,2021-01-12,0.4178,0.4310,0.3914,0.3992,51681340.8
37,2021-01-13,0.3992,0.4528,0.3811,0.4504,54105831.3
38,2021-01-14,0.4505,0.4677,0.4300,0.4568,47849296.3
39,2021-01-15,0.4563,0.4992,0.4248,0.4866,93421124.9
40,2021-01-16,0.4867,0.5524,0.4848,0.5195,98657370.9
41,2021-01-17,0.5200,0.5901,0.4827,0.5883,97748991.9
42,2021-01-18,0.5876,0.6109,0.5423,0.5682,70171368.4
43,2021-01-19,0.5683,0.5790,0.5149,0.5221,53850309.5
44,2021-01-20,0.5223,0.5501,0.4858,0.5483,53923308.0
45,2021-01-21,0.5483,0.5507,0.4489,0.4616,47191615.1
46,2021-01-22,0.4616,0.5388,0.4290,0.5085,55779622.0
47,2021-01-23,0.5086,0.5724,0.5015,0.5567,65911199.5
48,2021-01-24,0.5566,0.5832,0.5464,0.5631,48035523.6
49,2021-01-25,0.5634,0.6350,0.5506,0.5562,84397235.4
50,2021-01-26,0.5558,0.6180,0.5353,0.6005,53585903.8
51,2021-01-27,0.6005,0.6019,0.5248,0.5414,39538378.4
52,2021-01-28,0.5414,0.5800,0.5256,0.5589,39892489.5
53,2021-01-29,0.5595,0.6875,0.5532,0.6376,81109575.8
54,2021-01-30,0.6379,0.7043,0.6137,0.6657,83189197.8
55,2021-01-31,0.6652,0.7036,0.6209,0.6531,56579408.0
56,2021-02-01,0.6531,0.6688,0.6165,0.6452,48578190.2
57,2021-02-02,0.6451,0.6747,0.6258,0.6520,45190579.3
58,2021-02-03,0.6517,0.7546,0.6492,0.7472,66305032.2
59,2021-02-04,0.7472,0.7675,0.6680,0.7076,72677101.4
60,2021-02-05,0.7075,0.8943,0.7005,0.8357,91288909.0
61,2021-02-06,0.8363,0.8671,0.7350,0.8119,78083901.8
62,2021-02-07,0.8120,0.8790,0.7678,0.8461,92949267.1
63,2021-02-08,0.8456,1.0968,0.8389,1.0059,138777014.2
64,2021-02-09,1.0042,1.0829,0.9643,1.0314,91175579.0
65,2021-02-10,1.0315,1.0548,0.9077,1.0345,85718269.6
66,2021-02-11,1.0339,1.3083,1.0337,1.2389,122165076.2
67,2021-02-12,1.2392,1.8513,1.1780,1.7223,172847072.7
68,2021-02-13,1.7224,1.8046,1.3500,1.6762,143930525.2
69,2021-02-14,1.6772,1.6971,1.4015,1.4738,71953009.8
70,2021-02-15,1.4737,1.5500,1.0023,1.3580,115339805.4
71,2021-02-16,1.3584,1.4731,1.2665,1.3168,66646963.6
72,2021-02-17,1.3158,1.4268,1.2000,1.3704,85267313.6
73,2021-02-18,1.3705,1.4592,1.3478,1.3994,70122865.4
74,2021-02-19,1.4005,1.4400,1.3000,1.3769,67677415.9
75,2021-02-20,1.3775,1.5046,1.2188,1.3114,114498352.5
76,2021-02-21,1.3113,1.3590,1.2642,1.3091,50608871.8
77,2021-02-22,1.3091,1.3222,0.9329,1.1448,113291667.1
78,2021-02-23,1.1446,1.1522,0.8265,1.0055,153347987.9
79,2021-02-24,1.0058,1.1871,0.9543,1.0591,84201338.8
80,2021-02-25,1.0598,1.1517,0.9702,0.9828,78810109.6
81,2021-02-26,0.9831,1.0533,0.8980,0.9723,81469187.7
82,2021-02-27,0.9719,1.1954,0.9716,1.0972,93011325.4
83,2021-02-28,1.0971,1.1331,0.9435,1.0226,101055041.5
84,2021-03-01,1.0226,1.1123,1.0062,1.0917,61500808.7
85,2021-03-02,1.0913,1.1681,1.0400,1.0840,91716440.1
