,time,open,high,low,close,volume
0,2022-03-08,4.0300,4.1760,3.5640,3.7600,6288351.3
1,2022-03-09,3.7600,4.4840,3.7360,4.2710,16567931.8
2,2022-03-10,4.2720,4.3260,3.6160,3.7400,9415206.2
3,2022-03-11,3.7390,3.7570,3.2900,3.3100,9732034.3
4,2022-03-12,3.3100,3.3660,3.1100,3.1600,11280364.7
5,2022-03-13,3.1600,3.2500,2.9780,2.9820,14068109.2
6,2022-03-14,2.9830,3.1100,2.8170,2.9070,12484889.2
7,2022-03-15,2.9080,2.9760,2.6350,2.8160,18066770.9
8,2022-03-16,2.8160,3.2330,2.7450,3.1640,17486691.2
9,2022-03-17,3.1660,3.1880,2.7770,2.7840,9557452.0
10,2022-03-18,2.7850,2.8250,2.6700,2.7490,13155041.4
11,2022-03-19,2.7470,2.9020,2.7460,2.7780,10796434.3
12,2022-03-20,2.7780,2.8090,2.5610,2.5840,11186580.6
13,2022-03-21,2.5840,2.6250,2.5220,2.5360,8507191.8
14,2022-03-22,2.5370,2.7500,2.5100,2.6220,11167707.7
15,2022-03-23,2.6210,2.6350,2.5510,2.6150,6640182.5
16,2022-03-24,2.6160,2.6770,2.5500,2.5770,7143312.8
17,2022-03-25,2.5770,2.6400,2.4000,2.4520,12764277.7
18,2022-03-26,2.4520,2.5060,2.4180,2.4640,8048358.4
19,2022-03-27,2.4620,2.5020,2.4000,2.4840,8895471.2
20,2022-03-28,2.4850,2.7040,2.4820,2.5400,22217111.5
21,2022-03-29,2.5410,3.0760,2.5360,2.9020,70395373.7
22,2022-03-30,2.9020,3.0630,2.8010,2.8400,35928720.1
23,2022-03-31,2.8400,2.9050,2.5050,2.5510,25429674.6
24,2022-04-01,2.5510,2.6370,2.4320,2.5820,15343009.6
25,2022-04-02,2.5820,2.7540,2.5660,2.6210,17416888.1
26,2022-04-03,2.6220,2.9830,2.6110,2.9000,35840862.3
27,2022-04-04,2.8990,2.9190,2.5610,2.7220,24348823.3
28,2022-04-05,2.7220,2.8860,2.6620,2.6910,15182001.9
29,2022-04-06,2.6930,3.2640,2.6000,3.0750,114525786.1
30,2022-04-07,3.0750,3.4640,2.9520,3.1830,137626727.0
31,2022-04-08,3.1830,3.3110,2.7130,2.7500,46877886.4
32,2022-04-09,2.7490,2.8590,2.6990,2.7610,16925362.7
33,2022-04-10,2.7620,2.8590,2.7000,2.7170,14204249.3
34,2022-04-11,2.7180,2.7390,2.1250,2.1730,57015553.9
35,2022-04-12,2.1720,2.2790,2.1250,2.1800,23443055.5
36,2022-04-13,2.1790,2.2710,2.1350,2.2610,14411268.4
37,2022-04-14,2.2620,2.3750,2.0650,2.1270,27646498.5
38,2022-04-15,2.1270,2.1820,2.0610,2.1390,22798834.1
39,2022-04-16,2.1400,2.1530,2.0940,2.1150,7703835.3
40,2022-04-17,2.1160,2.1720,2.0190,2.0260,11743155.7
41,2022-04-18,2.0260,2.1200,1.9400,2.1000,17912065.7
42,2022-04-19,2.0990,2.1750,2.0820,2.1490,11722432.4
43,2022-04-20,2.1490,2.1520,2.1210,2.1410,469025.0
