,time,open,high,low,close,volume
0,2021-12-27,9.606,10.627,9.303,9.365,1483156.6
1,2021-12-28,9.357,13.850,8.910,12.210,37394112.1
2,2021-12-29,12.210,13.693,10.711,10.851,29766379.1
3,2021-12-30,10.850,12.550,10.670,11.228,12171890.8
4,2021-12-31,11.230,14.148,11.210,13.536,15191691.9
5,2022-01-01,13.529,14.250,12.680,13.071,12380551.4
6,2022-01-02,13.072,13.570,12.360,13.054,6937152.9
7,2022-01-03,13.053,13.900,11.600,11.969,9752481.1
8,2022-01-04,11.974,12.474,11.006,11.048,6519645.3
9,2022-01-05,11.056,11.738,9.368,10.260,7712519.4
10,2022-01-06,10.249,11.779,10.000,10.855,19843145.4
11,2022-01-07,10.850,11.041,9.100,9.313,11832741.7
12,2022-01-08,9.309,10.149,7.785,8.078,11990084.3
13,2022-01-09,8.079,8.439,7.822,8.216,13369385.3
14,2022-01-10,8.214,8.216,6.895,7.441,10332315.7
15,2022-01-11,7.441,8.410,7.207,8.296,9628353.5
16,2022-01-12,8.289,9.692,8.065,9.445,13385469.1
17,2022-01-13,9.436,9.526,8.348,8.481,9971978.7
18,2022-01-14,8.481,8.881,8.115,8.412,6689182.2
19,2022-01-15,8.415,8.665,8.166,8.222,3841218.5
20,2022-01-16,8.220,8.382,7.833,8.063,5402918.0
21,2022-01-17,8.060,8.136,7.203,7.446,9222074.6
22,2022-01-18,7.440,8.058,7.056,7.346,13114437.3
23,2022-01-19,7.343,7.507,6.604,6.631,8642346.3
24,2022-01-20,6.630,7.477,6.529,6.688,11777983.9
25,2022-01-21,6.686,6.739,5.016,5.283,17137921.6
26,2022-01-22,5.284,5.369,3.990,4.495,15144018.5
27,2022-01-23,4.497,4.832,4.291,4.709,8435636.5
28,2022-01-24,4.708,5.369,3.948,5.270,35981880.5
29,2022-01-25,5.266,5.450,4.865,5.059,23236401.9
30,2022-01-26,5.060,5.486,4.769,4.919,13864429.6
31,2022-01-27,4.923,5.368,4.535,5.291,11206681.2
32,2022-01-28,5.289,5.486,5.036,5.266,12980205.6
33,2022-01-29,5.266,6.370,5.250,6.278,23410098.5
34,2022-01-30,6.280,7.115,5.931,6.884,32329129.8
35,2022-01-31,6.883,7.939,6.208,7.768,33134865.3
36,2022-02-01,7.768,8.120,7.283,7.535,24306378.8
37,2022-02-02,7.527,8.850,7.246,7.756,31747205.5
38,2022-02-03,7.756,8.030,7.254,7.736,17492698.7
39,2022-02-04,7.737,8.453,7.212,7.848,21633525.9
40,2022-02-05,7.851,8.825,7.536,8.734,17995555.5
41,2022-02-06,8.734,8.880,7.643,7.987,10514293.6
42,2022-02-07,7.987,8.199,7.624,7.722,10303540.1
43,2022-02-08,7.724,8.050,7.151,7.553,10045890.8
44,2022-02-09,7.555,7.879,7.234,7.863,6074757.5
45,2022-02-10,7.867,7.872,6.901,6.940,6430293.5
46,2022-02-11,6.943,6.986,5.913,6.080,11558681.3
47,2022-02-12,6.077,6.472,5.769,6.190,10953390.9
48,2022-02-13,6.190,6.363,5.672,5.751,7189314.8
49,2022-02-14,5.751,5.988,5.390,5.807,7966955.3
50,2022-02-15,5.806,6.408,5.805,6.406,6322906.8
51,2022-02-16,6.405,6.428,5.846,5.964,6341170.4
52,2022-02-17,5.966,6.083,5.186,5.275,7988200.9
53,2022-02-18,5.277,5.824,5.236,5.384,10559860.5
54,2022-02-19,5.384,5.546,5.143,5.365,5979079.8
55,2022-02-20,5.365,5.476,4.754,4.860,6867072.5
56,2022-02-21,4.862,5.147,4.403,4.438,6293507.8
57,2022-02-22,4.438,4.900,4.350,4.812,8863756.8
58,2022-02-23,4.812,5.177,4.705,4.829,7816876.1
59,2022-02-24,4.830,4.994,4.085,4.950,12489179.7
60,2022-02-25,4.950,5.589,4.884,5.413,12954917.1
61,2022-02-26,5.415,5.758,5.337,5.428,9548646.4
62,2022-02-27,5.429,5.508,4.770,4.839,9489413.6
63,2022-02-28,4.838,5.430,4.702,5.394,9059921.2
64,2022-03-01,5.395,5.886,5.258,5.655,7806800.1
65,2022-03-02,5.656,5.666,5.191,5.247,5579100.7
66,2022-03-03,5.249,5.305,4.830,5.095,6305247.0
67,2022-03-04,5.091,5.209,4.638,4.724,6546166.7
68,2022-03-05,4.723,4.961,4.572,4.877,4833445.4
69,2022-03-06,4.876,4.927,4.554,4.593,4031990.3
70,2022-03-07,4.593,4.757,4.233,4.416,5588659.6
71,2022-03-08,4.416,4.649,4.284,4.401,5415968.7
72,2022-03-09,4.402,5.035,4.397,4.742,6090194.1
73,2022-03-10,4.741,4.847,4.301,4.520,4625174.2
74,2022-03-11,4.520,4.576,4.352,4.358,3851596.9
75,2022-03-12,4.358,4.534,4.304,4.321,2852723.2
76,2022-03-13,4.322,4.482,4.211,4.264,2959036.8
77,2022-03-14,4.265,4.451,4.183,4.444,3126815.1
78,2022-03-15,4.444,4.520,4.179,4.420,3518579.9
79,2022-03-16,4.421,4.715,4.352,4.711,5099753.6
80,2022-03-17,4.711,4.801,4.521,4.542,3214245.9
81,2022-03-18,4.542,4.753,4.400,4.705,3208928.8
82,2022-03-19,4.707,5.044,4.682,4.990,5012447.3
83,2022-03-20,4.990,5.007,4.596,4.667,4446453.5
84,2022-03-21,4.667,4.930,4.500,4.822,3719095.5
85,2022-03-22,4.822,5.052,4.761,4.805,3964998.4
86,2022-03-23,4.805,5.146,4.750,5.051,4503454.5
87,2022-03-24,5.051,5.251,4.969,5.226,3837167.4
88,2022-03-25,5.225,5.537,5.126,5.338,13163660.0
89,2022-03-26,5.336,5.600,5.303,5.519,9818377.5
90,2022-03-27,5.518,5.600,5.256,5.579,5229439.3
91,2022-03-28,5.579,5.787,5.193,5.290,6807217.6
92,2022-03-29,5.291,5.589,5.233,5.420,4958840.8
93,2022-03-30,5.421,5.550,5.208,5.445,4479574.1
94,2022-03-31,5.442,5.709,5.060,5.139,5401447.9
95,2022-04-01,5.137,5.295,4.839,5.232,4307273.4
96,2022-04-02,5.231,5.611,5.190,5.276,5699614.5
97,2022-04-03,5.276,6.339,5.169,5.977,20845002.5
98,2022-04-04,5.974,6.188,5.337,5.763,13453600.9
99,2022-04-05,5.765,6.218,5.571,5.617,11832729.6
100,2022-04-06,5.619,5.656,4.726,4.768,9014940.9
101,2022-04-07,4.764,4.995,4.673,4.903,4836438.1
102,2022-04-08,4.902,4.973,4.485,4.561,3474140.5
103,2022-04-09,4.559,4.747,4.545,4.731,2143720.0
104,2022-04-10,4.729,4.813,4.552,4.575,2578917.6
105,2022-04-11,4.574,4.605,4.085,4.159,4328027.2
106,2022-04-12,4.161,4.439,4.124,4.350,3953660.8
107,2022-04-13,4.349,4.464,4.192,4.446,2680240.9
108,2022-04-14,4.448,4.513,4.165,4.242,3179352.1
109,2022-04-15,4.243,4.359,4.180,4.352,2303186.8
110,2022-04-16,4.353,4.421,4.229,4.365,2687669.8
111,2022-04-17,4.365,4.459,4.172,4.189,3560145.8
112,2022-04-18,4.186,4.305,3.964,4.277,4871895.7
113,2022-04-19,4.279,4.418,4.195,4.405,2962880.7
114,2022-04-20,4.401,4.418,4.300,4.346,183647.5
