,time,open,high,low,close,volume
0,2022-02-22,5.0110,6.1300,5.0110,5.9880,21567854.1
1,2022-02-23,5.9870,7.8000,5.9200,6.3430,88186202.5
2,2022-02-24,6.3380,7.2660,5.3080,7.0510,48007895.5
3,2022-02-25,7.0410,7.4240,6.6420,7.0700,23994943.3
4,2022-02-26,7.0690,7.2070,6.3300,6.5170,11419710.8
5,2022-02-27,6.5140,7.1500,6.0690,6.5860,25117432.5
6,2022-02-28,6.5910,7.7700,6.2830,7.5320,30335890.9
7,2022-03-01,7.5370,8.5810,7.3780,8.0920,24190943.7
8,2022-03-02,8.0930,8.1140,7.2100,7.2880,9708406.9
9,2022-03-03,7.2890,7.8330,7.0330,7.3000,10285170.8
10,2022-03-04,7.2990,7.3790,6.1030,6.3080,11065732.6
11,2022-03-05,6.3080,6.6700,6.1050,6.5020,8706593.8
12,2022-03-06,6.5020,6.5020,5.5050,5.5600,9028111.7
13,2022-03-07,5.5600,5.9260,5.1810,5.2970,9460747.6
14,2022-03-08,5.2960,5.7470,5.1000,5.2410,8158222.4
15,2022-03-09,5.2400,5.7960,5.2150,5.4390,8000597.7
16,2022-03-10,5.4410,5.4520,4.8010,5.2050,6895064.5
17,2022-03-11,5.2050,5.2070,4.7030,4.7730,4539253.1
18,2022-03-12,4.7750,5.1560,4.7680,5.0090,7184714.4
19,2022-03-13,5.0060,5.4180,4.8010,4.8290,19963906.4
20,2022-03-14,4.8290,5.0490,4.5650,4.7650,7394285.9
21,2022-03-15,4.7630,4.7700,4.5670,4.6810,3787620.3
22,2022-03-16,4.6820,4.8210,4.4210,4.7400,6025338.0
23,2022-03-17,4.7390,4.9030,4.5650,4.5940,5621781.9
24,2022-03-18,4.5940,4.7380,4.4650,4.6100,4189032.7
25,2022-03-19,4.6100,5.5350,4.6070,5.0170,16482371.7
26,2022-03-20,5.0180,5.5190,4.6770,4.7830,12257411.0
27,2022-03-21,4.7820,4.9710,4.6210,4.9090,7195730.8
28,2022-03-22,4.9100,5.1830,4.8400,4.9170,10057718.2
29,2022-03-23,4.9160,5.2040,4.8430,5.0860,5834041.2
30,2022-03-24,5.0860,5.3320,4.9740,5.1310,5993911.9
31,2022-03-25,5.1320,5.6580,5.0760,5.3990,16604319.9
32,2022-03-26,5.4000,6.3900,5.1000,6.0530,42922825.6
33,2022-03-27,6.0550,6.4740,5.5870,5.8590,14065446.2
34,2022-03-28,5.8590,6.1670,5.3870,5.5550,10737227.4
35,2022-03-29,5.5550,5.9750,5.4890,5.7000,6631181.1
36,2022-03-30,5.7000,5.9480,5.2340,5.6530,10130856.2
37,2022-03-31,5.6550,5.9230,5.0900,5.2030,9583365.2
38,2022-04-01,5.2040,5.3700,4.8890,5.2360,6790468.3
39,2022-04-02,5.2370,5.6410,5.1310,5.1710,6826303.2
40,2022-04-03,5.1680,5.5920,5.0260,5.4220,6598883.7
41,2022-04-04,5.4230,5.7700,5.1760,5.5850,19987334.4
42,2022-04-05,5.5840,6.0860,5.3040,5.6440,31615176.4
43,2022-04-06,5.6440,6.1500,5.3620,5.5700,39142100.5
44,2022-04-07,5.5690,5.7000,4.8270,5.0680,17720017.9
45,2022-04-08,5.0690,5.1500,4.5000,4.5560,9458951.6
46,2022-04-09,4.5560,4.7440,4.5400,4.7090,4817709.3
47,2022-04-10,4.7110,4.8320,4.5130,4.5310,4527009.6
48,2022-04-11,4.5320,4.6170,3.8830,3.9560,7940621.7
49,2022-04-12,3.9580,4.2560,3.8910,4.1080,5465303.5
50,2022-04-13,4.1090,4.2890,4.0230,4.1950,4754082.6
51,2022-04-14,4.1950,4.2850,3.9150,3.9900,4329954.9
52,2022-04-15,3.9890,4.7660,3.9580,4.7250,46938894.9
53,2022-04-16,4.7240,4.8170,4.4110,4.5200,19531451.0
54,2022-04-17,4.5200,4.5960,4.1770,4.2130,6250712.4
55,2022-04-18,4.2130,4.3540,3.9680,4.2870,6473366.7
56,2022-04-19,4.2870,4.7600,4.1880,4.6380,9655234.7
57,2022-04-20,4.6360,4.7400,4.5510,4.6670,907552.3
