,time,open,high,low,close,volume
0,2021-09-28,41.780,41.780,38.000,38.312,158866.1
1,2021-09-29,38.311,45.131,38.000,40.633,731537.4
2,2021-09-30,40.640,43.734,40.180,43.364,337757.1
3,2021-10-01,43.356,49.576,42.566,48.867,677330.2
4,2021-10-02,48.860,58.584,46.546,58.462,689907.4
5,2021-10-03,58.342,59.187,54.020,57.538,997950.6
6,2021-10-04,57.535,57.950,51.678,53.127,637762.1
7,2021-10-05,53.139,55.872,51.762,53.267,293499.5
8,2021-10-06,53.271,68.000,48.001,64.817,1838794.3
9,2021-10-07,64.771,67.499,58.734,59.030,2012233.4
10,2021-10-08,59.030,69.920,58.695,62.662,1680713.0
11,2021-10-09,62.662,64.826,59.707,61.139,637210.3
12,2021-10-10,61.143,62.951,57.633,57.886,730247.7
13,2021-10-11,57.882,64.437,56.063,58.234,1606577.5
14,2021-10-12,58.246,58.246,51.687,54.592,859406.4
15,2021-10-13,54.588,55.479,50.650,52.933,727245.1
16,2021-10-14,52.880,54.945,51.871,52.571,496096.7
17,2021-10-15,52.567,54.210,50.825,53.990,433119.9
18,2021-10-16,54.010,56.932,51.509,51.711,494521.8
19,2021-10-17,51.694,53.187,49.003,51.625,444837.0
20,2021-10-18,51.630,52.988,48.251,50.773,494964.3
21,2021-10-19,50.752,55.550,50.215,54.876,798960.2
22,2021-10-20,54.891,57.103,53.328,56.624,1082125.8
23,2021-10-21,56.618,58.199,52.859,53.383,529986.0
24,2021-10-22,53.386,56.543,53.217,54.664,435241.3
25,2021-10-23,54.702,54.789,51.534,52.818,354189.5
26,2021-10-24,52.809,53.283,49.100,51.287,536224.4
27,2021-10-25,51.297,54.872,51.056,53.044,531919.7
28,2021-10-26,53.043,55.398,51.668,53.424,638093.9
29,2021-10-27,53.423,57.500,43.074,46.432,822978.7
30,2021-10-28,46.465,49.220,45.642,47.636,586038.2
31,2021-10-29,47.640,54.881,47.289,52.089,841386.9
32,2021-10-30,52.101,52.918,48.639,49.120,410517.1
33,2021-10-31,49.099,60.560,48.959,54.939,1736234.8
34,2021-11-01,54.939,57.132,50.489,53.317,818924.5
35,2021-11-02,53.328,76.001,53.193,75.000,3865987.1
36,2021-11-03,75.000,89.000,69.165,76.644,8672838.1
37,2021-11-04,76.655,87.688,69.300,85.594,2849796.2
38,2021-11-05,85.593,91.270,73.846,75.515,3932763.5
39,2021-11-06,75.506,84.328,71.506,82.544,1844142.4
40,2021-11-07,82.564,86.000,75.701,76.355,1107048.4
41,2021-11-08,76.356,80.260,74.138,78.871,1054402.4
42,2021-11-09,78.871,79.896,71.270,72.720,1232527.4
43,2021-11-10,72.720,78.090,62.769,70.695,1547861.7
44,2021-11-11,70.680,72.792,65.827,67.380,1022467.3
45,2021-11-12,67.353,71.225,63.500,68.788,1640426.6
46,2021-11-13,68.790,74.590,66.150,73.306,1296896.9
47,2021-11-14,73.307,74.731,67.819,70.247,939361.2
48,2021-11-15,70.240,71.534,65.512,65.781,818456.0
49,2021-11-16,65.781,65.783,54.000,61.058,1481639.2
50,2021-11-17,61.028,62.175,55.763,56.925,1087064.6
51,2021-11-18,56.920,57.879,50.950,53.523,2070562.9
52,2021-11-19,53.523,63.915,53.070,59.720,2640209.6
53,2021-11-20,59.716,67.057,59.250,65.352,1123745.5
54,2021-11-21,65.357,73.249,64.220,64.389,1716868.5
55,2021-11-22,64.416,64.559,58.467,59.848,1135636.4
56,2021-11-23,59.847,62.624,58.520,60.852,952548.9
57,2021-11-24,60.834,60.964,55.764,58.289,848965.8
58,2021-11-25,58.319,63.076,57.738,59.459,894663.7
