,time,open,high,low,close,volume
0,2021-08-31,1.5405,1.6809,1.3341,1.3810,30614942
1,2021-09-01,1.3814,1.4693,1.3200,1.4104,31221780
2,2021-09-02,1.4105,1.4667,1.3307,1.3540,29085535
3,2021-09-03,1.3546,1.4034,1.2810,1.3202,27379608
4,2021-09-04,1.3203,1.6068,1.2928,1.3896,104555378
5,2021-09-05,1.3896,1.4500,1.3540,1.4124,56577711
6,2021-09-06,1.4124,1.4950,1.2930,1.3721,61297374
7,2021-09-07,1.3721,1.4020,0.8847,1.0420,99135877
8,2021-09-08,1.0443,1.1688,0.8886,1.0466,58527569
9,2021-09-09,1.0454,1.2356,1.0312,1.1535,66796308
10,2021-09-10,1.1537,1.2086,0.9970,1.0384,40072675
11,2021-09-11,1.0380,1.1740,1.0100,1.1175,47314104
12,2021-09-12,1.1165,1.4000,1.1113,1.2627,176560131
13,2021-09-13,1.2641,1.2891,1.0700,1.1560,55026710
14,2021-09-14,1.1564,1.3403,1.1247,1.3196,88287200
15,2021-09-15,1.3197,1.3651,1.2316,1.2757,49616116
16,2021-09-16,1.2757,1.3079,1.2338,1.2598,35191604
17,2021-09-17,1.2595,1.2693,1.1352,1.1633,31517135
18,2021-09-18,1.1628,1.2649,1.1450,1.2084,52437404
19,2021-09-19,1.2092,1.2560,1.1748,1.2241,42845558
20,2021-09-20,1.2242,1.2726,0.9188,0.9730,68453041
21,2021-09-21,0.9720,1.0166,0.8305,0.8540,43128406
22,2021-09-22,0.8549,0.9850,0.8335,0.9675,44392383
23,2021-09-23,0.9673,1.0647,0.9429,1.0436,36017671
24,2021-09-24,1.0435,1.0620,0.8482,0.9041,57995751
25,2021-09-25,0.9043,0.9364,0.8716,0.8970,39306269
26,2021-09-26,0.8970,0.8994,0.7955,0.8482,28934330
27,2021-09-27,0.8481,0.8939,0.8091,0.8118,22606168
28,2021-09-28,0.8121,0.8458,0.7576,0.7634,25763686
29,2021-09-29,0.7631,0.8245,0.7584,0.7797,19444804
30,2021-09-30,0.7797,0.8401,0.7761,0.8302,23803239
31,2021-10-01,0.8301,0.9193,0.8226,0.9014,38475096
32,2021-10-02,0.9015,1.0981,0.8894,0.9787,127917286
33,2021-10-03,0.9793,1.0990,0.9447,1.0305,85426062
34,2021-10-04,1.0302,1.1137,0.9801,1.0269,91287690
35,2021-10-05,1.0279,1.0700,0.9977,1.0406,39396757
36,2021-10-06,1.0400,1.0545,0.9550,0.9839,42354102
37,2021-10-07,0.9844,1.0331,0.9452,1.0092,57916043
38,2021-10-08,1.0093,1.0453,0.9746,0.9877,32086496
39,2021-10-09,0.9879,1.0346,0.9781,0.9976,23162094
40,2021-10-10,0.9974,1.1001,0.9585,0.9685,77699393
41,2021-10-11,0.9685,1.0001,0.9055,0.9393,43594405
42,2021-10-12,0.9393,0.9449,0.8684,0.9355,33981079
43,2021-10-13,0.9356,0.9857,0.9129,0.9687,36948913
44,2021-10-14,0.9690,1.0600,0.9578,0.9908,46655658
45,2021-10-15,0.9914,1.1400,0.9595,1.0337,83290874
46,2021-10-16,1.0337,1.1903,1.0155,1.1668,80761732
47,2021-10-17,1.1669,1.2150,1.0313,1.0819,85580705
48,2021-10-18,1.0821,1.1111,1.0230,1.0540,23582477
49,2021-10-19,1.0543,1.1008,1.0398,1.0768,24279397
50,2021-10-20,1.0765,1.1748,1.0500,1.1531,50363455
51,2021-10-21,1.1522,1.1783,1.0685,1.0885,41198050
52,2021-10-22,1.0885,1.1289,1.0670,1.0918,25798114
53,2021-10-23,1.0920,1.1076,1.0600,1.0955,18925777
54,2021-10-24,1.0962,1.1029,1.0107,1.0394,20015825
55,2021-10-25,1.0394,1.0789,1.0322,1.0625,17985881
56,2021-10-26,1.0625,1.1360,1.0545,1.1021,40982378
57,2021-10-27,1.1031,1.2186,0.9002,0.9607,84680321
58,2021-10-28,0.9617,1.0260,0.9465,0.9860,38004236
59,2021-10-29,0.9859,1.0406,0.9787,1.0295,35243321
60,2021-10-30,1.0295,1.0338,0.9710,1.0055,23809850
61,2021-10-31,1.0050,1.0820,0.9815,1.0712,32422690
62,2021-11-01,1.0707,1.2323,1.0004,1.1271,111989694
63,2021-11-02,1.1271,1.2778,1.1137,1.2421,48876249
64,2021-11-03,1.2420,1.2956,1.1221,1.1843,34327285
65,2021-11-04,1.1842,1.2920,1.1329,1.1672,43195566
66,2021-11-05,1.1671,1.1933,1.1155,1.1282,24002800
67,2021-11-06,1.1282,1.1431,1.0500,1.1055,32724962
68,2021-11-07,1.1050,1.1645,1.0883,1.1287,40427212
69,2021-11-08,1.1285,1.1869,1.1054,1.1598,29155671
70,2021-11-09,1.1598,1.2506,1.1396,1.2187,51121945
71,2021-11-10,1.2194,1.3600,1.0500,1.1399,80698405
72,2021-11-11,1.1397,1.7400,1.1156,1.6907,324953981
73,2021-11-12,1.6932,1.7133,1.3072,1.3630,157768177
74,2021-11-13,1.3632,1.3935,1.2701,1.2860,44792930
75,2021-11-14,1.2869,1.3900,1.2746,1.3423,54232495
76,2021-11-15,1.3424,1.3576,1.2013,1.2225,37975452
77,2021-11-16,1.2229,1.2231,0.9900,1.0748,66763975
78,2021-11-17,1.0747,1.1170,1.0262,1.0822,41577355
79,2021-11-18,1.0822,1.1100,0.9122,0.9434,47193870
80,2021-11-19,0.9435,1.0332,0.9159,1.0133,40867768
81,2021-11-20,1.0130,1.0549,0.9706,1.0447,36966624
82,2021-11-21,1.0450,1.1026,1.0023,1.0556,44076420
83,2021-11-22,1.0556,1.0620,0.9603,0.9783,50030563
84,2021-11-23,0.9778,1.0464,0.9675,1.0279,47700741
85,2021-11-24,1.0278,1.0694,0.9905,1.0350,41333981
86,2021-11-25,1.0350,1.0651,1.0007,1.0443,37380246
87,2021-11-26,1.0444,1.2776,0.9905,1.2209,236245513
88,2021-11-27,1.2209,1.4843,1.1730,1.2074,156950200
89,2021-11-28,1.2075,1.2191,1.0200,1.1227,72250102
90,2021-11-29,1.1227,1.1960,1.0670,1.1113,81079146
91,2021-11-30,1.1109,1.1924,1.0794,1.1306,82287453
92,2021-12-01,1.1304,1.1859,1.0951,1.1221,44822145
93,2021-12-02,1.1220,1.1238,1.0367,1.0576,34429439
94,2021-12-03,1.0576,1.1015,0.9400,1.0006,52750318
95,2021-12-04,1.0006,1.0035,0.6120,0.7728,112174513
96,2021-12-05,0.7728,0.7857,0.6737,0.7132,45230415
97,2021-12-06,0.7134,0.7419,0.6294,0.7232,66427611
98,2021-12-07,0.7230,0.7585,0.7028,0.7173,94024730
99,2021-12-08,0.7173,0.7900,0.6738,0.7533,100560258
100,2021-12-09,0.7533,0.8096,0.6893,0.6949,88200094
101,2021-12-10,0.6949,0.7264,0.6574,0.6624,50514392
102,2021-12-11,0.6629,0.7026,0.6470,0.7023,23082192
103,2021-12-12,0.7024,0.7199,0.6731,0.7078,74144838
104,2021-12-13,0.7077,0.7191,0.6008,0.6159,47298880
105,2021-12-14,0.6157,0.6490,0.6064,0.6429,28085914
106,2021-12-15,0.6429,0.6613,0.5921,0.6473,35703951
107,2021-12-16,0.6473,0.6711,0.6155,0.6187,36696300
108,2021-12-17,0.6189,0.6331,0.5920,0.6059,40539665
109,2021-12-18,0.6061,0.6342,0.5968,0.6127,35732756
110,2021-12-19,0.6126,0.6260,0.6051,0.6149,20287369
111,2021-12-20,0.6149,0.6450,0.5655,0.5987,43461951
112,2021-12-21,0.5989,0.6299,0.5908,0.6285,21668344
113,2021-12-22,0.6285,0.6890,0.6183,0.6587,94592627
114,2021-12-23,0.6588,0.7289,0.6504,0.7138,93869381
115,2021-12-24,0.7137,0.7370,0.6710,0.6804,47833600
116,2021-12-25,0.6806,0.7267,0.6738,0.7092,31842680
117,2021-12-26,0.7090,0.7303,0.6769,0.7125,32701261
118,2021-12-27,0.7128,0.7835,0.7110,0.7339,48944590
119,2021-12-28,0.7340,0.7341,0.6500,0.6631,37965598
120,2021-12-29,0.6633,0.6811,0.6202,0.6316,24072687
121,2021-12-30,0.6317,0.6524,0.6088,0.6433,18473046
122,2021-12-31,0.6434,0.6634,0.6109,0.6249,26814556
123,2022-01-01,0.6252,0.6621,0.6251,0.6602,21273481
124,2022-01-02,0.6602,0.6918,0.6454,0.6777,39463569
125,2022-01-03,0.6778,0.6850,0.6329,0.6534,39995460
126,2022-01-04,0.6537,0.7020,0.6401,0.6645,43132120
127,2022-01-05,0.6643,0.7144,0.5806,0.6147,74749138
128,2022-01-06,0.6146,0.6204,0.5701,0.5897,45193385
129,2022-01-07,0.5892,0.5944,0.5337,0.5553,42236780
130,2022-01-08,0.5555,0.5794,0.5123,0.5293,34410159
131,2022-01-09,0.5296,0.5663,0.5233,0.5550,32422946
132,2022-01-10,0.5551,0.5631,0.5000,0.5271,31693403
133,2022-01-11,0.5271,0.5648,0.5217,0.5574,25638704
134,2022-01-12,0.5574,0.5885,0.5562,0.5810,21954329
135,2022-01-13,0.5809,0.5880,0.5384,0.5418,23382638
136,2022-01-14,0.5414,0.5622,0.5303,0.5586,18956668
137,2022-01-15,0.5586,0.5774,0.5512,0.5660,16901466
138,2022-01-16,0.5660,0.5790,0.5575,0.5757,16447790
139,2022-01-17,0.5757,0.5772,0.5229,0.5350,23166826
140,2022-01-18,0.5350,0.5455,0.5151,0.5317,22061631
141,2022-01-19,0.5318,0.5381,0.5089,0.5189,21788655
142,2022-01-20,0.5187,0.5448,0.4805,0.4845,24298927
143,2022-01-21,0.4842,0.4934,0.4099,0.4203,47766690
144,2022-01-22,0.4201,0.4290,0.3510,0.3868,52583955
145,2022-01-23,0.3869,0.4152,0.3706,0.3942,35014238
146,2022-01-24,0.3940,0.3940,0.3360,0.3736,32348304
147,2022-01-25,0.3737,0.4007,0.3638,0.3908,23742080
148,2022-01-26,0.3911,0.4219,0.3728,0.3794,35814314
149,2022-01-27,0.3794,0.3943,0.3620,0.3808,24999902
150,2022-01-28,0.3808,0.4007,0.3758,0.3976,26315363
151,2022-01-29,0.3977,0.4141,0.3961,0.4117,18951157
