,time,open,high,low,close,volume
0,2020-12-07,5.214,5.231,5.081,5.102,1096537.25
1,2020-12-08,5.103,5.139,4.645,4.740,1999944.02
2,2020-12-09,4.741,4.879,4.559,4.802,2011743.66
3,2020-12-10,4.801,4.826,4.652,4.662,1280438.99
4,2020-12-11,4.662,4.862,4.480,4.711,3159183.02
5,2020-12-12,4.710,5.118,4.699,5.061,2604230.51
6,2020-12-13,5.061,5.370,5.052,5.194,3399065.16
7,2020-12-14,5.193,5.319,5.031,5.229,2098248.56
8,2020-12-15,5.229,5.362,5.052,5.292,2046772.57
9,2020-12-16,5.293,5.517,5.146,5.498,4156683.58
10,2020-12-17,5.497,5.745,5.266,5.359,4529001.18
11,2020-12-18,5.360,5.462,5.215,5.338,2249905.88
12,2020-12-19,5.338,5.449,5.260,5.295,2322312.90
13,2020-12-20,5.294,5.375,4.900,5.036,2766644.56
14,2020-12-21,5.034,5.159,4.803,5.038,2757225.25
15,2020-12-22,5.038,5.109,4.733,4.950,2971354.19
16,2020-12-23,4.948,5.008,4.214,4.395,4799972.19
17,2020-12-24,4.395,5.000,4.217,4.955,4145713.54
18,2020-12-25,4.955,5.055,4.742,4.907,2885379.52
19,2020-12-26,4.907,4.969,4.726,4.812,2369483.36
20,2020-12-27,4.814,5.032,4.577,4.848,4340008.49
21,2020-12-28,4.847,5.567,4.795,5.397,5605294.13
22,2020-12-29,5.398,5.703,5.040,5.627,6320551.94
23,2020-12-30,5.629,5.844,5.396,5.437,5296087.25
24,2020-12-31,5.436,6.503,5.247,6.468,7580692.74
25,2021-01-01,6.472,6.525,5.650,5.873,6648083.16
26,2021-01-02,5.873,5.895,5.182,5.430,8370206.76
27,2021-01-03,5.427,5.933,5.289,5.843,6684959.95
28,2021-01-04,5.843,6.309,5.250,6.057,9999434.40
29,2021-01-05,6.058,6.413,5.641,6.209,7218846.78
30,2021-01-06,6.209,6.970,5.884,6.708,9167535.41
31,2021-01-07,6.707,6.866,5.977,6.284,7448611.62
32,2021-01-08,6.283,6.361,5.668,5.940,6154893.38
33,2021-01-09,5.934,6.772,5.818,6.576,7462632.25
34,2021-01-10,6.576,7.174,5.962,6.421,10593998.53
35,2021-01-11,6.417,6.445,5.002,5.729,10413354.25
36,2021-01-12,5.735,6.149,5.519,5.718,5199455.53
37,2021-01-13,5.720,6.259,5.550,6.246,3915811.14
38,2021-01-14,6.247,6.619,6.152,6.486,5513093.53
39,2021-01-15,6.486,8.544,6.456,7.909,27189576.77
40,2021-01-16,7.909,9.640,7.533,9.048,20356366.41
41,2021-01-17,9.046,9.236,8.021,8.555,10964625.03
42,2021-01-18,8.552,9.879,8.550,9.570,11829055.26
43,2021-01-19,9.572,10.219,8.844,8.900,7108198.47
44,2021-01-20,8.903,9.504,7.950,8.915,8093118.14
45,2021-01-21,8.917,8.980,7.069,7.167,7313837.00
46,2021-01-22,7.166,8.471,6.600,7.988,7284132.98
47,2021-01-23,7.988,8.692,7.850,8.344,6103305.81
48,2021-01-24,8.344,8.802,7.868,8.254,4589513.04
49,2021-01-25,8.250,8.568,7.661,7.743,3901550.09
50,2021-01-26,7.742,7.965,7.377,7.743,3284495.87
51,2021-01-27,7.742,7.760,6.772,6.960,5799433.69
52,2021-01-28,6.960,8.560,6.814,8.052,9371964.56
53,2021-01-29,8.052,8.633,7.678,7.998,5783991.72
54,2021-01-30,8.001,8.325,7.765,8.075,3417877.47
55,2021-01-31,8.072,8.920,7.701,8.147,5906656.61
56,2021-02-01,8.151,9.317,7.836,9.308,6366162.96
57,2021-02-02,9.308,9.377,8.727,8.931,4818510.83
58,2021-02-03,8.931,9.475,8.775,9.312,3948235.54
59,2021-02-04,9.318,9.542,8.645,9.169,4812656.03
60,2021-02-05,9.170,12.865,9.018,12.218,13010382.62
61,2021-02-06,12.226,13.685,11.300,12.106,11530247.88
62,2021-02-07,12.106,14.064,11.452,13.861,11172666.85
63,2021-02-08,13.852,15.046,13.259,14.195,8874132.11
64,2021-02-09,14.201,15.536,13.819,15.076,5703165.77
65,2021-02-10,15.067,15.496,13.555,14.981,6491251.23
66,2021-02-11,14.979,18.400,14.782,17.621,7468243.52
67,2021-02-12,17.634,22.187,17.300,21.123,10877891.47
68,2021-02-13,21.127,22.116,19.200,20.303,5872238.54
69,2021-02-14,20.310,20.780,18.518,19.133,4014780.75
70,2021-02-15,19.144,25.000,14.786,22.543,14810197.58
71,2021-02-16,22.521,26.593,22.249,25.112,15625139.23
72,2021-02-17,25.122,25.881,22.515,23.881,8165345.27
73,2021-02-18,23.893,25.120,22.876,23.110,5362453.33
74,2021-02-19,23.119,23.619,21.497,22.979,4100832.79
75,2021-02-20,22.979,24.578,20.378,21.673,6872379.21
76,2021-02-21,21.660,22.708,20.821,21.613,5768373.03
77,2021-02-22,21.612,21.712,16.496,21.146,8657131.41
78,2021-02-23,21.154,23.358,15.107,20.139,16145856.27
79,2021-02-24,20.140,21.344,18.663,19.444,5991022.93
80,2021-02-25,19.455,20.618,17.551,17.765,5443778.60
81,2021-02-26,17.762,18.958,16.072,18.850,6743358.01
82,2021-02-27,18.851,20.995,18.614,19.135,6257823.24
83,2021-02-28,19.134,19.241,16.470,17.666,5118466.27
84,2021-03-01,17.667,18.872,17.490,18.737,3320129.30
85,2021-03-02,18.737,20.548,18.019,18.849,6177091.49
86,2021-03-03,18.837,22.038,18.604,21.437,6552797.44
87,2021-03-04,21.444,21.880,18.161,18.864,6676827.72
