,time,open,high,low,close,volume
0,2021-08-19,3.1920,3.6954,3.0369,3.2973,16329761
1,2021-08-20,3.3005,3.4492,3.1282,3.1616,12901592
2,2021-08-21,3.1621,3.1693,2.8557,2.8701,24459139
3,2021-08-22,2.8700,2.9988,2.7012,2.8284,12270302
4,2021-08-23,2.8288,3.2500,2.8146,3.0888,40680541
5,2021-08-24,3.0924,3.0960,2.6300,2.7185,24477452
6,2021-08-25,2.7193,2.8729,2.5515,2.7502,16977466
7,2021-08-26,2.7504,2.8236,2.3500,2.4290,19684820
8,2021-08-27,2.4282,2.6365,2.2400,2.5499,20601321
9,2021-08-28,2.5483,3.1453,2.4576,2.9353,57454838
10,2021-08-29,2.9373,3.1064,2.6879,2.8315,51434222
11,2021-08-30,2.8319,2.8333,2.4800,2.5135,28357702
12,2021-08-31,2.5135,2.7470,2.3823,2.4631,23178123
13,2021-09-01,2.4618,2.5807,2.3533,2.5468,23388295
14,2021-09-02,2.5471,2.7640,2.4721,2.6337,33126802
15,2021-09-03,2.6361,3.0840,2.5566,2.8508,66593551
16,2021-09-04,2.8497,2.9441,2.7200,2.7829,29345583
17,2021-09-05,2.7828,2.9316,2.7393,2.8720,25391221
18,2021-09-06,2.8703,3.0220,2.4544,2.6862,40927394
19,2021-09-07,2.6870,2.8282,1.7133,2.0888,53796562
20,2021-09-08,2.0887,2.2539,1.8563,2.1426,23015883
21,2021-09-09,2.1430,2.5434,2.1077,2.4503,27882963
22,2021-09-10,2.4481,2.5207,2.1336,2.2027,21061673
23,2021-09-11,2.2028,2.3454,2.1769,2.2870,11158972
24,2021-09-12,2.2871,2.4287,2.2190,2.2957,12496344
25,2021-09-13,2.2945,2.3206,2.0039,2.1406,13857588
26,2021-09-14,2.1407,2.2571,2.1255,2.1991,10939229
27,2021-09-15,2.1984,2.2702,2.1045,2.2587,17029616
28,2021-09-16,2.2590,3.0270,2.2350,2.9604,92755464
29,2021-09-17,2.9601,3.2000,2.6343,2.6990,110745753
30,2021-09-18,2.6985,2.8999,2.6362,2.7294,21890835
31,2021-09-19,2.7293,3.1367,2.6320,3.0577,42150463
32,2021-09-20,3.0581,3.1424,2.2184,2.3093,77053157
33,2021-09-21,2.3098,2.5465,1.9327,1.9906,44767368
34,2021-09-22,1.9903,2.3750,1.9533,2.2951,41702954
35,2021-09-23,2.2951,2.3418,2.1733,2.2965,21514028
36,2021-09-24,2.2964,2.3040,1.9274,2.1209,22082758
37,2021-09-25,2.1218,2.1774,2.0106,2.0791,15362102
38,2021-09-26,2.0801,2.1632,1.9151,2.0611,14733087
39,2021-09-27,2.0611,2.1946,2.0005,2.0078,14405980
40,2021-09-28,2.0086,2.1085,1.9100,1.9220,11954343
41,2021-09-29,1.9218,2.0649,1.9043,1.9624,10167192
42,2021-09-30,1.9631,2.1588,1.9480,2.0981,16185222
43,2021-10-01,2.0980,2.3720,2.0919,2.3531,19247702
44,2021-10-02,2.3535,2.4616,2.2570,2.3064,13962751
45,2021-10-03,2.3066,2.5699,2.2400,2.3790,24091626
46,2021-10-04,2.3776,2.3828,2.2122,2.2454,18350824
47,2021-10-05,2.2456,2.3264,2.1550,2.2130,15362849
48,2021-10-06,2.2132,2.2841,2.0156,2.1540,27830871
49,2021-10-07,2.1546,2.2298,2.0752,2.1123,17782004
50,2021-10-08,2.1124,2.1769,2.0722,2.1073,15403792
51,2021-10-09,2.1082,2.1740,2.0761,2.1265,13299302
52,2021-10-10,2.1266,2.1271,1.9626,1.9739,15550032
53,2021-10-11,1.9729,2.0851,1.9306,2.0182,17400471
54,2021-10-12,2.0171,2.0179,1.8300,1.9623,19686886
55,2021-10-13,1.9630,2.0450,1.8900,2.0070,23418053
56,2021-10-14,2.0070,2.1007,1.9974,2.0376,19312172
57,2021-10-15,2.0385,2.1319,1.9511,2.0507,24431743
58,2021-10-16,2.0508,2.1757,2.0228,2.0413,27444176
59,2021-10-17,2.0414,2.0871,1.9064,1.9717,20198113
60,2021-10-18,1.9720,2.0932,1.9351,1.9487,17909051
61,2021-10-19,1.9485,1.9922,1.9132,1.9555,10905541
62,2021-10-20,1.9548,2.0544,1.9161,2.0379,16189574
63,2021-10-21,2.0376,2.1251,1.9465,1.9724,21413151
64,2021-10-22,1.9725,2.1200,1.9685,2.0525,20192049
65,2021-10-23,2.0525,2.2373,2.0351,2.1381,37697292
66,2021-10-24,2.1383,2.3790,2.1226,2.2151,54015621
67,2021-10-25,2.2145,2.4098,2.1998,2.3929,32509727
68,2021-10-26,2.3931,2.4212,2.1814,2.2246,19816451
69,2021-10-27,2.2259,2.2807,1.7650,1.9283,28891843
70,2021-10-28,1.9296,2.0334,1.9026,1.9771,16758594
71,2021-10-29,1.9775,2.1208,1.9600,2.0567,19529194
72,2021-10-30,2.0569,2.3903,1.9706,2.3183,34090888
73,2021-10-31,2.3181,2.6985,2.1546,2.2264,64263620
74,2021-11-01,2.2271,2.5198,2.1207,2.2984,43621184
75,2021-11-02,2.2980,2.9200,2.2576,2.5743,84070098
76,2021-11-03,2.5735,2.7642,2.4624,2.6408,39457149
77,2021-11-04,2.6405,2.7677,2.4840,2.6210,25780614
78,2021-11-05,2.6211,2.9365,2.5460,2.5893,37213264
79,2021-11-06,2.5876,2.7069,2.4455,2.5431,14759232
80,2021-11-07,2.5429,2.6637,2.5261,2.5907,11123385
81,2021-11-08,2.5907,2.6984,2.5014,2.6818,20469309
82,2021-11-09,2.6810,2.8300,2.5646,2.6243,25692108
83,2021-11-10,2.6247,2.6459,2.1328,2.3402,34782698
84,2021-11-11,2.3408,2.4251,2.2726,2.3483,15017160
85,2021-11-12,2.3482,2.3799,2.1842,2.2683,16760625
86,2021-11-13,2.2676,2.4849,2.2666,2.3868,18919894
87,2021-11-14,2.3872,2.6248,2.3805,2.5352,23506583
88,2021-11-15,2.5360,2.5542,2.3638,2.3894,12012537
89,2021-11-16,2.3894,2.3895,1.9743,2.1583,23922182
90,2021-11-17,2.1583,2.2890,2.0345,2.2823,18886340
91,2021-11-18,2.2820,3.9667,2.1010,2.1427,231161362
92,2021-11-19,2.1456,2.3019,2.0745,2.1731,50538724
93,2021-11-20,2.1731,2.3023,2.1303,2.2507,30487838
94,2021-11-21,2.2513,2.3767,2.1663,2.2323,37302239
95,2021-11-22,2.2323,2.2612,2.0311,2.0809,32636371
96,2021-11-23,2.0800,3.0480,2.0451,2.7938,153603057
97,2021-11-24,2.7929,3.0407,2.4501,2.6217,89787763
98,2021-11-25,2.6218,2.7605,2.4300,2.4459,31847161
99,2021-11-26,2.4459,2.5065,2.1100,2.2010,36301197
100,2021-11-27,2.2000,2.6386,2.1823,2.4452,53915621
101,2021-11-28,2.4456,2.4499,2.2153,2.4228,30235914
102,2021-11-29,2.4232,2.5821,2.3705,2.4063,25453253
103,2021-11-30,2.4062,2.4868,2.2898,2.3009,23921757
104,2021-12-01,2.3013,2.5748,2.2861,2.3644,47089990
105,2021-12-02,2.3648,2.3760,2.2016,2.2481,22017951
106,2021-12-03,2.2481,2.3399,2.0414,2.1754,19807748
107,2021-12-04,2.1747,2.1831,1.3895,1.8972,43068526
108,2021-12-05,1.8963,1.9286,1.6772,1.7304,24055592
109,2021-12-06,1.7306,1.8501,1.5420,1.7421,34550136
110,2021-12-07,1.7419,1.8575,1.6879,1.7211,29698978
111,2021-12-08,1.7213,1.8615,1.6056,1.7657,29607249
112,2021-12-09,1.7657,1.8763,1.5944,1.5998,36634161
113,2021-12-10,1.5997,1.7582,1.5500,1.5591,52220570
114,2021-12-11,1.5596,1.6443,1.5287,1.6282,22587887
115,2021-12-12,1.6282,1.6539,1.5709,1.6279,20925815
