,time,open,high,low,close,volume
0,2020-12-07,3.5998,3.6074,3.3198,3.3765,4488009
1,2020-12-08,3.3750,3.3780,3.0701,3.1113,7236928
2,2020-12-09,3.1096,3.4039,2.7881,3.2588,8734253
3,2020-12-10,3.2566,3.3538,3.0660,3.1474,8009625
4,2020-12-11,3.1480,3.3078,3.0102,3.2383,6610199
5,2020-12-12,3.2392,3.4500,3.2380,3.3375,5943831
6,2020-12-13,3.3356,3.4201,3.2849,3.3445,5203782
7,2020-12-14,3.3432,3.3455,3.1396,3.1491,5336037
8,2020-12-15,3.1515,3.3749,3.0648,3.3012,4904741
9,2020-12-16,3.3012,3.3758,3.1501,3.3461,4992952
10,2020-12-17,3.3482,3.3797,3.1866,3.2177,6060521
11,2020-12-18,3.2168,3.4800,3.1463,3.4123,5122515
12,2020-12-19,3.4147,3.6127,3.3846,3.4660,4329142
13,2020-12-20,3.4663,3.4991,3.2801,3.3144,4048350
14,2020-12-21,3.3114,3.3608,3.0266,3.0923,5480209
15,2020-12-22,3.0909,3.1360,2.9230,3.0735,4744017
16,2020-12-23,3.0726,3.6024,2.7583,2.9529,10020865
17,2020-12-24,2.9535,3.1186,2.7843,3.1062,6766338
18,2020-12-25,3.1064,3.1350,2.8469,2.9534,5466761
19,2020-12-26,2.9522,3.0024,2.8475,2.9265,4255409
20,2020-12-27,2.9236,3.0809,2.8420,2.9100,5303471
21,2020-12-28,2.9115,3.0500,2.8721,2.9646,5509291
22,2020-12-29,2.9640,3.0212,2.8356,2.9253,5695232
23,2020-12-30,2.9261,2.9519,2.8356,2.9166,4484867
24,2020-12-31,2.9172,3.2901,2.7800,3.1926,5319432
25,2021-01-01,3.1894,3.8455,3.0479,3.6541,15285985
26,2021-01-02,3.6565,3.9450,3.2954,3.5050,9313951
27,2021-01-03,3.5046,3.8508,3.4002,3.4907,8124433
28,2021-01-04,3.4927,3.8861,3.2000,3.6036,9918202
29,2021-01-05,3.6034,4.3703,3.4648,4.2626,12610791
30,2021-01-06,4.2632,4.9949,4.1491,4.5808,9356697
31,2021-01-07,4.5808,4.8294,4.1735,4.4722,6930303
32,2021-01-08,4.4765,5.8591,4.0300,5.7084,12980609
33,2021-01-09,5.6965,7.4707,5.5763,7.1895,13126244
34,2021-01-10,7.1915,7.5090,6.1510,6.5449,7858043
35,2021-01-11,6.5428,6.9974,5.6944,6.4571,9132710
36,2021-01-12,6.4587,8.2125,6.3814,7.7118,10952556
37,2021-01-13,7.7083,8.4953,7.1157,8.4617,7971177
38,2021-01-14,8.4608,9.6014,8.2020,9.3204,8801902
39,2021-01-15,9.3284,9.9147,8.5623,9.3586,7746718
40,2021-01-16,9.3597,13.6592,9.1269,12.7952,11311763
41,2021-01-17,12.7817,14.7100,12.3000,13.1289,11329178
42,2021-01-18,13.1177,13.8446,12.5001,12.6751,5699519
