,time,open,high,low,close,volume
0,2020-12-07,0.48083,0.58114,0.46807,0.56149,40778010
1,2020-12-08,0.56199,0.64400,0.52378,0.57194,87201117
2,2020-12-09,0.57173,0.68138,0.55495,0.62867,55132446
3,2020-12-10,0.62919,0.64071,0.55500,0.56331,24048500
4,2020-12-11,0.56349,0.58145,0.49865,0.55088,28529843
5,2020-12-12,0.55135,0.62895,0.55006,0.57921,32409867
6,2020-12-13,0.57946,0.62109,0.56419,0.61338,16266125
7,2020-12-14,0.61415,0.66881,0.58060,0.64040,26779657
8,2020-12-15,0.64080,0.74700,0.60934,0.72881,33414806
9,2020-12-16,0.72910,0.80199,0.69000,0.74645,51160712
10,2020-12-17,0.74711,0.77322,0.68738,0.71449,33351022
11,2020-12-18,0.71429,0.84879,0.68722,0.82493,42799211
12,2020-12-19,0.82473,0.85834,0.75000,0.75797,20079803
13,2020-12-20,0.75756,0.79169,0.65747,0.69182,17026776
14,2020-12-21,0.69182,0.72044,0.59898,0.64152,18571093
15,2020-12-22,0.64196,0.66300,0.58877,0.65409,13108847
16,2020-12-23,0.65392,0.66200,0.45632,0.53234,21886399
17,2020-12-24,0.53339,0.64255,0.47899,0.63602,23258961
18,2020-12-25,0.63677,0.66684,0.57809,0.60116,14961783
19,2020-12-26,0.60173,0.61880,0.53665,0.57926,10559837
20,2020-12-27,0.57893,0.62892,0.52300,0.60047,13442214
21,2020-12-28,0.60134,0.66703,0.58428,0.59982,11970277
22,2020-12-29,0.59966,0.61381,0.53004,0.56334,9274750
23,2020-12-30,0.56318,0.58752,0.53209,0.53423,6878556
24,2020-12-31,0.53454,0.54000,0.50139,0.53800,8152620
25,2021-01-01,0.53779,0.62400,0.51275,0.59491,16574364
26,2021-01-02,0.59533,0.62558,0.53082,0.54220,16654123
27,2021-01-03,0.54284,0.58346,0.52200,0.57078,12786322
28,2021-01-04,0.57106,0.62317,0.51171,0.56477,20039642
29,2021-01-05,0.56442,0.58937,0.52039,0.55834,14079050
30,2021-01-06,0.55846,0.63424,0.53657,0.60481,22098406
31,2021-01-07,0.60542,0.74640,0.59040,0.60597,33886162
32,2021-01-08,0.60618,0.64744,0.53774,0.59619,25099118
33,2021-01-09,0.59637,0.64000,0.55703,0.60372,22495681
34,2021-01-10,0.60387,0.66503,0.52772,0.57447,20127811
35,2021-01-11,0.57476,0.57544,0.41748,0.49917,17593808
36,2021-01-12,0.49929,0.51706,0.44255,0.45102,11818577
37,2021-01-13,0.45058,0.50878,0.43696,0.50312,10844421
38,2021-01-14,0.50334,0.54618,0.48262,0.53673,12301741
39,2021-01-15,0.53698,0.57499,0.49624,0.54315,15727197
40,2021-01-16,0.54326,0.63212,0.54326,0.58362,18674888
41,2021-01-17,0.58399,0.65000,0.56186,0.61580,16528199
42,2021-01-18,0.61593,0.68484,0.58935,0.68425,21090097
43,2021-01-19,0.68484,0.71578,0.62117,0.62999,13658189
44,2021-01-20,0.62919,0.65964,0.57864,0.63548,12952787
45,2021-01-21,0.63548,0.73032,0.59830,0.64495,34185737
46,2021-01-22,0.64544,0.66991,0.53301,0.63459,20819177
47,2021-01-23,0.63450,0.73800,0.60323,0.69704,29350700
48,2021-01-24,0.69612,0.81099,0.68613,0.73583,26067593
49,2021-01-25,0.73506,0.88212,0.72031,0.83626,20226381
50,2021-01-26,0.83501,0.99899,0.81934,0.94950,46165513
51,2021-01-27,0.94925,1.17000,0.86153,0.87377,32728375
52,2021-01-28,0.87308,0.94316,0.81121,0.81744,22733217
53,2021-01-29,0.81861,0.84169,0.75070,0.81478,16068302
54,2021-01-30,0.81464,0.88640,0.76637,0.84560,14786122
55,2021-01-31,0.84520,0.87760,0.75975,0.80648,11328205
56,2021-02-01,0.80631,1.05720,0.77000,1.01110,21178602
57,2021-02-02,1.00997,1.03227,0.91596,0.96237,13582170
58,2021-02-03,0.96176,1.06340,0.95364,1.02080,10543739
59,2021-02-04,1.02070,1.02549,0.88616,0.95873,10141291
60,2021-02-05,0.95831,1.16781,0.95820,1.07993,18150941
61,2021-02-06,1.08049,1.09533,0.90969,0.96209,14446311
62,2021-02-07,0.96267,1.05715,0.89994,1.00395,15975907
63,2021-02-08,1.00289,1.46800,0.96818,1.37597,25775445
64,2021-02-09,1.37767,1.38771,1.23416,1.28641,18531079
65,2021-02-10,1.28617,1.51734,1.19106,1.37051,21033754
66,2021-02-11,1.37096,1.62835,1.34190,1.49274,11147690
67,2021-02-12,1.49309,1.86025,1.39548,1.81274,18087324
68,2021-02-13,1.81398,2.10469,1.57986,1.97547,21349835
69,2021-02-14,1.97698,2.35000,1.82022,2.16637,20821826
70,2021-02-15,2.16697,2.36790,1.69193,2.05285,20095114
71,2021-02-16,2.05337,2.21900,1.90010,1.97000,9459385
72,2021-02-17,1.97002,2.01558,1.78000,1.89333,8627623
73,2021-02-18,1.89587,2.22000,1.89257,2.14118,9725482
74,2021-02-19,2.14356,2.20614,1.94000,1.98772,8257037
75,2021-02-20,1.98925,2.16485,1.63813,1.78297,14828725
76,2021-02-21,1.78268,2.00000,1.71000,1.84004,10668193
77,2021-02-22,1.84142,1.88697,1.27000,1.65411,19543782
78,2021-02-23,1.65565,1.67536,1.07100,1.34887,15313835
79,2021-02-24,1.35041,1.55376,1.27209,1.36290,9373054
80,2021-02-25,1.36287,1.62471,1.32809,1.42378,5810583
81,2021-02-26,1.42487,1.60574,1.27696,1.49799,7949965
82,2021-02-27,1.49946,1.74674,1.49092,1.58580,6027834
83,2021-02-28,1.58405,1.58727,1.30692,1.40048,4666368
84,2021-03-01,1.40048,1.66169,1.39024,1.65862,8195133
85,2021-03-02,1.65710,1.86201,1.60000,1.68485,9236838
86,2021-03-03,1.68339,2.23695,1.65682,2.19448,13270488
87,2021-03-04,2.19448,3.10000,2.14920,2.83155,49771134
88,2021-03-05,2.82929,2.83202,2.35688,2.40811,15811402
89,2021-03-06,2.40999,2.61868,2.36000,2.54701,8711236
90,2021-03-07,2.54750,2.79651,2.53200,2.68397,6495683
91,2021-03-08,2.68588,3.73000,2.68587,3.67712,25626895
92,2021-03-09,3.68164,4.05990,3.32007,3.43582,16779084
93,2021-03-10,3.43796,4.40852,3.17000,3.86951,20401310
94,2021-03-11,3.86914,4.83841,3.64113,4.64673,15629390
95,2021-03-12,4.64677,5.72109,4.54190,5.01117,19688086
96,2021-03-13,5.00956,5.39598,4.71848,5.17766,11679363
97,2021-03-14,5.17998,6.39000,4.76735,5.85743,15995046
98,2021-03-15,5.85658,6.53305,5.34431,5.60075,10554214
