,time,open,high,low,close,volume
0,2020-12-07,13.721,14.117,13.285,13.450,446976.0
1,2020-12-08,13.451,14.047,12.139,12.417,702650.7
2,2020-12-09,12.409,12.665,11.707,12.401,403989.1
3,2020-12-10,12.399,12.486,11.568,11.964,576857.3
4,2020-12-11,11.968,12.014,10.859,11.157,571790.4
5,2020-12-12,11.157,11.890,11.146,11.760,424232.8
6,2020-12-13,11.758,12.564,11.663,12.527,458778.6
7,2020-12-14,12.526,12.569,11.873,12.268,405177.9
8,2020-12-15,12.268,12.583,11.678,12.132,579877.4
9,2020-12-16,12.134,14.185,11.884,14.067,1652338.4
10,2020-12-17,14.072,14.561,13.080,14.115,1664798.0
11,2020-12-18,14.123,14.863,13.749,14.528,905257.3
12,2020-12-19,14.537,14.839,14.071,14.134,398332.0
13,2020-12-20,14.132,14.138,12.826,13.201,471917.7
14,2020-12-21,13.196,13.403,12.185,12.610,564021.5
15,2020-12-22,12.612,13.253,12.000,13.214,534415.4
16,2020-12-23,13.209,13.288,10.757,11.615,831597.6
17,2020-12-24,11.604,12.500,11.032,12.446,1027651.3
18,2020-12-25,12.449,12.628,11.752,12.364,583673.5
19,2020-12-26,12.373,12.905,12.034,12.595,427534.8
20,2020-12-27,12.600,13.879,12.169,13.504,682741.0
21,2020-12-28,13.503,14.511,13.374,14.211,534006.5
22,2020-12-29,14.209,14.445,13.168,13.714,605329.4
23,2020-12-30,13.711,14.149,13.380,14.006,467913.3
24,2020-12-31,14.004,14.039,13.057,13.624,620085.0
25,2021-01-01,13.618,14.468,13.560,13.948,834676.8
26,2021-01-02,13.949,14.995,13.501,14.725,976098.5
27,2021-01-03,14.729,16.519,14.388,15.913,1233362.4
28,2021-01-04,15.914,17.675,13.804,15.787,1637104.1
29,2021-01-05,15.780,17.291,14.971,16.845,1556846.9
30,2021-01-06,16.862,18.620,16.262,18.415,1145032.8
31,2021-01-07,18.418,19.322,16.204,18.397,1384642.1
32,2021-01-08,18.413,19.197,15.700,17.962,1470244.8
33,2021-01-09,17.959,19.990,17.382,19.608,1172759.2
34,2021-01-10,19.619,21.583,17.750,19.146,1087798.4
35,2021-01-11,19.146,19.197,13.496,16.052,1595291.8
36,2021-01-12,16.030,17.195,14.817,15.308,982301.6
37,2021-01-13,15.316,17.534,14.755,17.492,859354.9
38,2021-01-14,17.505,18.726,16.472,17.786,743660.3
39,2021-01-15,17.792,18.528,15.724,17.792,868822.4
40,2021-01-16,17.805,21.019,17.755,19.284,954539.1
41,2021-01-17,19.296,21.730,17.954,20.819,1077813.7
42,2021-01-18,20.840,23.044,20.234,23.036,827429.6
43,2021-01-19,23.038,24.953,21.762,22.049,784802.1
44,2021-01-20,22.040,22.726,19.861,22.266,764068.5
45,2021-01-21,22.287,22.515,17.630,18.111,727471.6
46,2021-01-22,18.097,20.576,16.810,19.882,816292.9
47,2021-01-23,19.887,21.218,19.596,20.637,470252.0
48,2021-01-24,20.633,23.086,20.372,22.978,544275.6
49,2021-01-25,22.976,24.053,20.834,20.993,521340.7
