,time,open,high,low,close,volume
0,2020-12-07,6.6952,7.6780,6.5871,7.4473,5871455.0
1,2020-12-08,7.4468,7.8105,6.5750,6.7103,7346725.7
2,2020-12-09,6.7103,7.1661,6.0500,6.9234,6163840.6
3,2020-12-10,6.9219,7.0577,6.2511,6.4162,3056287.2
4,2020-12-11,6.4202,6.4666,5.8017,6.0489,3358955.3
5,2020-12-12,6.0428,6.4040,6.0252,6.2414,1900549.2
6,2020-12-13,6.2388,6.7099,6.1223,6.4598,2386715.3
7,2020-12-14,6.4598,7.0100,6.3169,6.8431,4253536.7
8,2020-12-15,6.8432,6.9900,6.4456,6.4912,2775587.3
9,2020-12-16,6.4911,6.9357,6.2500,6.7724,3332807.6
10,2020-12-17,6.7727,7.3400,6.5134,6.6830,8005184.0
11,2020-12-18,6.6842,6.8732,6.4561,6.7216,3783602.8
12,2020-12-19,6.7216,7.1400,6.6191,6.6780,4393009.1
13,2020-12-20,6.6768,6.9655,6.3879,6.5113,4273525.8
14,2020-12-21,6.5081,6.6488,6.0300,6.1771,3305897.0
15,2020-12-22,6.1751,6.3729,5.8890,6.1947,3093733.1
16,2020-12-23,6.1976,6.2802,4.4774,5.1709,5027976.8
17,2020-12-24,5.1670,5.5805,4.9003,5.5604,3730870.3
18,2020-12-25,5.5654,5.8370,5.3369,5.6214,2181559.9
19,2020-12-26,5.6225,5.6577,5.1770,5.2648,2592874.3
20,2020-12-27,5.2675,5.8573,5.0093,5.4255,5105229.3
21,2020-12-28,5.4237,6.1530,5.3290,6.0949,4692887.1
22,2020-12-29,6.0960,6.1928,5.3004,5.6531,4044503.0
23,2020-12-30,5.6532,5.7080,5.2600,5.3865,2193745.7
24,2020-12-31,5.3861,5.5917,5.2691,5.3550,1852256.6
25,2021-01-01,5.3561,5.7899,5.3062,5.5053,2279703.7
26,2021-01-02,5.5067,6.0600,5.3650,6.0581,3453691.3
27,2021-01-03,6.0582,6.9271,5.9137,6.7937,8794723.2
28,2021-01-04,6.7859,7.5550,6.0772,6.7454,7840919.4
29,2021-01-05,6.7494,7.7777,6.2468,7.4392,6048195.5
30,2021-01-06,7.4374,9.5667,7.0061,8.8899,10112745.8
31,2021-01-07,8.8908,9.6519,7.9154,8.5077,6772847.4
32,2021-01-08,8.5100,10.7350,7.6158,10.3486,11398615.7
33,2021-01-09,10.3437,11.4749,9.7599,9.9106,7927673.8
34,2021-01-10,9.9084,10.7612,8.3723,9.1479,6322522.9
35,2021-01-11,9.1486,9.1710,6.9610,7.9848,7257957.1
36,2021-01-12,7.9882,8.7074,7.4974,7.8633,4764177.6
37,2021-01-13,7.8675,9.2233,7.5000,8.9594,5674468.4
38,2021-01-14,8.9594,9.2777,8.3699,8.9048,6356577.6
39,2021-01-15,8.9048,10.7980,8.6464,10.5183,12466463.1
40,2021-01-16,10.5170,11.5248,9.8400,10.1916,9138200.0
41,2021-01-17,10.1969,10.7580,9.2001,10.3374,7262466.4
42,2021-01-18,10.3230,10.9135,9.3252,9.9808,5849115.2
43,2021-01-19,9.9814,10.7300,9.4000,9.4434,6562879.4
44,2021-01-20,9.4421,9.7587,8.5220,9.4753,5805624.8
45,2021-01-21,9.4786,9.5978,7.5560,7.7631,5239620.4
46,2021-01-22,7.7621,8.9807,7.1789,8.5774,4616419.3
47,2021-01-23,8.5824,10.2300,8.3150,9.6609,7666348.2
48,2021-01-24,9.6574,10.0060,8.8124,9.4084,5037492.3
49,2021-01-25,9.4173,10.4000,8.9100,8.9589,5993568.5
50,2021-01-26,8.9535,9.5080,8.3711,9.3592,4457611.2
51,2021-01-27,9.3583,9.3696,7.9846,8.2294,3813718.4
52,2021-01-28,8.2329,9.2664,8.0346,8.8549,3376334.1
53,2021-01-29,8.8530,9.0643,8.4572,8.6670,3073764.8
54,2021-01-30,8.6654,9.8800,8.4640,9.5153,4428990.1
55,2021-01-31,9.5114,10.3333,8.9052,9.0260,5084503.5
56,2021-02-01,9.0301,11.7941,8.5871,11.2349,9565756.7
57,2021-02-02,11.2252,12.9825,10.9500,11.3451,8073058.6
58,2021-02-03,11.3392,12.8039,11.1772,11.9237,4220983.1
59,2021-02-04,11.9166,12.5685,10.7010,11.6248,4866508.2
60,2021-02-05,11.6258,13.3000,11.5807,12.4712,5111444.5
61,2021-02-06,12.4623,12.6445,11.0262,11.5891,3080867.4
62,2021-02-07,11.5787,11.7774,10.3217,11.2305,3706788.2
63,2021-02-08,11.2364,12.5241,10.8689,11.6680,4097051.9
64,2021-02-09,11.6774,14.4636,11.5170,13.3681,6233540.7
65,2021-02-10,13.3682,13.9709,11.7080,13.1091,7145601.9
66,2021-02-11,13.1012,17.5600,12.6239,16.0510,9525143.7
67,2021-02-12,16.0475,19.7400,15.7001,18.7454,7905883.2
68,2021-02-13,18.7543,20.8232,16.5000,18.3499,6759398.6
69,2021-02-14,18.3570,18.7100,15.4224,16.9294,5240556.2
70,2021-02-15,16.9303,18.5196,13.6715,16.3689,8049584.4
71,2021-02-16,16.3690,18.4785,15.4704,16.5785,5526074.8
