,time,open,high,low,close,volume
0,2020-12-07,286.50,291.25,281.16,284.19,248418.978
1,2020-12-08,284.20,285.32,262.54,267.84,353135.756
2,2020-12-09,267.88,271.40,254.96,268.84,327245.598
3,2020-12-10,268.83,269.55,261.40,265.96,188337.249
4,2020-12-11,265.97,267.17,256.10,259.49,264815.097
5,2020-12-12,259.49,269.97,258.15,267.96,188694.937
6,2020-12-13,267.99,282.70,265.89,276.12,264148.710
7,2020-12-14,276.12,280.52,264.73,276.97,262665.113
8,2020-12-15,277.03,299.33,270.06,289.13,727611.325
9,2020-12-16,289.14,314.87,281.78,312.38,772505.749
10,2020-12-17,312.40,331.91,301.26,310.87,1328253.599
11,2020-12-18,310.84,323.80,305.06,313.64,706261.525
12,2020-12-19,313.63,326.25,309.62,318.28,585572.757
13,2020-12-20,318.26,368.83,310.26,349.41,1604197.539
14,2020-12-21,349.38,381.00,306.78,313.65,2084449.870
15,2020-12-22,313.67,325.00,298.00,322.83,904621.050
16,2020-12-23,322.82,326.60,265.69,275.21,1094981.969
17,2020-12-24,275.21,299.70,270.13,296.74,719005.813
18,2020-12-25,296.66,325.58,293.22,319.37,872119.101
19,2020-12-26,319.40,330.81,310.01,324.06,930073.005
20,2020-12-27,323.95,367.73,306.18,338.42,1488136.497
21,2020-12-28,338.32,377.72,334.14,361.12,1037753.147
22,2020-12-29,361.16,367.55,330.64,353.37,747890.523
23,2020-12-30,353.33,367.71,341.43,359.26,733212.188
24,2020-12-31,359.33,361.93,334.56,342.49,549601.221
25,2021-01-01,342.49,355.96,331.00,342.00,503065.387
26,2021-01-02,341.99,368.80,333.48,354.88,805647.368
27,2021-01-03,354.92,435.65,354.69,425.18,1749575.560
28,2021-01-04,425.15,468.20,378.08,405.66,1569669.473
29,2021-01-05,405.77,425.86,390.00,418.74,879639.307
30,2021-01-06,418.92,459.18,410.94,454.23,895990.226
31,2021-01-07,454.26,485.30,425.38,448.99,1115864.573
32,2021-01-08,448.77,455.50,402.08,437.33,1062059.882
33,2021-01-09,437.54,590.00,418.08,576.54,1783124.847
34,2021-01-10,576.49,630.00,548.00,601.44,2910249.086
35,2021-01-11,601.36,604.60,400.19,476.91,2583133.588
36,2021-01-12,476.69,510.95,443.74,452.27,997849.765
37,2021-01-13,452.31,501.50,435.35,496.75,873753.745
38,2021-01-14,496.75,539.79,483.95,527.67,770515.378
39,2021-01-15,527.62,537.09,452.23,491.10,836629.410
40,2021-01-16,491.11,516.73,473.85,490.14,581788.317
41,2021-01-17,490.22,496.40,461.65,480.00,404197.959
42,2021-01-18,479.88,515.00,470.07,509.66,504798.720
43,2021-01-19,509.78,554.96,503.49,507.75,784663.918
44,2021-01-20,507.84,519.08,470.29,497.48,620709.684
45,2021-01-21,497.48,499.92,405.05,418.74,721656.644
46,2021-01-22,418.66,450.85,391.53,440.32,696043.282
47,2021-01-23,440.44,444.31,419.02,431.89,405321.985
48,2021-01-24,431.70,449.53,421.71,439.98,405053.472
49,2021-01-25,440.00,466.22,430.75,432.29,506363.385
50,2021-01-26,432.37,439.00,413.30,428.12,362871.708
51,2021-01-27,428.21,428.71,369.75,377.43,641046.908
52,2021-01-28,377.56,415.10,370.43,405.38,439938.202
53,2021-01-29,405.28,436.08,391.56,407.70,709034.590
54,2021-01-30,407.70,421.06,392.33,417.80,377150.259
55,2021-01-31,417.80,417.80,391.15,400.09,289888.346
56,2021-02-01,400.00,446.53,390.00,414.95,629976.179
57,2021-02-02,415.01,436.00,411.44,431.04,460615.383
58,2021-02-03,430.92,450.74,428.00,446.81,530955.415
59,2021-02-04,446.79,456.37,413.00,421.32,495368.644
60,2021-02-05,421.28,449.63,417.74,448.20,473208.103
61,2021-02-06,448.34,491.51,446.74,459.12,995410.108
62,2021-02-07,459.09,465.06,430.00,445.76,576827.350
63,2021-02-08,445.62,490.50,437.01,485.00,640896.448
64,2021-02-09,484.95,521.15,472.81,516.06,908157.348
65,2021-02-10,515.97,544.24,464.13,495.53,1235514.084
66,2021-02-11,495.39,544.39,490.75,530.78,699235.987
67,2021-02-12,530.78,581.00,510.00,577.54,894487.420
68,2021-02-13,577.31,669.82,541.00,668.90,1371692.403
69,2021-02-14,669.05,750.47,652.38,721.70,1848970.970
70,2021-02-15,721.49,776.50,586.76,715.77,2317547.341
71,2021-02-16,716.50,746.10,667.97,705.87,1209673.381
72,2021-02-17,705.97,730.37,675.64,717.41,885628.198
73,2021-02-18,717.64,733.46,690.31,704.90,624240.751
74,2021-02-19,705.02,747.37,681.62,720.23,816086.526
75,2021-02-20,720.19,751.61,622.44,679.36,1044353.179
76,2021-02-21,679.09,738.27,666.18,707.65,803795.999
77,2021-02-22,707.69,712.20,516.16,628.60,1273129.463
78,2021-02-23,628.50,632.95,405.00,515.49,1670482.267
79,2021-02-24,515.32,555.89,495.05,526.66,755272.253
80,2021-02-25,526.51,557.65,493.49,499.31,652861.022
81,2021-02-26,499.25,508.76,457.21,484.69,653289.144
82,2021-02-27,484.71,502.79,473.11,483.43,379602.325
83,2021-02-28,483.43,485.51,431.40,460.55,542716.122
84,2021-03-01,460.55,507.00,457.51,501.84,411467.535
85,2021-03-02,501.82,550.30,494.23,517.47,760024.285
86,2021-03-03,517.48,556.38,511.22,521.45,556422.239
87,2021-03-04,521.34,539.01,492.72,506.03,525950.646
