,time,open,high,low,close,volume
0,2020-12-07,1.20305,1.28618,1.17000,1.21316,13760662
1,2020-12-08,1.21264,1.46914,1.17156,1.36608,20171725
2,2020-12-09,1.36429,1.55752,1.34685,1.40231,29315487
3,2020-12-10,1.40366,1.41523,1.26000,1.30440,13515791
4,2020-12-11,1.30488,1.30935,1.11501,1.15405,14610066
5,2020-12-12,1.15442,1.22127,1.09319,1.12605,8830371
6,2020-12-13,1.12587,1.20132,1.08397,1.17070,8479993
7,2020-12-14,1.16993,1.17164,1.09336,1.11426,7972158
8,2020-12-15,1.11506,1.16577,1.09212,1.11320,7212262
9,2020-12-16,1.11367,1.17039,1.03987,1.13750,11129279
10,2020-12-17,1.13749,1.27510,1.09265,1.18937,14239185
11,2020-12-18,1.18761,1.32828,1.12900,1.28060,11553248
12,2020-12-19,1.28060,1.31000,1.19305,1.19723,8406788
13,2020-12-20,1.19701,1.19924,1.08500,1.09752,8987114
14,2020-12-21,1.09682,1.13554,1.01234,1.05281,8930663
15,2020-12-22,1.05324,1.09273,0.96266,1.02796,9398155
16,2020-12-23,1.02679,1.08120,0.76000,0.83488,13104402
17,2020-12-24,0.83483,0.89876,0.76810,0.89636,8978766
18,2020-12-25,0.89689,0.91968,0.82345,0.84249,6883723
19,2020-12-26,0.84248,0.86998,0.80354,0.83181,6700941
20,2020-12-27,0.83282,0.88000,0.79010,0.83096,8846189
21,2020-12-28,0.83271,0.94000,0.82451,0.89701,7751482
22,2020-12-29,0.89668,0.90866,0.81429,0.83964,5733100
23,2020-12-30,0.84010,0.88368,0.82583,0.88006,5882397
24,2020-12-31,0.88080,0.88559,0.83874,0.86459,5201111
25,2021-01-01,0.86532,0.93657,0.85394,0.90224,6793370
26,2021-01-02,0.90200,0.90330,0.81685,0.84049,5403727
27,2021-01-03,0.84065,0.90640,0.80702,0.89999,7547173
28,2021-01-04,0.89998,0.98992,0.82000,0.87326,9938218
29,2021-01-05,0.87415,0.98208,0.83378,0.93628,11548510
30,2021-01-06,0.93673,1.04200,0.91150,0.98384,11249036
31,2021-01-07,0.98538,1.09752,0.93939,0.95266,12642206
32,2021-01-08,0.95150,1.09417,0.85172,1.02059,16362140
33,2021-01-09,1.02031,1.14876,1.00891,1.10172,12156471
34,2021-01-10,1.10196,1.18337,0.95914,1.03637,12774806
35,2021-01-11,1.03659,1.03875,0.80101,0.90461,11567317
36,2021-01-12,0.90462,0.94039,0.83799,0.86535,6711616
37,2021-01-13,0.86545,0.96820,0.83707,0.95840,8456618
38,2021-01-14,0.95867,1.00935,0.93715,0.98889,6182425
39,2021-01-15,0.99003,1.06934,0.92567,1.00322,8623117
40,2021-01-16,1.00185,1.16150,1.00183,1.12303,9339028
41,2021-01-17,1.12328,1.36593,1.07098,1.32287,12825967
42,2021-01-18,1.32285,1.57131,1.30021,1.41317,16134324
43,2021-01-19,1.41400,1.42645,1.24587,1.24662,7818879
44,2021-01-20,1.24791,1.36000,1.19719,1.35313,8815772
45,2021-01-21,1.35422,1.65000,1.26672,1.44632,34510515
46,2021-01-22,1.44428,1.77288,1.30000,1.70530,20520957
47,2021-01-23,1.70358,1.85660,1.63103,1.68831,13688598
48,2021-01-24,1.68832,1.75191,1.57647,1.65700,10839955
49,2021-01-25,1.65711,1.74606,1.52000,1.53249,9088772
50,2021-01-26,1.53234,1.60447,1.37522,1.55134,10950188
51,2021-01-27,1.54968,1.55453,1.30652,1.33398,8397200
52,2021-01-28,1.33262,1.81007,1.31000,1.54882,20463847
53,2021-01-29,1.54768,1.59352,1.42006,1.48238,8751188
54,2021-01-30,1.48102,1.68827,1.40369,1.56638,10774474
