,time,open,high,low,close,volume
0,2020-12-07,0.07590,0.07614,0.07290,0.07415,18577929
1,2020-12-08,0.07408,0.07555,0.06746,0.06885,35019539
2,2020-12-09,0.06885,0.06924,0.06400,0.06859,27748594
3,2020-12-10,0.06857,0.06892,0.06451,0.06560,17540405
4,2020-12-11,0.06556,0.06597,0.06057,0.06141,25425356
5,2020-12-12,0.06143,0.06569,0.06121,0.06491,14826546
6,2020-12-13,0.06493,0.07039,0.06404,0.07035,35595985
7,2020-12-14,0.07029,0.07141,0.06836,0.06998,25019016
8,2020-12-15,0.07001,0.07061,0.06709,0.06787,21246513
9,2020-12-16,0.06781,0.07012,0.06640,0.06864,28748139
10,2020-12-17,0.06862,0.07056,0.06453,0.06522,62602787
11,2020-12-18,0.06534,0.06800,0.06440,0.06770,25223286
12,2020-12-19,0.06766,0.07290,0.06726,0.07164,53608033
13,2020-12-20,0.07161,0.07662,0.06850,0.06946,76149107
14,2020-12-21,0.06952,0.07038,0.06301,0.06387,56038158
15,2020-12-22,0.06389,0.06537,0.05860,0.06212,42786619
16,2020-12-23,0.06213,0.06249,0.04512,0.04935,76535186
17,2020-12-24,0.04935,0.05835,0.04727,0.05826,59615225
18,2020-12-25,0.05818,0.06146,0.05530,0.05703,49113190
19,2020-12-26,0.05705,0.05954,0.05165,0.05933,88264296
20,2020-12-27,0.05939,0.07444,0.05705,0.06712,221575845
21,2020-12-28,0.06713,0.07799,0.06703,0.07249,225508760
22,2020-12-29,0.07249,0.07417,0.06402,0.06738,81525747
23,2020-12-30,0.06739,0.06796,0.06218,0.06426,30199289
24,2020-12-31,0.06421,0.06447,0.05833,0.06053,50528218
25,2021-01-01,0.06057,0.06938,0.05969,0.06554,60850518
26,2021-01-02,0.06560,0.06573,0.06264,0.06293,35103850
27,2021-01-03,0.06292,0.06916,0.06123,0.06807,54660296
28,2021-01-04,0.06807,0.07597,0.06369,0.07204,108541538
29,2021-01-05,0.07209,0.08327,0.06914,0.08167,165774938
30,2021-01-06,0.08170,0.09445,0.07800,0.08507,120952856
31,2021-01-07,0.08516,0.09580,0.07764,0.08064,119928599
32,2021-01-08,0.08047,0.08342,0.06843,0.07884,140341614
33,2021-01-09,0.07882,0.09448,0.07568,0.09073,102557828
34,2021-01-10,0.09082,0.09882,0.07981,0.08825,102536469
35,2021-01-11,0.08821,0.08862,0.06220,0.07112,150839470
36,2021-01-12,0.07105,0.07673,0.06574,0.06950,83459726
37,2021-01-13,0.06944,0.07886,0.06614,0.07842,127477605
38,2021-01-14,0.07849,0.08281,0.07492,0.07972,68586775
39,2021-01-15,0.07978,0.09260,0.07667,0.08590,122153618
40,2021-01-16,0.08595,0.10144,0.08595,0.09536,134144063
41,2021-01-17,0.09532,0.11254,0.08842,0.10803,110299229
42,2021-01-18,0.10806,0.12000,0.10649,0.11440,119486165
43,2021-01-19,0.11440,0.14750,0.10926,0.14046,251523224
44,2021-01-20,0.14075,0.16215,0.13432,0.15228,266089740
45,2021-01-21,0.15236,0.15292,0.11578,0.11634,120493678
46,2021-01-22,0.11611,0.14507,0.10791,0.13594,104946286
47,2021-01-23,0.13596,0.15179,0.13318,0.14365,139874893
48,2021-01-24,0.14353,0.15139,0.12921,0.13574,101202292
49,2021-01-25,0.13575,0.15099,0.13123,0.14875,128270673
50,2021-01-26,0.14871,0.15952,0.13546,0.14459,125745572
51,2021-01-27,0.14452,0.14472,0.11801,0.12463,69103974
52,2021-01-28,0.12457,0.14748,0.12036,0.13783,126135396
53,2021-01-29,0.13784,0.14391,0.13295,0.13745,68462216
54,2021-01-30,0.13733,0.14976,0.13281,0.13921,65248396
55,2021-01-31,0.13938,0.14300,0.13043,0.13454,42377822
56,2021-02-01,0.13454,0.16899,0.13047,0.16405,127960085
57,2021-02-02,0.16407,0.16769,0.14235,0.14887,79545147
58,2021-02-03,0.14883,0.15983,0.14400,0.15179,101874289
59,2021-02-04,0.15186,0.15750,0.13577,0.14221,113744283
60,2021-02-05,0.14237,0.16744,0.14220,0.16260,161479084
61,2021-02-06,0.16252,0.16477,0.13808,0.14530,96226082
62,2021-02-07,0.14538,0.14925,0.13045,0.14113,118315595
63,2021-02-08,0.14113,0.15180,0.13778,0.14577,77699448
64,2021-02-09,0.14590,0.17880,0.14361,0.17103,189747695
65,2021-02-10,0.17135,0.20450,0.15000,0.20289,250167176
66,2021-02-11,0.20303,0.21602,0.18785,0.19793,149168722
67,2021-02-12,0.19818,0.23000,0.19120,0.22135,116675257
68,2021-02-13,0.22132,0.23305,0.19542,0.22534,116081198
69,2021-02-14,0.22534,0.26748,0.19693,0.23549,197497325
70,2021-02-15,0.23588,0.24548,0.18537,0.20331,174822846
