,time,open,high,low,close,volume
0,2022-04-01,60.0200,93.2800,60.0000,78.3100,5048854.9
1,2022-04-02,78.3000,84.0300,73.3600,75.1100,923031.2
2,2022-04-03,75.1000,99.0000,70.5000,93.6800,3205243.4
3,2022-04-04,93.6500,104.5200,85.6100,88.0100,2848347.7
4,2022-04-05,87.9800,114.6100,86.0000,110.8900,4237704.8
5,2022-04-06,110.8600,117.2900,95.6700,100.3200,3138898.3
6,2022-04-07,100.3100,109.8800,98.5000,101.7800,1332002.5
7,2022-04-08,101.8300,118.0000,91.6300,114.0200,1999834.7
8,2022-04-09,114.0200,121.4600,111.4000,116.3900,2661043.7
9,2022-04-10,116.3800,119.2500,111.0000,116.7400,1116768.1
10,2022-04-11,116.7300,124.9900,104.5500,106.6200,1911029.6
11,2022-04-12,106.6100,111.0000,104.2200,106.9900,520930.3
12,2022-04-13,106.9900,111.3200,105.7000,109.2900,364310.7
13,2022-04-14,109.3000,112.8800,102.1000,104.7500,410030.6
14,2022-04-15,104.7500,105.1000,101.2800,103.2700,200686.4
15,2022-04-16,103.2700,104.8900,100.5500,102.6200,186284.6
16,2022-04-17,102.6100,102.6200,98.7300,100.5500,145063.3
17,2022-04-18,100.5500,113.5600,98.9500,108.8400,946763.7
18,2022-04-19,108.8500,112.8500,105.0000,107.3700,406104.4
19,2022-04-20,107.3800,107.4000,105.3500,106.7800,13002.6
