,time,open,high,low,close,volume
0,2021-02-01,0.03610,0.04688,0.03610,0.04000,157303662
1,2021-02-02,0.04000,0.04369,0.03531,0.03971,221531092
2,2021-02-03,0.03971,0.04431,0.03971,0.04202,114061872
3,2021-02-04,0.04203,0.04800,0.04002,0.04354,178231780
4,2021-02-05,0.04354,0.04811,0.04256,0.04711,151277972
5,2021-02-06,0.04711,0.04745,0.04077,0.04320,109784385
6,2021-02-07,0.04320,0.04396,0.03894,0.04220,91766625
7,2021-02-08,0.04224,0.05050,0.04066,0.04677,315564135
8,2021-02-09,0.04681,0.05460,0.04565,0.05137,197830729
9,2021-02-10,0.05148,0.05511,0.04450,0.05063,225599456
10,2021-02-11,0.05058,0.06710,0.05000,0.06590,346594166
11,2021-02-12,0.06573,0.06666,0.05800,0.06267,153666075
12,2021-02-13,0.06268,0.08150,0.06263,0.07620,539629774
13,2021-02-14,0.07624,0.08222,0.06574,0.07021,203421678
14,2021-02-15,0.07021,0.07390,0.04855,0.06051,371083985
15,2021-02-16,0.06053,0.06502,0.05575,0.05898,169819711
16,2021-02-17,0.05900,0.06280,0.05550,0.06175,98280432
17,2021-02-18,0.06178,0.06624,0.05850,0.06321,139171320
18,2021-02-19,0.06332,0.06678,0.05931,0.06352,143195939
19,2021-02-20,0.06351,0.06571,0.05400,0.05798,140577578
20,2021-02-21,0.05797,0.06179,0.05655,0.05938,73876044
21,2021-02-22,0.05933,0.06500,0.04471,0.05436,300834017
22,2021-02-23,0.05444,0.05478,0.03672,0.04643,348635683
23,2021-02-24,0.04643,0.05328,0.04379,0.04885,242258288
24,2021-02-25,0.04882,0.05066,0.04509,0.04533,102128279
25,2021-02-26,0.04534,0.04638,0.03991,0.04263,214401110
26,2021-02-27,0.04260,0.04779,0.04246,0.04477,94357325
27,2021-02-28,0.04476,0.04593,0.04062,0.04347,102924876
28,2021-03-01,0.04354,0.04950,0.04285,0.04762,160694676
29,2021-03-02,0.04769,0.04858,0.04322,0.04561,111514468
30,2021-03-03,0.04567,0.05310,0.04523,0.04949,206537149
31,2021-03-04,0.04942,0.05224,0.04668,0.04797,108590396
32,2021-03-05,0.04802,0.05119,0.04551,0.05028,113500343
33,2021-03-06,0.05037,0.05391,0.04929,0.05215,124712307
34,2021-03-07,0.05222,0.05806,0.05222,0.05562,121178314
35,2021-03-08,0.05562,0.05784,0.05344,0.05665,108208161
36,2021-03-09,0.05665,0.06423,0.05556,0.06307,267574784
37,2021-03-10,0.06308,0.06755,0.05777,0.06139,312594736
38,2021-03-11,0.06146,0.07696,0.05871,0.07264,546441573
39,2021-03-12,0.07272,0.08210,0.06630,0.07973,437864429
40,2021-03-13,0.07970,0.08604,0.07403,0.07486,304272587
41,2021-03-14,0.07483,0.09300,0.06855,0.08454,789539862
42,2021-03-15,0.08451,0.09229,0.07409,0.07826,476058307
43,2021-03-16,0.07825,0.07935,0.07238,0.07446,206254179
44,2021-03-17,0.07453,0.07493,0.06888,0.07362,143921056
45,2021-03-18,0.07362,0.07774,0.07211,0.07270,134086723
46,2021-03-19,0.07278,0.07564,0.07058,0.07332,83063725
47,2021-03-20,0.07320,0.08735,0.07289,0.07642,530867443
48,2021-03-21,0.07629,0.08600,0.07461,0.08151,323177875
49,2021-03-22,0.08151,0.08660,0.07501,0.07677,226021081
50,2021-03-23,0.07669,0.07988,0.07171,0.07455,160945548
51,2021-03-24,0.07456,0.08058,0.06475,0.06958,361930367
52,2021-03-25,0.06959,0.07070,0.06358,0.06628,221603693
53,2021-03-26,0.06633,0.07549,0.06626,0.07399,143880229
54,2021-03-27,0.07402,0.08150,0.06938,0.07832,312575055
55,2021-03-28,0.07830,0.09060,0.07766,0.08559,395451409
56,2021-03-29,0.08560,0.09207,0.08301,0.08642,252532416
57,2021-03-30,0.08643,0.08900,0.08424,0.08598,158194347
58,2021-03-31,0.08600,0.10314,0.07615,0.09902,587476835
59,2021-04-01,0.09917,0.10226,0.08809,0.09162,301208195
60,2021-04-02,0.09162,0.12718,0.09085,0.11268,1551621520
61,2021-04-03,0.11268,0.11461,0.10010,0.10184,540820651
62,2021-04-04,0.10184,0.11704,0.10001,0.11538,327607818
63,2021-04-05,0.11539,0.16038,0.10818,0.13717,1353786619
64,2021-04-06,0.13722,0.14439,0.12000,0.12875,660801011
65,2021-04-07,0.12881,0.13814,0.10573,0.11301,844091902
66,2021-04-08,0.11301,0.12688,0.11158,0.12325,437065860
67,2021-04-09,0.12325,0.13390,0.12114,0.12308,339209270
68,2021-04-10,0.12307,0.13255,0.11962,0.12645,212353118
69,2021-04-11,0.12642,0.13233,0.12181,0.12821,204322027
70,2021-04-12,0.12817,0.13542,0.11999,0.12283,260282446
71,2021-04-13,0.12290,0.12548,0.11772,0.12356,159931724
72,2021-04-14,0.12373,0.13754,0.11942,0.12420,411227616
73,2021-04-15,0.12425,0.13861,0.12289,0.13516,244179228
74,2021-04-16,0.13528,0.15400,0.12473,0.15008,354988815
75,2021-04-17,0.15014,0.17500,0.13969,0.14243,369496689
76,2021-04-18,0.14244,0.14465,0.09000,0.12180,550777741
77,2021-04-19,0.12179,0.13000,0.10521,0.10843,229029401
78,2021-04-20,0.10848,0.12076,0.09822,0.11445,259427276
79,2021-04-21,0.11440,0.12610,0.11128,0.11155,413426773
80,2021-04-22,0.11158,0.12120,0.10000,0.10312,340354256
81,2021-04-23,0.10306,0.10516,0.08054,0.09399,487524446
82,2021-04-24,0.09404,0.09434,0.08350,0.08492,258521330
83,2021-04-25,0.08497,0.09378,0.08003,0.08460,205716070
84,2021-04-26,0.08461,0.10227,0.08366,0.10155,267051006
85,2021-04-27,0.10153,0.12795,0.09985,0.12360,514858946
86,2021-04-28,0.12362,0.12628,0.10737,0.11465,325032802
87,2021-04-29,0.11464,0.11551,0.10514,0.11063,139281272
88,2021-04-30,0.11058,0.13180,0.10787,0.13100,340193637
89,2021-05-01,0.13099,0.13390,0.11880,0.12647,226304633
90,2021-05-02,0.12652,0.12828,0.11802,0.12282,204396347
91,2021-05-03,0.12293,0.12956,0.11909,0.12200,156448070
92,2021-05-04,0.12197,0.12202,0.10767,0.11478,233906212
93,2021-05-05,0.11480,0.13063,0.11333,0.12931,256165481
94,2021-05-06,0.12933,0.14800,0.12477,0.14317,334554648
95,2021-05-07,0.14319,0.15815,0.13348,0.14024,347508531
96,2021-05-08,0.14025,0.14468,0.13065,0.13400,185510164
97,2021-05-09,0.13400,0.13867,0.12203,0.12821,167660756
98,2021-05-10,0.12825,0.13669,0.09948,0.11263,262635384
99,2021-05-11,0.11260,0.11953,0.10658,0.11918,395068003
100,2021-05-12,0.11930,0.12204,0.09275,0.09538,264028555
101,2021-05-13,0.09514,0.10567,0.08926,0.09868,345083920
102,2021-05-14,0.09860,0.10770,0.09820,0.10386,203066027
103,2021-05-15,0.10390,0.10530,0.09096,0.09213,196817023
104,2021-05-16,0.09210,0.12199,0.09123,0.10325,1272118306
105,2021-05-17,0.10326,0.10357,0.09071,0.09553,467061823
