,time,open,high,low,close,volume
0,2021-09-27,6.798,6.863,6.082,6.142,2931874.9
1,2021-09-28,6.139,6.272,5.794,5.819,2158778.8
2,2021-09-29,5.819,6.175,5.507,5.700,3021144.6
3,2021-09-30,5.698,5.878,5.550,5.646,3194712.1
4,2021-10-01,5.653,6.327,5.612,6.164,4502184.3
5,2021-10-02,6.164,6.640,6.020,6.292,4080925.7
6,2021-10-03,6.290,6.665,6.060,6.309,3911089.5
7,2021-10-04,6.311,6.350,5.923,6.022,4465060.5
8,2021-10-05,6.019,6.192,5.726,5.934,4198380.5
9,2021-10-06,5.933,5.993,5.456,5.750,4401911.3
10,2021-10-07,5.749,6.040,5.603,5.907,3778487.0
11,2021-10-08,5.907,6.069,5.779,5.885,3573058.6
12,2021-10-09,5.887,6.333,5.815,5.947,6303134.2
13,2021-10-10,5.951,6.002,5.600,5.653,3382142.7
14,2021-10-11,5.650,5.863,5.400,5.579,3396004.5
15,2021-10-12,5.575,5.715,5.088,5.577,5761448.7
16,2021-10-13,5.580,5.850,5.297,5.676,5117012.3
17,2021-10-14,5.680,6.264,5.622,5.915,7787186.5
18,2021-10-15,5.913,5.981,5.589,5.885,4355329.5
19,2021-10-16,5.880,6.117,5.786,5.881,2857743.9
20,2021-10-17,5.887,6.600,5.826,6.151,10023242.0
21,2021-10-18,6.151,6.510,5.906,6.147,6730937.4
22,2021-10-19,6.147,6.273,6.020,6.099,2178678.1
23,2021-10-20,6.099,6.841,6.034,6.559,5713816.4
24,2021-10-21,6.560,7.063,6.429,6.987,9425925.1
25,2021-10-22,6.987,6.998,6.410,6.644,4268946.6
26,2021-10-23,6.645,6.764,6.389,6.525,2473629.8
27,2021-10-24,6.522,6.883,6.468,6.708,4071208.7
28,2021-10-25,6.712,7.434,6.677,7.244,9554161.4
29,2021-10-26,7.245,7.880,7.067,7.260,12706809.4
30,2021-10-27,7.261,7.357,5.740,6.220,10970391.6
31,2021-10-28,6.217,6.697,6.153,6.448,5711804.4
32,2021-10-29,6.447,6.849,6.400,6.784,4488118.7
33,2021-10-30,6.784,6.846,6.200,6.299,4204425.0
34,2021-10-31,6.298,6.409,6.015,6.244,3737569.1
35,2021-11-01,6.245,6.556,6.165,6.297,4778713.8
36,2021-11-02,6.298,6.463,6.204,6.300,3250558.2
37,2021-11-03,6.303,6.638,6.226,6.471,7263209.1
38,2021-11-04,6.470,6.754,6.243,6.353,5986380.9
39,2021-11-05,6.355,6.458,6.258,6.294,3197116.9
40,2021-11-06,6.294,6.557,6.050,6.340,3909824.3
41,2021-11-07,6.335,6.459,6.205,6.343,2740832.0
42,2021-11-08,6.346,6.497,6.214,6.440,3865522.5
43,2021-11-09,6.442,6.790,6.375,6.635,6445601.3
44,2021-11-10,6.634,6.744,5.300,6.111,8782829.6
45,2021-11-11,6.110,6.238,5.992,6.083,3442254.3
46,2021-11-12,6.079,6.150,5.713,5.884,3768303.3
47,2021-11-13,5.885,5.924,5.745,5.849,2924181.6
48,2021-11-14,5.848,5.946,5.715,5.832,2960763.8
49,2021-11-15,5.835,5.887,5.545,5.635,4063386.5
50,2021-11-16,5.635,5.638,4.799,5.165,8147436.7
51,2021-11-17,5.167,5.249,4.971,5.148,3896078.6
52,2021-11-18,5.148,5.474,4.802,5.003,7738540.2
