,time,open,high,low,close,volume
0,2020-12-07,137.12,151.07,134.95,149.75,241335.864
1,2020-12-08,149.75,179.22,148.85,155.45,967753.252
2,2020-12-09,155.45,171.37,145.50,164.55,533298.110
3,2020-12-10,164.55,165.96,147.94,149.24,337368.593
4,2020-12-11,149.27,150.24,137.41,142.60,331954.884
5,2020-12-12,142.65,153.44,141.68,144.48,235230.654
6,2020-12-13,144.43,153.26,140.17,147.14,180631.650
7,2020-12-14,147.17,159.84,143.59,152.84,281953.140
8,2020-12-15,152.83,154.01,145.90,149.99,199642.002
9,2020-12-16,150.02,157.49,147.27,155.61,214922.692
10,2020-12-17,155.61,178.79,152.19,177.22,368376.774
11,2020-12-18,177.22,177.91,150.20,160.54,376024.650
12,2020-12-19,160.51,165.18,154.53,155.77,145444.954
13,2020-12-20,155.74,162.74,151.32,153.67,149147.631
14,2020-12-21,153.70,155.60,139.39,141.64,138954.261
15,2020-12-22,141.64,148.78,135.60,145.11,135153.111
16,2020-12-23,145.13,148.89,121.75,129.56,175261.058
17,2020-12-24,129.55,137.64,125.57,136.49,127942.181
18,2020-12-25,136.47,143.54,133.85,137.46,95324.460
19,2020-12-26,137.44,138.49,127.67,129.91,107077.994
20,2020-12-27,129.89,140.38,127.66,131.44,159492.335
21,2020-12-28,131.38,143.70,129.72,143.55,145363.751
22,2020-12-29,143.52,146.41,130.00,139.34,204129.830
23,2020-12-30,139.34,158.49,138.00,156.45,242926.477
24,2020-12-31,156.33,156.54,142.10,148.77,160806.031
25,2021-01-01,148.81,154.65,139.34,145.27,194220.843
26,2021-01-02,145.24,147.53,134.48,136.59,147704.447
27,2021-01-03,136.59,152.07,135.52,147.40,234155.591
28,2021-01-04,147.51,162.20,138.23,151.45,345186.522
29,2021-01-05,151.38,165.99,146.46,161.69,248816.403
30,2021-01-06,161.66,185.94,159.70,184.36,254715.827
31,2021-01-07,184.41,192.11,165.33,172.46,325109.748
32,2021-01-08,172.50,181.75,153.29,165.56,292018.796
33,2021-01-09,165.47,186.43,161.19,180.46,204162.175
