,time,open,high,low,close,volume
0,2020-12-07,0.702,0.745,0.685,0.708,49734912.2
1,2020-12-08,0.708,0.713,0.585,0.609,65740104.9
2,2020-12-09,0.608,0.640,0.558,0.632,55573661.1
3,2020-12-10,0.632,0.642,0.581,0.601,39731645.3
4,2020-12-11,0.601,0.604,0.535,0.557,51582169.7
5,2020-12-12,0.557,0.599,0.557,0.592,33265538.9
6,2020-12-13,0.593,0.637,0.577,0.618,41432123.6
7,2020-12-14,0.618,0.642,0.594,0.638,31480815.1
8,2020-12-15,0.638,0.674,0.624,0.628,47154711.2
9,2020-12-16,0.628,0.655,0.595,0.652,49656768.0
10,2020-12-17,0.652,0.689,0.616,0.656,69097997.7
11,2020-12-18,0.656,0.659,0.622,0.646,37926382.6
12,2020-12-19,0.646,0.700,0.640,0.665,43878034.4
13,2020-12-20,0.665,0.667,0.606,0.618,38771593.2
14,2020-12-21,0.617,0.630,0.538,0.559,50749458.7
15,2020-12-22,0.558,0.571,0.508,0.558,45869440.7
16,2020-12-23,0.558,0.569,0.370,0.418,85440188.8
17,2020-12-24,0.419,0.480,0.403,0.477,69309413.2
18,2020-12-25,0.478,0.534,0.463,0.488,57399823.6
19,2020-12-26,0.488,0.493,0.448,0.470,35647580.9
20,2020-12-27,0.470,0.515,0.438,0.472,59016393.1
21,2020-12-28,0.472,0.524,0.466,0.499,37207480.5
22,2020-12-29,0.498,0.514,0.443,0.473,53025288.1
23,2020-12-30,0.474,0.591,0.466,0.580,133020201.6
24,2020-12-31,0.580,0.634,0.520,0.625,95673778.7
25,2021-01-01,0.625,0.675,0.602,0.620,93612608.9
26,2021-01-02,0.621,0.624,0.564,0.612,79859958.1
27,2021-01-03,0.613,0.696,0.585,0.681,89617295.2
28,2021-01-04,0.681,0.736,0.578,0.676,121845458.9
29,2021-01-05,0.677,0.728,0.622,0.689,97268110.1
30,2021-01-06,0.690,0.788,0.668,0.734,87248469.2
31,2021-01-07,0.735,0.793,0.683,0.719,76013096.6
32,2021-01-08,0.719,0.739,0.619,0.694,80980641.9
33,2021-01-09,0.693,0.807,0.668,0.769,65133387.2
34,2021-01-10,0.768,0.849,0.699,0.755,88613323.0
35,2021-01-11,0.754,0.758,0.527,0.620,110936714.7
