,time,open,high,low,close,volume
0,2020-12-07,1.02539,1.10716,1.00900,1.07818,7188996
1,2020-12-08,1.07750,1.29108,1.02541,1.16570,21994313
2,2020-12-09,1.16570,1.18746,1.04406,1.13727,19370286
3,2020-12-10,1.13664,1.17581,1.06158,1.08299,10851156
4,2020-12-11,1.08120,1.08482,0.94736,0.96277,12319941
5,2020-12-12,0.96267,1.02618,0.96100,0.98907,7678317
6,2020-12-13,0.98958,1.02588,0.96500,0.99443,7966289
7,2020-12-14,0.99485,0.99512,0.95463,0.98272,7158566
8,2020-12-15,0.98283,0.99649,0.96012,0.97783,6388597
9,2020-12-16,0.97845,1.05696,0.96410,0.99451,9403749
10,2020-12-17,0.99508,1.05696,0.97429,1.01680,10419915
11,2020-12-18,1.01665,1.07600,0.98400,1.02321,9301350
12,2020-12-19,1.02393,1.12600,1.00204,1.01922,25617073
13,2020-12-20,1.01926,1.01934,0.89841,0.92584,9645046
14,2020-12-21,0.92584,0.96766,0.76150,0.86676,12259076
15,2020-12-22,0.86689,0.94977,0.84373,0.93355,10608134
16,2020-12-23,0.93453,1.02200,0.77777,0.83648,29850239
17,2020-12-24,0.83558,0.86564,0.78810,0.86532,7275591
18,2020-12-25,0.86549,0.88062,0.79740,0.81752,6009916
19,2020-12-26,0.81852,1.00160,0.76740,0.80374,34490838
20,2020-12-27,0.80319,0.85358,0.78301,0.80514,10963511
21,2020-12-28,0.80588,0.85625,0.80083,0.82642,5513362
22,2020-12-29,0.82686,0.85596,0.80280,0.82765,6570422
23,2020-12-30,0.82875,0.84700,0.79702,0.84650,4994847
24,2020-12-31,0.84705,0.86400,0.81262,0.84952,5528267
25,2021-01-01,0.84999,0.91400,0.83825,0.86969,5032425
26,2021-01-02,0.87023,0.91764,0.84643,0.87636,5573703
27,2021-01-03,0.87734,0.93650,0.86672,0.93376,5608781
28,2021-01-04,0.93440,1.07154,0.87390,0.98052,9772499
29,2021-01-05,0.98137,1.24663,0.85950,0.91368,46752574
30,2021-01-06,0.91341,1.00638,0.88505,0.94532,15463530
31,2021-01-07,0.94651,0.98089,0.82100,0.90271,11625064
32,2021-01-08,0.90342,0.91746,0.84000,0.90301,7508001
33,2021-01-09,0.90327,0.94769,0.87450,0.92186,7261556
34,2021-01-10,0.92208,0.98623,0.87100,0.91339,9882585
35,2021-01-11,0.91413,0.91639,0.79700,0.87093,9832355
36,2021-01-12,0.87028,0.90939,0.83564,0.89159,6655300
37,2021-01-13,0.89146,0.96173,0.86878,0.94972,5952749
38,2021-01-14,0.95043,1.01116,0.92740,1.00200,5662883
39,2021-01-15,1.00155,1.02900,0.93381,1.01108,7373222
40,2021-01-16,1.01084,1.11760,1.01084,1.04777,7732186
41,2021-01-17,1.04640,1.14376,0.98855,1.11400,7223942
42,2021-01-18,1.11673,1.19100,1.03087,1.18601,10446902
43,2021-01-19,1.18646,1.18919,1.09570,1.09666,5942550
44,2021-01-20,1.09552,1.25213,1.03225,1.24025,8350334
45,2021-01-21,1.24197,1.54197,0.80120,0.93200,95814651
46,2021-01-22,0.93161,1.05000,0.84641,0.98451,23182332
47,2021-01-23,0.98463,1.04234,0.95258,1.00238,9206188
48,2021-01-24,1.00129,1.06930,0.96599,1.01688,10259055
49,2021-01-25,1.01657,1.03876,0.90907,0.92858,9060467
50,2021-01-26,0.92722,0.96299,0.90388,0.94359,7834096
51,2021-01-27,0.94259,0.96000,0.81000,0.88370,14085616
52,2021-01-28,0.88316,0.96218,0.86000,0.94219,9052952
53,2021-01-29,0.94296,0.95683,0.85868,0.90536,8388551
54,2021-01-30,0.90518,0.93886,0.88075,0.92533,6412863
55,2021-01-31,0.92582,0.97239,0.88996,0.92136,6526651
56,2021-02-01,0.92112,1.00300,0.89900,0.98337,7547906
57,2021-02-02,0.98326,1.04215,0.96051,0.98504,7244093
58,2021-02-03,0.98495,1.05007,0.98241,1.02355,9319766
59,2021-02-04,1.02341,1.04410,0.92000,1.00258,11047623
60,2021-02-05,1.00199,1.27539,1.00188,1.20458,13636144
61,2021-02-06,1.20486,1.22440,1.04783,1.16912,10709388
62,2021-02-07,1.17094,1.33000,1.11600,1.26069,16001333
63,2021-02-08,1.26040,1.85000,1.24860,1.73536,24584822
64,2021-02-09,1.73544,1.98000,1.65466,1.80000,22238104
65,2021-02-10,1.80265,2.40609,1.64890,2.22863,33433052
66,2021-02-11,2.22961,2.43985,1.99778,2.11864,15586964
67,2021-02-12,2.11932,2.58882,2.07029,2.32339,16629245
68,2021-02-13,2.32367,2.56000,2.10000,2.38746,16880224
69,2021-02-14,2.39003,2.51933,2.00000,2.08771,12596707
