,time,open,high,low,close,volume
0,2020-12-07,102.20,104.57,100.36,101.68,89795.571
1,2020-12-08,101.70,101.91,93.24,95.11,96448.921
2,2020-12-09,95.05,96.16,88.56,95.61,105351.960
3,2020-12-10,95.54,96.06,90.82,93.04,60406.853
4,2020-12-11,93.05,95.32,87.85,93.33,156603.355
5,2020-12-12,93.36,97.42,93.00,94.87,90421.442
6,2020-12-13,94.88,99.49,93.78,97.70,83734.353
7,2020-12-14,97.69,97.84,94.31,96.78,72691.690
8,2020-12-15,96.76,97.64,94.10,97.07,66936.122
9,2020-12-16,97.08,105.67,94.59,105.43,142145.620
10,2020-12-17,105.45,115.99,101.23,108.40,272435.076
11,2020-12-18,108.36,114.24,104.04,108.15,210421.909
12,2020-12-19,108.16,112.65,105.70,108.47,122965.558
13,2020-12-20,108.47,114.68,104.34,109.65,227651.038
14,2020-12-21,109.63,119.69,101.39,104.01,318867.867
15,2020-12-22,103.97,106.60,96.02,105.78,187816.950
16,2020-12-23,105.74,106.44,87.01,91.37,176501.330
17,2020-12-24,91.44,99.58,87.54,98.57,134323.800
18,2020-12-25,98.58,105.28,95.83,103.21,237482.197
19,2020-12-26,103.21,112.83,102.12,108.08,259964.302
20,2020-12-27,108.08,113.51,100.96,107.59,242327.665
21,2020-12-28,107.56,111.14,104.29,107.28,202541.943
22,2020-12-29,107.25,108.92,99.05,104.03,168095.207
23,2020-12-30,104.11,105.76,98.97,101.93,130238.364
24,2020-12-31,101.90,102.48,96.73,99.63,97809.207
25,2021-01-01,99.64,102.98,86.12,88.01,624301.604
26,2021-01-02,88.03,94.03,84.50,87.06,457919.803
27,2021-01-03,87.09,92.37,85.28,89.85,308712.114
28,2021-01-04,89.91,97.35,85.03,89.11,387538.700
29,2021-01-05,89.11,90.41,85.50,89.24,213420.300
30,2021-01-06,89.22,95.23,88.06,94.41,354840.938
31,2021-01-07,94.42,108.46,92.16,99.05,469956.929
32,2021-01-08,99.11,100.99,92.10,96.36,291523.262
33,2021-01-09,96.37,111.58,94.29,110.17,332515.816
34,2021-01-10,110.20,158.60,110.17,146.99,1691583.757
35,2021-01-11,146.82,148.58,106.19,125.40,1210998.610
36,2021-01-12,125.22,135.90,116.51,128.56,509213.155
37,2021-01-13,128.61,137.74,120.17,133.35,408692.905
38,2021-01-14,133.34,138.16,129.18,133.20,263478.817
39,2021-01-15,133.20,137.10,116.51,124.48,272228.716
40,2021-01-16,124.42,132.64,121.41,125.00,231104.863
41,2021-01-17,124.97,127.16,120.25,124.36,190541.644
42,2021-01-18,124.38,132.92,121.01,129.61,241826.474
43,2021-01-19,129.69,135.28,122.46,124.56,271600.872
44,2021-01-20,124.58,127.44,111.43,121.25,333304.555
45,2021-01-21,121.27,122.08,99.59,99.86,363745.550
46,2021-01-22,99.81,108.32,93.87,104.84,382959.946
47,2021-01-23,104.82,110.13,102.09,105.37,340377.128
48,2021-01-24,105.39,111.15,103.59,106.27,266799.333
49,2021-01-25,106.30,113.50,104.79,105.05,356193.483
50,2021-01-26,105.00,106.44,100.32,105.01,240601.227
51,2021-01-27,105.00,105.10,94.40,96.58,268510.345
52,2021-01-28,96.54,105.70,94.90,102.81,258479.424
53,2021-01-29,102.81,110.48,101.14,104.72,320271.050
54,2021-01-30,104.73,106.40,100.61,105.36,169060.350
55,2021-01-31,105.36,106.49,100.11,102.53,144703.022
56,2021-02-01,102.52,106.00,100.33,103.75,182152.252
57,2021-02-02,103.70,111.32,103.28,110.03,274558.210
58,2021-02-03,110.04,119.03,110.04,117.19,327807.524
59,2021-02-04,117.17,119.12,110.00,111.11,255667.174
60,2021-02-05,111.10,122.98,110.51,120.56,393653.985
61,2021-02-06,120.60,123.55,114.64,119.20,319660.640
62,2021-02-07,119.22,122.33,112.37,118.48,240564.546
63,2021-02-08,118.53,126.98,114.95,126.59,257916.501
64,2021-02-09,126.59,138.27,124.14,137.57,288145.032
65,2021-02-10,137.61,149.33,125.98,139.94,502835.774
66,2021-02-11,139.94,168.30,138.31,165.18,568359.582
67,2021-02-12,165.04,174.13,155.52,170.26,405177.597
68,2021-02-13,170.31,297.44,170.30,268.27,2055971.995
69,2021-02-14,268.42,279.98,222.52,231.06,813231.081
70,2021-02-15,231.16,291.21,193.44,260.00,1461087.811
71,2021-02-16,259.96,273.59,242.63,250.06,702758.312
72,2021-02-17,249.99,272.17,235.18,266.83,567814.401
73,2021-02-18,266.82,305.87,258.83,281.39,844126.741
74,2021-02-19,281.61,338.56,270.13,324.47,894249.798
75,2021-02-20,324.42,335.83,281.32,297.70,569797.540
76,2021-02-21,297.82,317.83,290.50,301.88,454332.892
77,2021-02-22,301.93,303.79,225.66,271.83,544582.578
78,2021-02-23,271.78,273.50,200.00,231.33,623418.425
79,2021-02-24,231.33,263.38,218.08,237.64,579448.501
80,2021-02-25,237.64,249.19,217.00,218.54,526736.463
81,2021-02-26,218.68,224.38,202.03,206.81,323005.030
82,2021-02-27,206.84,224.56,205.34,210.85,321433.304
83,2021-02-28,210.73,212.19,181.38,197.13,383910.523
84,2021-03-01,197.24,225.17,196.12,225.15,289352.130
85,2021-03-02,225.12,230.46,209.26,216.09,284199.127
86,2021-03-03,216.06,236.27,214.04,222.90,252699.357
87,2021-03-04,222.80,230.40,206.06,211.43,262471.959
88,2021-03-05,211.43,211.86,196.20,205.86,233357.612
89,2021-03-06,205.88,210.89,200.63,208.90,161232.508
90,2021-03-07,208.90,215.23,206.53,215.02,172837.578
91,2021-03-08,214.92,219.40,206.66,218.44,188516.075
92,2021-03-09,218.52,246.17,215.06,244.55,308901.512
93,2021-03-10,244.56,250.57,226.00,234.78,315197.223
