,time,open,high,low,close,volume
0,2021-04-21,0.13600,0.17480,0.12288,0.15324,562196977
1,2021-04-22,0.15324,0.17187,0.12423,0.12764,626879734
2,2021-04-23,0.12765,0.13193,0.09110,0.12545,405816316
3,2021-04-24,0.12527,0.12881,0.10909,0.10977,178861038
4,2021-04-25,0.10969,0.12141,0.09777,0.10633,143542801
5,2021-04-26,0.10616,0.12895,0.10420,0.12493,165992603
6,2021-04-27,0.12505,0.13990,0.12185,0.13330,146538293
7,2021-04-28,0.13330,0.13837,0.12191,0.12621,90271831
8,2021-04-29,0.12599,0.13348,0.12009,0.12670,101982334
9,2021-04-30,0.12666,0.15424,0.12359,0.15154,190260146
10,2021-05-01,0.15154,0.18264,0.15009,0.15624,815167990
11,2021-05-02,0.15625,0.16556,0.14273,0.15770,363563799
12,2021-05-03,0.15773,0.16184,0.15019,0.15099,171917441
13,2021-05-04,0.15116,0.15145,0.13057,0.13385,234012977
14,2021-05-05,0.13385,0.15400,0.13179,0.14519,146350780
15,2021-05-06,0.14523,0.15497,0.13636,0.14049,168173254
16,2021-05-07,0.14042,0.15202,0.13823,0.14938,150910453
17,2021-05-08,0.14930,0.15757,0.14520,0.14743,153195721
18,2021-05-09,0.14749,0.14856,0.13710,0.14507,93014769
19,2021-05-10,0.14521,0.15186,0.10855,0.12828,203799958
20,2021-05-11,0.12842,0.13334,0.12263,0.13240,80414391
21,2021-05-12,0.13240,0.14276,0.10716,0.10857,138895214
22,2021-05-13,0.10860,0.12544,0.09672,0.11584,168564782
23,2021-05-14,0.11584,0.12550,0.11455,0.11948,74579705
24,2021-05-15,0.11957,0.12137,0.10603,0.10788,83298543
25,2021-05-16,0.10797,0.11962,0.10132,0.11188,132769956
26,2021-05-17,0.11188,0.11527,0.09672,0.10088,156342573
27,2021-05-18,0.10084,0.10920,0.09901,0.10857,133459210
28,2021-05-19,0.10864,0.10978,0.03500,0.07322,396638843
29,2021-05-20,0.07322,0.10242,0.06572,0.09023,394232118
30,2021-05-21,0.09024,0.09384,0.06170,0.07723,199745890
31,2021-05-22,0.07719,0.07965,0.06708,0.07044,131733006
32,2021-05-23,0.07046,0.07340,0.04961,0.06190,255349362
33,2021-05-24,0.06196,0.07313,0.06096,0.07124,158165409
34,2021-05-25,0.07133,0.07490,0.06291,0.06924,124144472
35,2021-05-26,0.06929,0.07872,0.06765,0.07860,125318571
36,2021-05-27,0.07857,0.07871,0.06825,0.07075,138822054
37,2021-05-28,0.07076,0.07114,0.05680,0.06125,218822478
38,2021-05-29,0.06116,0.06499,0.05378,0.05881,131455000
39,2021-05-30,0.05889,0.06426,0.05450,0.06036,86122967
40,2021-05-31,0.06041,0.06657,0.05814,0.06622,120831715
41,2021-06-01,0.06627,0.07085,0.06426,0.06599,139249534
42,2021-06-02,0.06604,0.07507,0.06409,0.07211,170020929
43,2021-06-03,0.07207,0.07880,0.06861,0.07692,311112414
44,2021-06-04,0.07689,0.07723,0.06167,0.06752,174114070
45,2021-06-05,0.06746,0.07128,0.06145,0.06462,104809965
46,2021-06-06,0.06467,0.06782,0.06401,0.06569,56877396
47,2021-06-07,0.06570,0.07464,0.05965,0.06046,572048790
48,2021-06-08,0.06046,0.06300,0.05211,0.06142,335650703
49,2021-06-09,0.06140,0.06604,0.05785,0.06590,225935404
50,2021-06-10,0.06590,0.06602,0.05802,0.05992,118500639
51,2021-06-11,0.05994,0.06434,0.05481,0.05633,161824827
52,2021-06-12,0.05633,0.06239,0.05234,0.05346,371905425
53,2021-06-13,0.05341,0.06017,0.05245,0.05791,216138526
54,2021-06-14,0.05791,0.05966,0.05656,0.05886,127565655
55,2021-06-15,0.05887,0.06195,0.05661,0.05802,131063283
56,2021-06-16,0.05803,0.05859,0.05393,0.05534,100054052
57,2021-06-17,0.05537,0.05776,0.05360,0.05575,91871208
58,2021-06-18,0.05574,0.05606,0.04764,0.05065,167639111
59,2021-06-19,0.05053,0.05212,0.04871,0.04902,84129232
60,2021-06-20,0.04902,0.05097,0.04489,0.04970,134958823
61,2021-06-21,0.04969,0.05024,0.03751,0.03786,292732921
