,time,open,high,low,close,volume
0,2021-02-19,6.510,8.000,5.419,6.230,5302359.1
1,2021-02-20,6.247,8.940,5.800,6.502,23771825.7
2,2021-02-21,6.511,7.461,6.235,6.856,11157624.6
3,2021-02-22,6.856,7.084,4.371,5.705,14455456.5
4,2021-02-23,5.707,5.742,3.359,4.849,15829787.7
5,2021-02-24,4.845,5.680,4.450,4.853,7856779.8
6,2021-02-25,4.853,5.274,4.208,4.264,5901200.4
7,2021-02-26,4.268,4.390,3.720,3.978,7005339.9
8,2021-02-27,3.983,4.678,3.968,4.190,6929966.2
9,2021-02-28,4.192,4.242,3.297,3.635,6277733.3
10,2021-03-01,3.630,4.399,3.579,4.320,5745894.8
11,2021-03-02,4.324,4.473,3.780,4.088,4366913.7
12,2021-03-03,4.089,4.817,4.013,4.405,7474258.8
13,2021-03-04,4.403,4.803,4.068,4.148,5297645.8
14,2021-03-05,4.148,4.153,3.814,3.915,4121161.7
15,2021-03-06,3.912,4.122,3.820,3.967,3798349.7
16,2021-03-07,3.972,4.350,3.950,4.222,3891080.8
17,2021-03-08,4.228,4.271,3.900,4.016,5060993.2
18,2021-03-09,4.017,4.168,3.923,4.102,11588183.5
19,2021-03-10,4.102,4.295,3.461,3.667,11796525.5
20,2021-03-11,3.663,3.848,3.501,3.705,6255999.4
21,2021-03-12,3.709,3.729,3.279,3.447,6920091.6
22,2021-03-13,3.444,4.200,3.300,3.940,11773162.6
23,2021-03-14,3.945,4.380,3.737,4.101,13751258.8
24,2021-03-15,4.100,5.129,4.029,4.154,24503132.4
25,2021-03-16,4.149,4.500,3.900,4.313,11494858.7
26,2021-03-17,4.320,4.473,3.964,4.206,6459125.5
27,2021-03-18,4.212,4.374,4.090,4.108,6626286.8
28,2021-03-19,4.111,4.270,4.000,4.076,4472602.3
29,2021-03-20,4.071,4.397,4.042,4.062,6309691.7
30,2021-03-21,4.064,4.152,3.836,3.924,5446779.2
31,2021-03-22,3.927,4.000,3.459,3.570,9044339.2
32,2021-03-23,3.566,3.672,3.340,3.425,6989788.8
33,2021-03-24,3.421,3.982,3.001,3.209,15632901.8
34,2021-03-25,3.208,3.329,2.950,3.180,10925799.7
35,2021-03-26,3.180,3.523,3.176,3.422,6474469.1
36,2021-03-27,3.424,4.299,3.395,3.957,17704281.7
37,2021-03-28,3.962,4.270,3.866,4.069,13134831.1
38,2021-03-29,4.064,4.710,4.028,4.362,20190714.9
39,2021-03-30,4.366,4.448,4.119,4.175,8913527.1
40,2021-03-31,4.175,4.282,3.649,4.063,15127508.9
41,2021-04-01,4.068,4.384,3.978,4.043,9147630.0
42,2021-04-02,4.048,4.196,3.861,3.983,5561770.1
43,2021-04-03,3.983,4.082,3.606,3.632,7960252.2
44,2021-04-04,3.633,3.949,3.559,3.947,5418575.2
45,2021-04-05,3.947,4.165,3.712,3.971,7043370.2
46,2021-04-06,3.971,4.118,3.656,3.874,11345627.0
47,2021-04-07,3.874,3.902,3.321,3.464,14250928.0
48,2021-04-08,3.464,3.873,3.450,3.816,10137656.8
49,2021-04-09,3.817,4.163,3.739,4.042,15214694.8
50,2021-04-10,4.042,4.409,3.879,4.053,14155964.9
51,2021-04-11,4.055,4.960,3.965,4.802,24745666.7
52,2021-04-12,4.803,5.473,4.470,4.689,43795160.3
53,2021-04-13,4.690,5.254,4.536,4.954,21290644.4
54,2021-04-14,4.954,5.670,4.669,5.431,34205605.1
55,2021-04-15,5.431,5.500,5.000,5.149,16088237.2
56,2021-04-16,5.150,5.337,4.498,4.711,21718619.0
57,2021-04-17,4.711,4.970,4.410,4.569,12340631.0
58,2021-04-18,4.569,4.631,3.118,3.788,33258805.0
59,2021-04-19,3.787,4.002,3.366,3.490,17359921.0
60,2021-04-20,3.490,3.900,3.118,3.757,19216802.4
61,2021-04-21,3.755,3.840,3.467,3.503,14430050.6
62,2021-04-22,3.502,3.733,3.201,3.306,15245336.6
63,2021-04-23,3.304,3.372,2.442,2.950,24695912.3
64,2021-04-24,2.948,2.981,2.608,2.654,15302656.1
65,2021-04-25,2.655,3.020,2.501,2.706,15123766.1
66,2021-04-26,2.706,3.273,2.669,3.267,18498277.6
67,2021-04-27,3.268,3.651,3.151,3.583,18854098.4
68,2021-04-28,3.583,3.717,3.212,3.427,14119091.3
69,2021-04-29,3.427,4.088,3.348,3.836,23266141.7
70,2021-04-30,3.836,4.018,3.707,3.995,12740973.0
71,2021-05-01,3.997,4.085,3.650,3.837,10835068.1
