,time,open,high,low,close,volume
0,2020-12-07,0.003391,0.003406,0.003303,0.003341,427527036
1,2020-12-08,0.003340,0.003364,0.003107,0.003176,1076869765
2,2020-12-09,0.003176,0.003185,0.003003,0.003150,1020299434
3,2020-12-10,0.003151,0.003171,0.003057,0.003096,525283399
4,2020-12-11,0.003100,0.003107,0.003000,0.003069,949285980
5,2020-12-12,0.003070,0.003189,0.003066,0.003153,760549836
6,2020-12-13,0.003154,0.003275,0.003142,0.003260,999837337
7,2020-12-14,0.003260,0.003283,0.003190,0.003224,675069936
8,2020-12-15,0.003225,0.003256,0.003166,0.003206,684980304
9,2020-12-16,0.003207,0.003434,0.003175,0.003422,1908833423
10,2020-12-17,0.003422,0.004139,0.003403,0.003732,7844233058
11,2020-12-18,0.003728,0.004006,0.003600,0.003866,3390531520
12,2020-12-19,0.003867,0.004050,0.003798,0.003930,2551219594
13,2020-12-20,0.003927,0.004756,0.003817,0.004642,16279135613
14,2020-12-21,0.004641,0.005445,0.004300,0.004778,18755209024
15,2020-12-22,0.004777,0.004846,0.004329,0.004521,6379411827
16,2020-12-23,0.004525,0.004775,0.003581,0.003755,5772921591
17,2020-12-24,0.003756,0.004599,0.003658,0.004575,4472929810
18,2020-12-25,0.004579,0.004642,0.004367,0.004565,3819609004
19,2020-12-26,0.004565,0.004673,0.004401,0.004519,3090781583
20,2020-12-27,0.004519,0.004841,0.004387,0.004554,4044523113
21,2020-12-28,0.004551,0.004744,0.004495,0.004609,2313272273
22,2020-12-29,0.004608,0.004644,0.004240,0.004498,2431306696
23,2020-12-30,0.004502,0.004752,0.004438,0.004635,2061932177
24,2020-12-31,0.004638,0.004775,0.004522,0.004678,1791408661
25,2021-01-01,0.004679,0.005690,0.004617,0.005680,4582399306
26,2021-01-02,0.005680,0.014076,0.005550,0.010542,98909809915
27,2021-01-03,0.010543,0.014000,0.009331,0.009877,58969892265
28,2021-01-04,0.009878,0.011554,0.007700,0.009796,26513693076
29,2021-01-05,0.009796,0.010345,0.008848,0.010000,9898853432
30,2021-01-06,0.009994,0.011077,0.009533,0.010468,9302684365
31,2021-01-07,0.010468,0.010634,0.008908,0.009767,5072262793
32,2021-01-08,0.009775,0.010353,0.008767,0.009755,4745569525
33,2021-01-09,0.009758,0.010809,0.009660,0.010202,4922822551
34,2021-01-10,0.010205,0.010981,0.009000,0.009841,5116967631
35,2021-01-11,0.009842,0.009890,0.006660,0.008801,8037098845
36,2021-01-12,0.008800,0.009154,0.007825,0.008067,3816093963
37,2021-01-13,0.008063,0.008686,0.007729,0.008675,2595745235
38,2021-01-14,0.008671,0.010109,0.008328,0.009419,5379574575
39,2021-01-15,0.009421,0.009899,0.008308,0.009370,4811000772
40,2021-01-16,0.009370,0.009600,0.009069,0.009245,2330401038
41,2021-01-17,0.009241,0.009438,0.008764,0.009120,2475254242
42,2021-01-18,0.009116,0.009366,0.008930,0.009197,1877829693
43,2021-01-19,0.009196,0.009688,0.008926,0.009048,2680863591
44,2021-01-20,0.009055,0.009179,0.008501,0.009070,2147914094
45,2021-01-21,0.009079,0.009124,0.008000,0.008148,2241925996
46,2021-01-22,0.008149,0.008765,0.007527,0.008520,2396122981
47,2021-01-23,0.008511,0.008810,0.008351,0.008586,1547384028
48,2021-01-24,0.008587,0.008982,0.008485,0.008724,1714852689
49,2021-01-25,0.008722,0.008901,0.008178,0.008355,1784604947
50,2021-01-26,0.008354,0.008472,0.007933,0.008234,1353054515
51,2021-01-27,0.008228,0.008237,0.007235,0.007416,2291399287
52,2021-01-28,0.007414,0.038000,0.007270,0.036324,171184215324
53,2021-01-29,0.036367,0.088700,0.031500,0.045883,118303297172
54,2021-01-30,0.045873,0.050646,0.022147,0.027990,62852216868
55,2021-01-31,0.027990,0.047891,0.026516,0.036885,41815094949
56,2021-02-01,0.036868,0.043949,0.032650,0.034835,22740530552
57,2021-02-02,0.034837,0.035382,0.028768,0.031357,11457707755
58,2021-02-03,0.031366,0.039878,0.031065,0.037360,12354356352
59,2021-02-04,0.037360,0.061316,0.035955,0.052782,52499797204
60,2021-02-05,0.052781,0.054279,0.043200,0.046830,15972015450
61,2021-02-06,0.046857,0.059119,0.043959,0.057716,17119105089
62,2021-02-07,0.057716,0.087810,0.052740,0.078030,39258351272
63,2021-02-08,0.078030,0.086134,0.063154,0.079054,28236424803
64,2021-02-09,0.079053,0.084614,0.063647,0.070186,16841386224
65,2021-02-10,0.070194,0.082722,0.065000,0.072645,14042973932
66,2021-02-11,0.072645,0.075900,0.068133,0.069763,6060839531
67,2021-02-12,0.069740,0.073498,0.061374,0.069928,7224823899
68,2021-02-13,0.069935,0.072183,0.065748,0.066373,3817971230
69,2021-02-14,0.066363,0.066764,0.055600,0.062711,9205733242
70,2021-02-15,0.062711,0.064400,0.046005,0.056511,12758593350
71,2021-02-16,0.056514,0.059981,0.050653,0.053591,6549110308
72,2021-02-17,0.053598,0.055280,0.047825,0.049527,5461403619
73,2021-02-18,0.049527,0.064735,0.049046,0.058838,12738875400
74,2021-02-19,0.058828,0.059839,0.054000,0.055190,5525192213
75,2021-02-20,0.055172,0.061578,0.050264,0.054153,7603284797
76,2021-02-21,0.054154,0.059850,0.053250,0.056063,5256189523
77,2021-02-22,0.056090,0.061123,0.045000,0.053657,7875401899
78,2021-02-23,0.053635,0.053913,0.041390,0.047680,6429794100
79,2021-02-24,0.047680,0.060384,0.045925,0.056731,9787125409
80,2021-02-25,0.056747,0.058097,0.049294,0.049879,4729276638
81,2021-02-26,0.049880,0.052550,0.048416,0.050426,3493416615
82,2021-02-27,0.050444,0.052263,0.049067,0.050115,2262252639
83,2021-02-28,0.050099,0.050286,0.044600,0.048171,2600455626
84,2021-03-01,0.048147,0.052958,0.047883,0.050613,2657735387
85,2021-03-02,0.050615,0.052463,0.049104,0.050227,1925846828
86,2021-03-03,0.050225,0.052298,0.049778,0.050425,1764127924
87,2021-03-04,0.050429,0.051227,0.047520,0.049999,1800644009
88,2021-03-05,0.049999,0.051122,0.048000,0.049530,1708055244
89,2021-03-06,0.049524,0.052759,0.049037,0.050930,2964704101
90,2021-03-07,0.050949,0.052735,0.050400,0.052056,1432549398
91,2021-03-08,0.052080,0.063240,0.051650,0.063076,6914041457
92,2021-03-09,0.063041,0.063170,0.056040,0.058013,3368967810
93,2021-03-10,0.058013,0.058889,0.054396,0.055951,2276952348
94,2021-03-11,0.055940,0.057093,0.054328,0.056056,1771955457
95,2021-03-12,0.056051,0.057162,0.054103,0.055367,1635930605
96,2021-03-13,0.055363,0.063079,0.054768,0.062816,3601684088
97,2021-03-14,0.062822,0.064000,0.058168,0.058168,4508165067
98,2021-03-15,0.058168,0.059973,0.054975,0.057080,2566102773
99,2021-03-16,0.057047,0.059211,0.055350,0.058765,1823934734
100,2021-03-17,0.058766,0.059111,0.056585,0.057990,1142594487
101,2021-03-18,0.058003,0.059443,0.057030,0.057427,1424752061
102,2021-03-19,0.057416,0.059980,0.056410,0.058323,1788564460
103,2021-03-20,0.058343,0.060729,0.058045,0.058961,1771895240
104,2021-03-21,0.058961,0.059693,0.056718,0.057580,1271568676
105,2021-03-22,0.057580,0.058079,0.054310,0.054912,1385118576
106,2021-03-23,0.054919,0.056203,0.052489,0.053431,1578771408
107,2021-03-24,0.053452,0.056737,0.050628,0.051532,2089166201
108,2021-03-25,0.051503,0.052505,0.049594,0.051311,1748593813
109,2021-03-26,0.051310,0.054088,0.051280,0.053992,910230175
110,2021-03-27,0.053969,0.055532,0.053462,0.054474,1169958460
111,2021-03-28,0.054471,0.054983,0.053041,0.053726,783748307
112,2021-03-29,0.053726,0.054772,0.053280,0.054191,941670981
113,2021-03-30,0.054180,0.055751,0.053801,0.054096,1479637008
114,2021-03-31,0.054107,0.054633,0.051495,0.053814,1314302348
115,2021-04-01,0.053828,0.070450,0.053716,0.062151,20004335658
116,2021-04-02,0.062155,0.062937,0.057322,0.057769,3088848497
117,2021-04-03,0.057772,0.059745,0.055539,0.055574,2118809097
118,2021-04-04,0.055560,0.058308,0.055100,0.057457,1491605437
119,2021-04-05,0.057473,0.060916,0.056309,0.060085,2976420990
120,2021-04-06,0.060082,0.065591,0.058023,0.064450,5427022749
121,2021-04-07,0.064448,0.067555,0.057037,0.058838,5106092931
122,2021-04-08,0.058833,0.062408,0.058694,0.061880,1840507953
123,2021-04-09,0.061881,0.064371,0.060594,0.061700,2719276628
124,2021-04-10,0.061704,0.065454,0.061078,0.063790,3090900169
125,2021-04-11,0.063820,0.080221,0.063541,0.074548,16828625597
126,2021-04-12,0.074551,0.075672,0.068847,0.070802,4483273664
127,2021-04-13,0.070801,0.096607,0.070792,0.094752,15820107379
128,2021-04-14,0.094744,0.145678,0.092521,0.121712,46244474443
129,2021-04-15,0.121715,0.191163,0.120100,0.181654,29608716241
130,2021-04-16,0.181646,0.459535,0.178591,0.365462,66578827757
131,2021-04-17,0.365462,0.381853,0.234656,0.282716,29483321129
132,2021-04-18,0.282732,0.352159,0.231307,0.322905,22268639112
133,2021-04-19,0.322945,0.437976,0.308473,0.409251,25093775445
134,2021-04-20,0.409191,0.426976,0.270800,0.317516,26986008868
135,2021-04-21,0.317475,0.346854,0.295935,0.305983,13058132421
136,2021-04-22,0.305983,0.309534,0.252715,0.260918,16036450485
137,2021-04-23,0.260779,0.269667,0.161000,0.249846,24935047702
138,2021-04-24,0.249827,0.290000,0.227573,0.270031,13388704351
139,2021-04-25,0.270045,0.288744,0.224000,0.251418,8794483595
140,2021-04-26,0.251418,0.280951,0.246797,0.271959,5842284969
141,2021-04-27,0.271924,0.280490,0.264522,0.272527,3566438620
142,2021-04-28,0.272541,0.345670,0.255153,0.323484,16073481138
143,2021-04-29,0.323483,0.325000,0.295378,0.305181,4554167366
144,2021-04-30,0.305200,0.340487,0.302308,0.337754,4414201679
145,2021-05-01,0.337806,0.398200,0.328041,0.391209,7644087358
146,2021-05-02,0.391282,0.401118,0.360444,0.374584,5795718650
147,2021-05-03,0.374575,0.449790,0.374332,0.441713,7401785182
148,2021-05-04,0.441641,0.613590,0.390692,0.538730,27116343562
149,2021-05-05,0.538729,0.697237,0.527432,0.654868,21713961754
150,2021-05-06,0.654821,0.667527,0.541234,0.581771,9441247424
151,2021-05-07,0.581790,0.735000,0.518629,0.691522,13720257353
152,2021-05-08,0.691311,0.744178,0.600000,0.637855,13752224545
153,2021-05-09,0.637878,0.703155,0.423000,0.570961,31017630718
154,2021-05-10,0.570871,0.572255,0.417818,0.450736,12040368003
155,2021-05-11,0.450793,0.547500,0.442700,0.493740,9013439094
156,2021-05-12,0.493740,0.523340,0.377100,0.390810,6236459310
157,2021-05-13,0.390820,0.519700,0.348553,0.489590,12722331880
158,2021-05-14,0.489500,0.590920,0.464000,0.559930,10763233974
159,2021-05-15,0.559930,0.564180,0.490000,0.508490,5254525687
160,2021-05-16,0.508410,0.550000,0.449380,0.513510,4924406217
161,2021-05-17,0.513400,0.516360,0.455900,0.487890,4188606628
162,2021-05-18,0.487860,0.515940,0.468590,0.476010,2860038597
163,2021-05-19,0.476100,0.479680,0.195800,0.329490,9876730352
164,2021-05-20,0.329460,0.435020,0.294060,0.397360,9913741424
165,2021-05-21,0.397350,0.411930,0.312870,0.357740,6078425496
166,2021-05-22,0.357570,0.364000,0.316280,0.342000,5005830923
167,2021-05-23,0.341980,0.350790,0.246910,0.306200,7612111774
168,2021-05-24,0.306180,0.376810,0.294820,0.365350,6437227744
169,2021-05-25,0.365490,0.379900,0.321400,0.345780,4828804122
170,2021-05-26,0.345780,0.366780,0.335920,0.352480,3011446776
171,2021-05-27,0.352580,0.352800,0.326420,0.333930,2315618217
172,2021-05-28,0.333890,0.347740,0.300160,0.311280,4174310985
173,2021-05-29,0.311280,0.317960,0.279100,0.302810,3109893772
174,2021-05-30,0.302830,0.310800,0.286450,0.301810,2457410538
175,2021-05-31,0.301890,0.330080,0.293700,0.325560,2895309962
176,2021-06-01,0.325570,0.384880,0.311140,0.370470,6990631875
177,2021-06-02,0.370440,0.447000,0.351150,0.423750,18180508273
178,2021-06-03,0.423730,0.442030,0.377100,0.400830,11541216581
179,2021-06-04,0.400830,0.402560,0.350000,0.376210,10170257472
180,2021-06-05,0.376250,0.395040,0.359460,0.371130,6037389520
181,2021-06-06,0.371130,0.376900,0.366360,0.371460,2600118107
