,time,open,high,low,close,volume
0,2022-01-07,0.74780,0.76845,0.68639,0.69874,10890931
1,2022-01-08,0.69812,0.76989,0.59026,0.63383,36823778
2,2022-01-09,0.63289,0.69212,0.62291,0.66046,31406941
3,2022-01-10,0.66041,0.67179,0.56717,0.60139,31761708
4,2022-01-11,0.60152,0.70390,0.55000,0.68209,79190210
5,2022-01-12,0.68255,0.75762,0.68003,0.74085,157506346
6,2022-01-13,0.74047,0.89948,0.73900,0.83545,351539861
7,2022-01-14,0.83548,0.97188,0.81550,0.95935,197607734
8,2022-01-15,0.95939,0.96888,0.89112,0.89671,114076253
9,2022-01-16,0.89667,1.05555,0.87340,1.02906,219060539
10,2022-01-17,1.02900,1.07711,0.92814,0.94260,244635111
11,2022-01-18,0.94261,0.97968,0.85200,0.91629,129024876
12,2022-01-19,0.91620,0.97415,0.83983,0.84605,100080983
13,2022-01-20,0.84559,0.86833,0.74559,0.75771,144548658
14,2022-01-21,0.75771,0.77382,0.60350,0.63602,153515063
15,2022-01-22,0.63592,0.67200,0.46047,0.54746,166092364
16,2022-01-23,0.54788,0.65389,0.53863,0.60821,232045900
17,2022-01-24,0.60768,0.60812,0.49656,0.57247,205065343
18,2022-01-25,0.57295,0.57700,0.52699,0.55418,81213361
19,2022-01-26,0.55421,0.70000,0.53606,0.60321,148536200
20,2022-01-27,0.60330,0.69716,0.57599,0.65250,310503956
21,2022-01-28,0.65208,0.67934,0.59068,0.62645,121594272
22,2022-01-29,0.62678,0.65067,0.59617,0.60166,71881963
23,2022-01-30,0.60236,0.60780,0.55500,0.55813,65718253
24,2022-01-31,0.55844,0.58880,0.52384,0.54024,142254253
25,2022-02-01,0.54023,0.56386,0.52034,0.52895,99931199
26,2022-02-02,0.52928,0.53820,0.46200,0.46673,100484995
27,2022-02-03,0.46663,0.48218,0.44231,0.47603,113545861
28,2022-02-04,0.47630,0.53359,0.46669,0.53160,126443930
29,2022-02-05,0.53197,0.57421,0.51111,0.52000,81154022
30,2022-02-06,0.52000,0.53889,0.50287,0.52978,60948762
31,2022-02-07,0.52977,0.61191,0.51079,0.60138,173662987
32,2022-02-08,0.60183,0.60816,0.51759,0.54377,98171844
33,2022-02-09,0.54393,0.58571,0.53063,0.56657,63616138
34,2022-02-10,0.56650,0.57185,0.51001,0.51358,69383632
35,2022-02-11,0.51370,0.53049,0.44102,0.44966,76359239
36,2022-02-12,0.44964,0.47689,0.42456,0.45427,58379445
37,2022-02-13,0.45420,0.45768,0.41607,0.42045,45939855
38,2022-02-14,0.42042,0.44570,0.40009,0.43946,96243194
39,2022-02-15,0.43956,0.47495,0.43399,0.46699,106016579
40,2022-02-16,0.46674,0.46957,0.43325,0.44765,62317822
41,2022-02-17,0.44764,0.46187,0.40000,0.40705,93646687
42,2022-02-18,0.40707,0.43243,0.40240,0.41956,82721531
43,2022-02-19,0.41956,0.45176,0.41000,0.41858,222910636
44,2022-02-20,0.41863,0.41883,0.36335,0.37808,151477576
45,2022-02-21,0.37800,0.41450,0.33656,0.33983,134683458
46,2022-02-22,0.33982,0.35677,0.32275,0.35335,105815292
47,2022-02-23,0.35335,0.36667,0.32767,0.32897,84852407
48,2022-02-24,0.32897,0.33489,0.28036,0.32966,141085796
49,2022-02-25,0.32960,0.35464,0.32052,0.35152,85409676
50,2022-02-26,0.35152,0.36059,0.34000,0.35077,49273399
51,2022-02-27,0.35066,0.35417,0.31219,0.31713,62675811
52,2022-02-28,0.31726,0.37003,0.31090,0.36553,70613809
53,2022-03-01,0.36552,0.43585,0.36544,0.42144,228353273
54,2022-03-02,0.42180,0.44193,0.40000,0.40310,174940506
55,2022-03-03,0.40328,0.40724,0.36254,0.36822,95869751
56,2022-03-04,0.36831,0.38315,0.33859,0.34614,105844951
57,2022-03-05,0.34608,0.37575,0.33184,0.36157,77803612
58,2022-03-06,0.36157,0.36754,0.32255,0.32414,70787274
59,2022-03-07,0.32411,0.33574,0.30338,0.31647,82526667
60,2022-03-08,0.31636,0.34739,0.31110,0.34096,106931900
61,2022-03-09,0.34096,0.38483,0.33450,0.36182,185076835
62,2022-03-10,0.36168,0.36477,0.31580,0.33071,104954957
63,2022-03-11,0.33053,0.34077,0.31189,0.31524,85238054
