,time,open,high,low,close,volume
0,2021-09-10,13.273,13.710,9.815,10.429,14485733.4
1,2021-09-11,10.429,12.786,10.302,10.947,14819012.8
2,2021-09-12,10.947,12.750,10.677,11.304,11149165.2
3,2021-09-13,11.300,11.491,9.000,10.415,16759760.1
4,2021-09-14,10.427,12.217,10.000,11.692,13166733.6
5,2021-09-15,11.711,12.503,11.013,11.613,10851374.7
6,2021-09-16,11.618,16.989,11.585,15.406,48291734.9
7,2021-09-17,15.408,18.339,14.922,16.514,55576772.6
8,2021-09-18,16.497,18.015,15.507,16.097,25132476.0
9,2021-09-19,16.097,16.358,13.850,14.267,21939223.3
10,2021-09-20,14.271,14.301,11.215,11.841,33291544.3
11,2021-09-21,11.841,13.700,10.820,12.569,32567648.2
12,2021-09-22,12.568,14.987,12.248,14.640,29617077.3
13,2021-09-23,14.642,14.964,13.113,14.074,16201396.4
14,2021-09-24,14.075,14.144,11.100,12.112,19698608.2
15,2021-09-25,12.102,14.320,11.434,13.966,24698417.9
16,2021-09-26,13.970,19.655,12.811,19.285,85059899.8
17,2021-09-27,19.287,22.899,18.698,20.927,89133499.5
18,2021-09-28,20.925,23.594,19.267,22.562,81529195.8
19,2021-09-29,22.561,26.878,21.800,26.693,87726845.2
20,2021-09-30,26.699,27.875,23.038,23.583,61579893.0
21,2021-10-01,23.581,25.100,21.317,22.319,56061593.8
22,2021-10-02,22.319,24.410,21.750,23.231,42962790.5
23,2021-10-03,23.230,23.885,21.381,23.586,32220079.7
24,2021-10-04,23.588,26.455,22.600,23.450,57591298.7
25,2021-10-05,23.456,24.500,22.064,22.649,26467837.6
26,2021-10-06,22.650,23.570,20.505,23.024,33471752.8
27,2021-10-07,23.026,24.960,21.555,21.764,30949864.2
28,2021-10-08,21.765,22.800,21.050,21.993,18941368.8
29,2021-10-09,21.982,23.062,21.350,21.840,16284914.0
30,2021-10-10,21.845,24.939,21.126,22.584,49279109.6
31,2021-10-11,22.584,26.099,22.100,23.642,64529366.5
32,2021-10-12,23.649,23.654,21.277,22.315,36314412.2
33,2021-10-13,22.316,24.904,21.610,22.371,39499124.7
34,2021-10-14,22.372,24.000,22.280,23.627,19998036.8
35,2021-10-15,23.626,24.375,22.253,22.655,20244216.6
36,2021-10-16,22.654,23.386,22.040,22.365,12815071.8
37,2021-10-17,22.362,22.748,19.860,21.077,14767513.8
38,2021-10-18,21.077,21.550,19.600,20.157,18273898.7
39,2021-10-19,20.158,20.723,18.582,19.192,15281890.0
40,2021-10-20,19.192,20.950,18.501,20.014,23157434.7
41,2021-10-21,20.009,20.888,18.866,19.383,21146091.5
42,2021-10-22,19.383,20.468,19.009,20.316,15409028.7
43,2021-10-23,20.308,20.817,19.316,19.424,10997132.6
44,2021-10-24,19.425,19.654,16.688,17.958,20700862.9
45,2021-10-25,17.953,19.436,17.661,18.876,19655997.6
46,2021-10-26,18.874,19.370,17.498,17.863,16943683.9
47,2021-10-27,17.868,19.258,13.704,15.153,38614492.0
