,time,open,high,low,close,volume
0,2020-12-07,13.727,13.900,12.830,13.147,876059.9
1,2020-12-08,13.141,13.186,12.241,12.532,852348.5
2,2020-12-09,12.539,14.590,12.398,13.993,1826449.5
3,2020-12-10,13.989,14.600,13.559,13.764,1286741.3
4,2020-12-11,13.776,15.300,13.123,14.756,2244210.3
5,2020-12-12,14.754,16.740,14.737,16.686,2550138.4
6,2020-12-13,16.679,17.160,15.980,16.930,1917440.3
7,2020-12-14,16.930,19.600,16.530,19.181,6964576.3
8,2020-12-15,19.177,24.400,18.640,24.161,8277694.5
9,2020-12-16,24.151,25.450,20.624,21.673,7384841.2
10,2020-12-17,21.650,23.970,20.155,23.339,3476932.3
11,2020-12-18,23.354,27.848,22.797,25.366,4340064.2
12,2020-12-19,25.362,27.484,25.189,26.681,1776428.3
13,2020-12-20,26.682,26.698,24.323,25.592,1193354.4
14,2020-12-21,25.621,29.169,25.470,28.085,2329421.2
15,2020-12-22,28.085,29.855,26.700,28.007,2536814.1
16,2020-12-23,27.996,28.600,20.434,21.788,2807884.3
17,2020-12-24,21.748,26.188,20.895,24.994,1990294.6
18,2020-12-25,25.019,25.157,22.214,22.930,1173926.6
19,2020-12-26,22.930,24.106,20.681,23.144,1586191.8
20,2020-12-27,23.174,24.325,20.851,21.884,1334190.3
21,2020-12-28,21.899,26.675,21.531,25.517,1901898.4
22,2020-12-29,25.514,25.976,23.650,23.844,967977.4
23,2020-12-30,23.837,25.395,23.516,24.134,727775.3
24,2020-12-31,24.139,24.753,23.560,24.733,471760.2
25,2021-01-01,24.749,27.345,24.494,26.105,1199619.5
26,2021-01-02,26.109,27.080,24.824,25.945,839314.1
27,2021-01-03,25.945,28.250,25.400,27.395,1208755.8
28,2021-01-04,27.399,31.336,25.983,30.758,2186922.3
29,2021-01-05,30.785,35.142,29.424,34.105,1858371.4
30,2021-01-06,34.075,39.980,33.596,38.676,1410543.8
31,2021-01-07,38.726,42.140,33.447,37.134,1469918.2
32,2021-01-08,37.161,41.069,33.800,37.521,1111980.1
33,2021-01-09,37.555,38.899,35.733,36.934,649641.9
34,2021-01-10,36.905,39.645,33.860,36.342,1236977.9
35,2021-01-11,36.339,36.494,26.748,32.722,1957411.0
36,2021-01-12,32.694,35.000,30.620,31.704,811871.1
37,2021-01-13,31.724,35.141,30.593,35.104,703568.5
38,2021-01-14,35.119,38.895,34.163,38.035,787901.6
39,2021-01-15,38.080,39.390,34.733,37.159,800327.9
40,2021-01-16,37.204,38.986,36.333,36.860,534331.2
41,2021-01-17,36.859,38.770,35.700,37.549,490268.2
42,2021-01-18,37.571,41.055,37.161,39.684,598271.4
43,2021-01-19,39.685,40.496,37.334,37.610,507999.5
44,2021-01-20,37.615,40.183,36.002,38.747,896038.3
45,2021-01-21,38.736,39.784,36.388,37.334,629076.6
46,2021-01-22,37.325,38.533,35.000,37.202,560934.9
47,2021-01-23,37.182,38.333,36.609,37.081,377172.3
48,2021-01-24,37.084,41.882,36.775,41.249,596549.0
49,2021-01-25,41.300,53.940,40.443,50.166,2642624.4
