,time,open,high,low,close,volume
0,2020-12-07,0.15281,0.15677,0.14932,0.15177,15710932
1,2020-12-08,0.15176,0.15779,0.13895,0.14044,28068959
2,2020-12-09,0.14037,0.14176,0.13091,0.14096,18023067
3,2020-12-10,0.14082,0.14461,0.13662,0.14274,23208189
4,2020-12-11,0.14282,0.14337,0.13429,0.14009,14341493
5,2020-12-12,0.14014,0.14508,0.14002,0.14472,8060897
6,2020-12-13,0.14479,0.14616,0.14122,0.14375,10204594
7,2020-12-14,0.14376,0.15364,0.14104,0.15128,21207002
8,2020-12-15,0.15134,0.15947,0.14700,0.15539,32109920
9,2020-12-16,0.15539,0.15745,0.15145,0.15517,19472784
10,2020-12-17,0.15506,0.16282,0.15051,0.15303,30042723
11,2020-12-18,0.15322,0.16404,0.15000,0.16062,19695081
12,2020-12-19,0.16062,0.16711,0.15878,0.15926,18042580
13,2020-12-20,0.15907,0.15926,0.14996,0.15251,11481400
14,2020-12-21,0.15246,0.15605,0.14133,0.14531,18611810
15,2020-12-22,0.14526,0.14699,0.13845,0.14480,17143362
16,2020-12-23,0.14469,0.14559,0.11557,0.12211,30379023
17,2020-12-24,0.12211,0.14383,0.11924,0.14378,26590192
18,2020-12-25,0.14378,0.14550,0.13839,0.14093,14023030
19,2020-12-26,0.14096,0.14133,0.13423,0.14064,11788187
20,2020-12-27,0.14064,0.14701,0.13376,0.13684,26311962
21,2020-12-28,0.13676,0.14490,0.13544,0.13905,21441683
22,2020-12-29,0.13917,0.14100,0.12919,0.13360,17167858
23,2020-12-30,0.13360,0.13704,0.12910,0.12971,19611644
24,2020-12-31,0.12977,0.13083,0.12450,0.12989,14804516
25,2021-01-01,0.13003,0.13911,0.12874,0.13575,21513428
26,2021-01-02,0.13576,0.13588,0.12733,0.13189,11965619
27,2021-01-03,0.13189,0.13748,0.12850,0.13549,27415169
28,2021-01-04,0.13556,0.14808,0.12891,0.14152,66139328
29,2021-01-05,0.14154,0.14882,0.13445,0.14711,41199932
30,2021-01-06,0.14694,0.16320,0.14277,0.16070,65446864
31,2021-01-07,0.16072,0.18971,0.15457,0.16432,100540701
32,2021-01-08,0.16428,0.27200,0.16428,0.21566,491460120
33,2021-01-09,0.21566,0.21654,0.18887,0.20505,135985806
34,2021-01-10,0.20472,0.21461,0.16783,0.18560,106606380
35,2021-01-11,0.18564,0.18621,0.14018,0.16325,105495220
36,2021-01-12,0.16328,0.18086,0.15676,0.16711,81727168
37,2021-01-13,0.16716,0.18096,0.15723,0.17984,41183404
38,2021-01-14,0.17973,0.19038,0.17278,0.18394,35530802
39,2021-01-15,0.18396,0.19810,0.16878,0.18893,73310364
40,2021-01-16,0.18902,0.20950,0.18694,0.19523,61201326
41,2021-01-17,0.19523,0.29500,0.19501,0.23233,302507450
42,2021-01-18,0.23229,0.27299,0.22605,0.24801,120109661
43,2021-01-19,0.24810,0.41960,0.23733,0.35950,593136073
44,2021-01-20,0.35886,0.45300,0.34687,0.42030,537445512
45,2021-01-21,0.42029,0.43544,0.32427,0.33034,236766576
46,2021-01-22,0.32991,0.41472,0.29201,0.38155,193690153
47,2021-01-23,0.38127,0.44686,0.37447,0.42960,132494225
48,2021-01-24,0.42962,0.43037,0.39538,0.42054,51307424
49,2021-01-25,0.42093,0.49600,0.40328,0.47277,100759229
50,2021-01-26,0.47267,0.49016,0.38317,0.43920,155237529
51,2021-01-27,0.43917,0.43992,0.35531,0.36437,56619470
52,2021-01-28,0.36421,0.39344,0.34254,0.37434,49872533
53,2021-01-29,0.37413,0.37553,0.34354,0.36132,37592780
54,2021-01-30,0.36131,0.36350,0.33171,0.33705,28988023
55,2021-01-31,0.33706,0.36733,0.33100,0.34361,49808541
56,2021-02-01,0.34364,0.36030,0.31455,0.34321,52587119
57,2021-02-02,0.34352,0.38600,0.33750,0.36612,64566245
58,2021-02-03,0.36621,0.37949,0.35782,0.37517,24767578
59,2021-02-04,0.37548,0.38500,0.33017,0.36633,77109221
60,2021-02-05,0.36596,0.41920,0.36273,0.41372,87471045
61,2021-02-06,0.41368,0.41915,0.34901,0.39252,58201759
62,2021-02-07,0.39297,0.40980,0.35641,0.38147,47861532
63,2021-02-08,0.38100,0.40750,0.37339,0.40011,44216736
64,2021-02-09,0.40076,0.44080,0.39249,0.42118,74350931
65,2021-02-10,0.42122,0.45875,0.37900,0.42668,84050967
66,2021-02-11,0.42682,0.66939,0.42007,0.60390,271485508
67,2021-02-12,0.60407,0.65937,0.56000,0.61277,107656122
68,2021-02-13,0.61313,0.63775,0.53240,0.59450,70603293
69,2021-02-14,0.59499,0.62823,0.53252,0.55225,51183270
70,2021-02-15,0.55225,0.56885,0.44074,0.52454,61715393
71,2021-02-16,0.52503,0.59010,0.51240,0.54527,49773482
72,2021-02-17,0.54522,0.57489,0.50008,0.55223,34353567
73,2021-02-18,0.55263,0.59423,0.53839,0.59064,57982827
74,2021-02-19,0.59087,0.62313,0.55039,0.60379,47792812
75,2021-02-20,0.60436,0.60907,0.51100,0.55174,48588351
76,2021-02-21,0.55157,0.58801,0.54083,0.57447,25179779
77,2021-02-22,0.57435,0.67508,0.43848,0.54262,121270025
78,2021-02-23,0.54285,0.54757,0.34059,0.45200,110335817
79,2021-02-24,0.45189,0.50984,0.41965,0.49055,46181770
80,2021-02-25,0.49020,0.66900,0.48834,0.54083,181229511
81,2021-02-26,0.54011,0.62569,0.52354,0.57701,131538013
82,2021-02-27,0.57690,0.65644,0.55112,0.56771,67179389
83,2021-02-28,0.56802,0.59000,0.47533,0.57651,59096958
84,2021-03-01,0.57588,0.72964,0.56348,0.69856,143153254
85,2021-03-02,0.69812,0.87309,0.66000,0.78910,301264848
86,2021-03-03,0.78885,1.34401,0.77246,1.17915,592534908
87,2021-03-04,1.17902,1.51900,1.09061,1.30090,497512890
88,2021-03-05,1.30007,1.37560,1.14111,1.19846,210431289
89,2021-03-06,1.20020,1.26412,1.08000,1.15656,114019885
90,2021-03-07,1.15656,1.44388,1.12662,1.41595,173498001
91,2021-03-08,1.41708,1.87869,1.39431,1.74115,384341580
92,2021-03-09,1.74128,1.95000,1.65260,1.70817,178840064
93,2021-03-10,1.70887,1.76129,1.52412,1.64777,105005288
94,2021-03-11,1.64785,1.95636,1.61220,1.79383,148416531
95,2021-03-12,1.79441,2.21892,1.79441,2.07110,183696710
96,2021-03-13,2.07013,2.20578,1.92600,2.04709,125766901
97,2021-03-14,2.04648,2.65236,1.93569,2.33110,191730354
98,2021-03-15,2.33110,3.08416,2.32636,2.67680,324763733
99,2021-03-16,2.67750,2.92000,2.35000,2.55285,194234047
100,2021-03-17,2.55370,2.69990,2.25555,2.46107,133757750
101,2021-03-18,2.46202,2.79800,2.44399,2.65307,125526703
102,2021-03-19,2.65427,2.65959,2.45333,2.48737,68738382
103,2021-03-20,2.48828,2.51000,2.19000,2.20476,71631081
104,2021-03-21,2.20480,2.50360,2.14170,2.43459,91836756
105,2021-03-22,2.43287,2.44093,2.03000,2.15794,64532226
106,2021-03-23,2.15847,2.21250,1.96680,2.05192,61508153
107,2021-03-24,2.05287,2.55000,2.00091,2.14900,154599353
108,2021-03-25,2.14895,2.21671,2.00760,2.09688,85152978
109,2021-03-26,2.09607,2.33729,2.09215,2.33650,67028333
110,2021-03-27,2.33729,2.37449,2.20286,2.30287,49065737
111,2021-03-28,2.30275,2.63851,2.26384,2.51427,74352192
112,2021-03-29,2.51603,2.56990,2.38211,2.49708,41929006
113,2021-03-30,2.49732,2.50635,2.41630,2.49542,31747234
114,2021-03-31,2.49545,2.66101,2.30309,2.55500,77386460
115,2021-04-01,2.55517,2.64510,2.42681,2.49045,36576706
116,2021-04-02,2.49108,2.57500,2.41779,2.57146,29924111
117,2021-04-03,2.57201,2.58549,2.25726,2.31552,39229914
118,2021-04-04,2.31486,2.44901,2.26497,2.41160,29066417
119,2021-04-05,2.41160,2.63863,2.27000,2.47238,70802649
120,2021-04-06,2.47307,2.48208,2.30100,2.32244,52597435
121,2021-04-07,2.32335,2.87759,2.02787,2.84018,199174050
122,2021-04-08,2.84018,3.45662,2.58484,3.24725,316424757
123,2021-04-09,3.24807,3.98000,3.12000,3.42991,337951372
124,2021-04-10,3.42941,3.57107,3.14449,3.22594,134152211
125,2021-04-11,3.22650,3.30448,3.00240,3.12553,73645349
126,2021-04-12,3.12653,3.16837,2.91139,3.00509,53393998
127,2021-04-13,3.00495,3.23000,2.97000,3.08076,63406077
128,2021-04-14,3.08225,3.10903,2.77479,2.91430,53585905
129,2021-04-15,2.91476,3.28384,2.87646,3.17957,63954394
130,2021-04-16,3.18025,3.20868,2.84493,3.01347,55186000
131,2021-04-17,3.01307,3.16490,2.92934,2.96247,45955645
132,2021-04-18,2.96371,2.99724,1.97374,2.69602,96148817
133,2021-04-19,2.69689,2.77611,2.37454,2.39944,48031753
134,2021-04-20,2.39944,2.62385,2.16416,2.56924,73903501
135,2021-04-21,2.56924,2.79924,2.46000,2.47928,72403553
136,2021-04-22,2.47780,2.57665,2.17955,2.21222,63245574
137,2021-04-23,2.21401,2.26539,1.71388,2.24405,108811625
138,2021-04-24,2.24492,2.25804,1.99000,2.01648,49835383
139,2021-04-25,2.01658,2.23465,1.92385,2.03354,38254933
