,time,open,high,low,close,volume
0,2020-12-07,3.000,3.013,2.909,2.952,14258214.9
1,2020-12-08,2.953,2.964,2.744,2.803,19756458.2
2,2020-12-09,2.804,2.840,2.662,2.810,19382068.9
3,2020-12-10,2.811,2.817,2.702,2.741,12422944.0
4,2020-12-11,2.742,2.753,2.648,2.696,15824884.1
5,2020-12-12,2.696,2.788,2.679,2.769,10787853.1
6,2020-12-13,2.769,2.901,2.753,2.853,14424231.0
7,2020-12-14,2.853,2.866,2.801,2.849,15505789.8
8,2020-12-15,2.849,2.906,2.807,2.863,18210102.1
9,2020-12-16,2.863,3.119,2.816,3.104,29489308.3
10,2020-12-17,3.105,3.266,2.977,3.045,72489999.6
11,2020-12-18,3.045,3.135,2.986,3.063,31922366.1
12,2020-12-19,3.063,3.127,3.029,3.056,23722212.0
13,2020-12-20,3.056,3.340,3.005,3.139,65213171.9
14,2020-12-21,3.138,3.283,2.904,2.932,59984428.3
15,2020-12-22,2.933,2.956,2.770,2.900,40869344.9
16,2020-12-23,2.899,2.918,1.963,2.312,105082627.5
17,2020-12-24,2.312,2.695,2.248,2.667,79553875.8
18,2020-12-25,2.667,2.745,2.540,2.666,56371404.8
19,2020-12-26,2.667,2.697,2.525,2.614,35751133.8
20,2020-12-27,2.614,2.877,2.479,2.719,64028682.0
21,2020-12-28,2.720,2.898,2.686,2.768,41093387.5
22,2020-12-29,2.767,2.799,2.503,2.643,46546468.2
23,2020-12-30,2.643,2.677,2.536,2.615,33254095.9
24,2020-12-31,2.616,2.660,2.510,2.593,33262356.7
25,2021-01-01,2.593,2.736,2.570,2.640,24442169.3
26,2021-01-02,2.640,2.728,2.564,2.633,36301804.4
27,2021-01-03,2.633,2.859,2.579,2.804,78744991.8
28,2021-01-04,2.806,3.132,2.610,2.822,120902355.4
29,2021-01-05,2.823,2.958,2.714,2.888,59609880.6
30,2021-01-06,2.888,3.470,2.852,3.379,120258713.8
31,2021-01-07,3.380,3.462,3.040,3.201,131158512.1
32,2021-01-08,3.202,3.262,2.898,3.112,81000796.0
33,2021-01-09,3.113,3.758,3.016,3.627,123650226.0
34,2021-01-10,3.626,3.938,2.840,3.062,266200631.7
35,2021-01-11,3.063,3.078,2.384,2.670,170879075.9
36,2021-01-12,2.670,2.775,2.531,2.596,62179254.3
37,2021-01-13,2.597,2.795,2.525,2.771,49544886.0
38,2021-01-14,2.771,2.864,2.694,2.812,46900836.2
39,2021-01-15,2.813,2.944,2.579,2.760,66582083.0
40,2021-01-16,2.759,2.893,2.706,2.780,49224673.6
41,2021-01-17,2.780,2.808,2.683,2.768,30747017.8
42,2021-01-18,2.768,2.843,2.705,2.819,31686331.5
43,2021-01-19,2.820,2.938,2.781,2.793,52162104.8
44,2021-01-20,2.794,2.829,2.660,2.779,37585273.7
45,2021-01-21,2.780,2.788,2.496,2.548,42192875.1
46,2021-01-22,2.547,2.679,2.429,2.626,43472228.1
47,2021-01-23,2.626,2.789,2.576,2.705,39045070.3
48,2021-01-24,2.705,2.779,2.648,2.717,26732599.7
49,2021-01-25,2.717,2.773,2.631,2.652,27923410.2
50,2021-01-26,2.652,2.678,2.556,2.632,22850326.4
51,2021-01-27,2.632,2.632,2.465,2.502,26352733.8
