,time,open,high,low,close,volume
0,2020-12-07,6.172,6.220,6.077,6.161,2619363.18
1,2020-12-08,6.158,6.170,5.671,5.775,4294882.73
2,2020-12-09,5.772,6.210,5.603,6.071,8132316.97
3,2020-12-10,6.071,6.119,5.799,5.898,3724117.50
4,2020-12-11,5.899,5.978,5.701,5.798,4885601.49
5,2020-12-12,5.801,6.050,5.789,5.975,2685566.85
6,2020-12-13,5.975,6.279,5.915,6.129,3938398.60
7,2020-12-14,6.128,6.145,5.940,6.044,3338403.94
8,2020-12-15,6.045,6.131,5.947,6.060,3175933.11
9,2020-12-16,6.062,6.482,5.945,6.475,6368716.35
10,2020-12-17,6.475,6.866,6.316,6.491,12451022.28
11,2020-12-18,6.487,6.644,6.286,6.398,6405556.90
12,2020-12-19,6.399,6.565,6.366,6.425,4240217.05
13,2020-12-20,6.424,6.866,6.247,6.505,11018389.49
14,2020-12-21,6.499,7.000,6.046,6.118,12762874.64
15,2020-12-22,6.115,6.207,5.760,6.129,7165807.92
16,2020-12-23,6.128,6.178,4.654,5.100,16343742.54
17,2020-12-24,5.097,5.642,5.004,5.604,10260653.13
18,2020-12-25,5.605,5.876,5.479,5.758,7439592.68
19,2020-12-26,5.760,5.896,5.555,5.843,4802272.83
20,2020-12-27,5.843,6.134,5.491,5.815,10178148.47
21,2020-12-28,5.816,6.190,5.762,5.926,6764663.16
22,2020-12-29,5.923,6.032,5.456,5.723,6297361.19
23,2020-12-30,5.725,5.819,5.597,5.682,5022438.71
24,2020-12-31,5.682,5.810,5.551,5.660,4064269.93
25,2021-01-01,5.658,5.867,5.593,5.697,3730875.59
26,2021-01-02,5.697,5.966,5.572,5.782,4741375.10
27,2021-01-03,5.782,6.710,5.764,6.593,14657862.97
28,2021-01-04,6.593,7.645,6.193,7.044,23227644.16
29,2021-01-05,7.046,7.435,6.686,7.283,11888329.66
30,2021-01-06,7.282,7.800,6.987,7.583,12467021.55
31,2021-01-07,7.589,7.805,6.977,7.228,11108719.03
32,2021-01-08,7.230,7.335,6.633,6.967,8223423.94
33,2021-01-09,6.966,8.144,6.726,7.789,15392960.75
34,2021-01-10,7.786,9.526,7.785,8.845,28844913.91
35,2021-01-11,8.850,8.898,6.241,7.226,24791291.99
36,2021-01-12,7.226,7.691,6.817,7.060,10033524.95
37,2021-01-13,7.056,7.672,6.863,7.597,7176337.78
38,2021-01-14,7.602,8.145,7.354,7.804,7530360.65
39,2021-01-15,7.804,8.048,7.115,7.584,8768356.36
40,2021-01-16,7.582,8.200,7.397,7.789,9117973.12
41,2021-01-17,7.795,7.977,7.337,7.702,6267279.24
42,2021-01-18,7.703,7.903,7.429,7.727,5861260.19
43,2021-01-19,7.727,8.544,7.680,7.814,12965898.59
44,2021-01-20,7.815,8.058,7.386,7.911,7494231.89
