,time,open,high,low,close,volume
0,2020-12-07,601.86,603.63,584.67,591.84,1665460.089
1,2020-12-08,591.84,595.75,548.00,555.17,3233758.126
2,2020-12-09,555.08,578.62,531.00,573.27,3460599.610
3,2020-12-10,573.28,575.67,548.52,559.71,2293137.506
4,2020-12-11,559.69,561.37,533.11,544.74,2929601.560
5,2020-12-12,544.80,574.00,543.34,568.34,1764546.873
6,2020-12-13,568.30,595.47,563.11,590.91,2311572.280
7,2020-12-14,590.92,591.63,575.57,586.33,1808415.505
8,2020-12-15,586.32,598.00,579.00,588.80,1866136.289
9,2020-12-16,588.80,640.47,581.04,637.80,3634225.420
10,2020-12-17,637.79,678.20,625.00,643.12,6624640.551
11,2020-12-18,643.09,665.85,630.10,654.51,2995266.462
12,2020-12-19,654.44,671.95,646.00,658.81,2635211.184
13,2020-12-20,658.82,662.99,620.93,638.27,2759178.686
14,2020-12-21,638.25,648.88,595.54,608.18,3621682.355
15,2020-12-22,608.24,638.70,588.41,637.20,3285945.398
16,2020-12-23,637.20,639.54,546.81,585.34,4594542.183
17,2020-12-24,585.49,615.42,565.20,612.31,3154682.001
18,2020-12-25,612.31,634.96,604.50,627.18,2623370.085
19,2020-12-26,627.17,654.32,615.10,637.90,3122352.524
20,2020-12-27,637.89,718.75,625.00,685.97,6363000.477
21,2020-12-28,685.97,749.50,681.91,731.07,5455254.006
22,2020-12-29,731.06,742.00,690.10,733.45,4261041.716
23,2020-12-30,733.45,760.76,717.52,753.04,3348883.502
24,2020-12-31,753.05,757.00,721.75,737.19,2876756.193
25,2021-01-01,737.18,750.40,714.55,729.77,1952291.250
26,2021-01-02,729.70,788.71,715.60,775.02,4176508.581
27,2021-01-03,775.04,1022.51,769.19,980.24,9610267.802
28,2021-01-04,980.23,1173.94,890.00,1043.11,12057661.067
29,2021-01-05,1043.12,1138.92,974.23,1101.29,7526097.093
30,2021-01-06,1101.29,1218.00,1057.30,1212.64,6952861.553
31,2021-01-07,1212.98,1297.15,1150.00,1227.12,5807791.010
32,2021-01-08,1227.50,1279.06,1064.60,1218.39,6994773.234
33,2021-01-09,1218.55,1314.00,1173.00,1279.96,4157466.015
34,2021-01-10,1279.96,1354.66,1168.49,1257.96,5913298.389
35,2021-01-11,1257.95,1264.50,915.20,1086.94,11237262.772
36,2021-01-12,1086.84,1153.13,1007.00,1050.82,5531356.605
37,2021-01-13,1050.67,1138.63,987.21,1130.40,4029644.646
38,2021-01-14,1130.40,1249.32,1087.68,1234.86,4079502.435
39,2021-01-15,1234.50,1260.00,1070.00,1168.79,5020898.727
40,2021-01-16,1168.65,1296.79,1152.13,1230.19,3980782.071
41,2021-01-17,1230.32,1272.28,1165.00,1233.71,3396518.439
42,2021-01-18,1233.61,1265.96,1183.20,1262.99,2562805.077
43,2021-01-19,1263.00,1444.05,1255.51,1367.51,6288844.344
44,2021-01-20,1367.38,1411.38,1236.35,1379.24,5844273.198
45,2021-01-21,1379.23,1391.00,1083.40,1111.23,6820207.515
46,2021-01-22,1111.82,1274.52,1041.13,1234.55,5475223.381
47,2021-01-23,1234.54,1274.00,1197.00,1235.66,2920417.541
