,time,open,high,low,close,volume
0,2020-12-07,0.1984,0.2000,0.1925,0.1954,18228646
1,2020-12-08,0.1954,0.2127,0.1808,0.1989,66558396
2,2020-12-09,0.1991,0.2376,0.1882,0.2254,137409427
3,2020-12-10,0.2254,0.2292,0.2000,0.2007,48657044
4,2020-12-11,0.2010,0.2012,0.1818,0.1843,43001420
5,2020-12-12,0.1842,0.1956,0.1827,0.1880,26246439
6,2020-12-13,0.1880,0.1989,0.1861,0.1953,17315536
7,2020-12-14,0.1953,0.2084,0.1921,0.2054,30468147
8,2020-12-15,0.2054,0.2119,0.1962,0.2010,22414653
9,2020-12-16,0.2009,0.2034,0.1910,0.1974,28594857
10,2020-12-17,0.1973,0.2117,0.1954,0.2010,40372484
11,2020-12-18,0.2011,0.2106,0.1965,0.2043,28156970
12,2020-12-19,0.2044,0.2238,0.2016,0.2034,32240502
13,2020-12-20,0.2034,0.2034,0.1766,0.1875,30274075
14,2020-12-21,0.1875,0.1898,0.1637,0.1682,31629574
15,2020-12-22,0.1684,0.1711,0.1561,0.1677,26751914
16,2020-12-23,0.1677,0.1699,0.1224,0.1321,39454173
17,2020-12-24,0.1320,0.1472,0.1272,0.1464,33996729
18,2020-12-25,0.1463,0.1519,0.1381,0.1400,27225683
19,2020-12-26,0.1401,0.1421,0.1304,0.1370,26061882
20,2020-12-27,0.1371,0.1435,0.1276,0.1314,51030969
21,2020-12-28,0.1312,0.1435,0.1293,0.1381,35998628
22,2020-12-29,0.1379,0.1421,0.1227,0.1318,41262624
23,2020-12-30,0.1318,0.1337,0.1244,0.1284,31186729
24,2020-12-31,0.1285,0.1291,0.1201,0.1256,35823116
25,2021-01-01,0.1256,0.1316,0.1231,0.1295,43911070
26,2021-01-02,0.1296,0.1338,0.1183,0.1239,55645918
27,2021-01-03,0.1238,0.1346,0.1221,0.1327,54995920
28,2021-01-04,0.1326,0.1549,0.1261,0.1430,122335476
29,2021-01-05,0.1431,0.1513,0.1310,0.1429,75172943
30,2021-01-06,0.1429,0.1594,0.1398,0.1503,83723685
31,2021-01-07,0.1503,0.1637,0.1341,0.1430,87052525
32,2021-01-08,0.1432,0.1510,0.1275,0.1471,95778914
33,2021-01-09,0.1470,0.1636,0.1420,0.1555,58322236
34,2021-01-10,0.1554,0.1760,0.1493,0.1719,116466958
35,2021-01-11,0.1719,0.1786,0.1355,0.1482,128659185
36,2021-01-12,0.1482,0.1628,0.1417,0.1469,52389258
37,2021-01-13,0.1469,0.1539,0.1391,0.1522,47286411
38,2021-01-14,0.1522,0.1584,0.1453,0.1550,52469735
39,2021-01-15,0.1548,0.1688,0.1404,0.1531,85313539
40,2021-01-16,0.1531,0.1759,0.1518,0.1707,99859564
41,2021-01-17,0.1709,0.2003,0.1638,0.1909,115618902
42,2021-01-18,0.1907,0.2090,0.1800,0.2013,86464088
43,2021-01-19,0.2016,0.2024,0.1785,0.1789,49459990
44,2021-01-20,0.1787,0.1842,0.1631,0.1803,71885752
45,2021-01-21,0.1803,0.1819,0.1562,0.1586,102420167
46,2021-01-22,0.1585,0.1835,0.1472,0.1720,87434902
47,2021-01-23,0.1721,0.1991,0.1698,0.1961,73331487
48,2021-01-24,0.1963,0.2057,0.1793,0.1890,64066999
49,2021-01-25,0.1894,0.2300,0.1892,0.2215,125808043
50,2021-01-26,0.2214,0.2479,0.1895,0.2105,161448885
51,2021-01-27,0.2106,0.2109,0.1712,0.1890,148126188
52,2021-01-28,0.1889,0.2228,0.1853,0.2077,102325914
53,2021-01-29,0.2077,0.2278,0.1959,0.2017,72410298
54,2021-01-30,0.2016,0.2298,0.1965,0.2255,81268406
55,2021-01-31,0.2255,0.2459,0.2130,0.2437,85025932
56,2021-02-01,0.2437,0.3408,0.2418,0.3000,299535957
57,2021-02-02,0.3003,0.3171,0.2746,0.3046,91729196
58,2021-02-03,0.3044,0.3650,0.2917,0.3424,100761678
59,2021-02-04,0.3423,0.3600,0.2894,0.3437,119802524
60,2021-02-05,0.3437,0.4372,0.3335,0.3785,108918470
61,2021-02-06,0.3784,0.3899,0.2881,0.3454,120372022
62,2021-02-07,0.3457,0.3791,0.3120,0.3620,105500163
63,2021-02-08,0.3622,0.4359,0.3361,0.4182,118603879
64,2021-02-09,0.4187,0.4542,0.3912,0.4338,90002186
65,2021-02-10,0.4338,0.4855,0.3662,0.4286,124238845
66,2021-02-11,0.4282,0.5521,0.4129,0.5110,90801253
67,2021-02-12,0.5111,0.6150,0.5002,0.5611,107524551
68,2021-02-13,0.5611,0.6570,0.5189,0.6291,93039527
69,2021-02-14,0.6299,0.6478,0.5450,0.5458,76549585
70,2021-02-15,0.5464,0.5944,0.4074,0.5139,134994526
71,2021-02-16,0.5140,0.5579,0.4605,0.4866,71133513
72,2021-02-17,0.4866,0.5462,0.4306,0.5142,97835673
73,2021-02-18,0.5147,0.5703,0.5042,0.5291,78683552
74,2021-02-19,0.5296,0.5760,0.4938,0.5661,81632607
75,2021-02-20,0.5662,0.5888,0.4499,0.5022,79094876
76,2021-02-21,0.5021,0.5574,0.4869,0.5113,63719017
77,2021-02-22,0.5116,0.5209,0.3503,0.4531,120487787
78,2021-02-23,0.4527,0.4559,0.2756,0.3404,170280759
79,2021-02-24,0.3403,0.3936,0.3186,0.3405,111320088
80,2021-02-25,0.3404,0.3792,0.3198,0.3247,75411677
81,2021-02-26,0.3243,0.3472,0.2896,0.3216,71820530
82,2021-02-27,0.3215,0.3533,0.3192,0.3314,52779286
83,2021-02-28,0.3314,0.3341,0.2733,0.3198,67478850
84,2021-03-01,0.3198,0.3730,0.3172,0.3694,66776391
85,2021-03-02,0.3695,0.3825,0.3313,0.3476,60274340
86,2021-03-03,0.3475,0.4089,0.3430,0.3844,69832605
87,2021-03-04,0.3842,0.3994,0.3432,0.3582,53994195
88,2021-03-05,0.3585,0.3772,0.3308,0.3636,53479857
89,2021-03-06,0.3639,0.3758,0.3468,0.3672,32578957
90,2021-03-07,0.3676,0.3900,0.3652,0.3838,39244515
91,2021-03-08,0.3838,0.4300,0.3671,0.4287,57151337
92,2021-03-09,0.4287,0.4558,0.4132,0.4477,65879719
93,2021-03-10,0.4477,0.4635,0.4050,0.4305,77344493
94,2021-03-11,0.4316,0.5001,0.4060,0.4984,86249687
95,2021-03-12,0.4983,0.5010,0.4224,0.4734,92883103
96,2021-03-13,0.4730,0.5257,0.4438,0.4982,73414912
97,2021-03-14,0.4982,0.5087,0.4671,0.4677,45690763
98,2021-03-15,0.4679,0.5509,0.4324,0.4623,96070063
99,2021-03-16,0.4621,0.4769,0.4350,0.4720,57654803
100,2021-03-17,0.4723,0.5446,0.4639,0.5369,68523676
101,2021-03-18,0.5371,0.5654,0.5224,0.5329,43432263
102,2021-03-19,0.5332,0.5837,0.5150,0.5535,37461517
103,2021-03-20,0.5537,0.5784,0.5128,0.5146,29099683
104,2021-03-21,0.5147,0.5655,0.4867,0.5340,57871674
105,2021-03-22,0.5339,0.5570,0.4800,0.4918,44097852
106,2021-03-23,0.4918,0.5139,0.4662,0.4787,35091136
107,2021-03-24,0.4787,0.5377,0.4165,0.4404,52352232
108,2021-03-25,0.4401,0.4472,0.4023,0.4183,54762442
109,2021-03-26,0.4183,0.4688,0.4179,0.4588,57787314
110,2021-03-27,0.4588,0.4980,0.4534,0.4743,36662926
111,2021-03-28,0.4744,0.6300,0.4709,0.6264,112610195
112,2021-03-29,0.6265,0.7270,0.5981,0.6475,209554539
113,2021-03-30,0.6474,0.6877,0.6314,0.6649,79579869
114,2021-03-31,0.6649,0.8920,0.6000,0.8663,234913121
115,2021-04-01,0.8659,0.9029,0.7346,0.7755,93140061
116,2021-04-02,0.7762,0.9481,0.7450,0.8473,129376114
117,2021-04-03,0.8473,0.8828,0.7702,0.7751,74466980
118,2021-04-04,0.7743,0.8738,0.7620,0.8354,50732211
119,2021-04-05,0.8361,0.9744,0.7960,0.9710,62407053
120,2021-04-06,0.9719,1.1398,0.9313,1.1045,123943584
121,2021-04-07,1.1050,1.2500,0.8692,0.9200,112570308
122,2021-04-08,0.9202,1.0023,0.9110,0.9335,60429630
123,2021-04-09,0.9338,1.0915,0.8828,1.0248,158290650
124,2021-04-10,1.0245,1.0905,0.9305,0.9670,80711099
125,2021-04-11,0.9676,0.9792,0.9190,0.9338,45361619
126,2021-04-12,0.9327,0.9399,0.8420,0.8913,63172987
127,2021-04-13,0.8914,0.9815,0.8466,0.9566,67871599
128,2021-04-14,0.9573,1.0271,0.8860,0.9463,65460294
129,2021-04-15,0.9469,1.0387,0.9208,1.0280,53192113
130,2021-04-16,1.0275,1.1451,0.9600,1.0486,110642238
131,2021-04-17,1.0486,1.1692,0.9948,1.0178,57470472
132,2021-04-18,1.0186,1.0784,0.5739,1.0645,154063472
133,2021-04-19,1.0645,1.1968,0.9037,0.9443,157653023
134,2021-04-20,0.9450,0.9637,0.8058,0.8926,83858898
