,time,open,high,low,close,volume
0,2022-02-10,8.220,8.590,7.667,7.966,3610297.9
1,2022-02-11,7.959,8.006,6.901,7.135,2148965.3
2,2022-02-12,7.135,7.609,6.937,7.372,2216649.9
3,2022-02-13,7.372,7.595,6.763,7.073,1755881.7
4,2022-02-14,7.070,7.152,6.652,6.929,1532875.0
5,2022-02-15,6.929,7.479,6.816,7.433,1416315.6
6,2022-02-16,7.433,7.738,6.979,7.323,2230572.8
7,2022-02-17,7.315,7.422,6.281,6.501,2385503.9
8,2022-02-18,6.503,6.717,6.200,6.361,1516937.8
9,2022-02-19,6.351,6.449,5.980,6.193,1114011.6
10,2022-02-20,6.193,6.212,5.620,5.734,1433438.3
11,2022-02-21,5.734,6.039,5.161,5.214,2337421.9
12,2022-02-22,5.214,5.560,5.035,5.520,2268554.3
13,2022-02-23,5.524,5.881,5.369,5.392,2115635.1
14,2022-02-24,5.394,5.507,4.620,5.435,4459314.0
15,2022-02-25,5.436,5.739,5.225,5.686,2627750.5
16,2022-02-26,5.688,5.847,5.547,5.695,2388566.5
17,2022-02-27,5.692,6.341,5.422,5.742,10380281.1
18,2022-02-28,5.742,6.478,5.510,6.361,9104298.8
19,2022-03-01,6.361,6.862,6.277,6.675,6329664.4
20,2022-03-02,6.674,6.708,6.299,6.405,4209564.8
21,2022-03-03,6.406,6.452,5.863,6.033,3371765.2
22,2022-03-04,6.035,6.249,5.613,5.654,4245107.7
23,2022-03-05,5.654,5.992,5.491,5.830,6805461.6
24,2022-03-06,5.828,5.938,5.536,5.597,4278991.5
25,2022-03-07,5.597,5.944,5.450,5.643,5864469.5
26,2022-03-08,5.641,5.910,5.612,5.767,2935895.9
27,2022-03-09,5.772,6.123,5.728,6.046,3076087.8
28,2022-03-10,6.046,6.152,5.493,5.785,5483244.7
29,2022-03-11,5.785,5.812,5.516,5.634,3287798.1
30,2022-03-12,5.634,5.735,5.537,5.569,1773256.9
31,2022-03-13,5.569,5.640,5.277,5.303,2457305.2
32,2022-03-14,5.302,5.455,5.183,5.371,3050898.7
33,2022-03-15,5.370,5.383,5.126,5.275,2511147.8
34,2022-03-16,5.274,5.536,5.188,5.514,3666208.7
35,2022-03-17,5.514,5.786,5.464,5.625,4891860.6
36,2022-03-18,5.624,5.764,5.433,5.665,3591859.8
37,2022-03-19,5.665,5.941,5.651,5.855,5304884.6
38,2022-03-20,5.853,6.257,5.717,5.850,11942186.1
39,2022-03-21,5.848,6.373,5.848,6.016,12059444.7
40,2022-03-22,6.016,6.299,5.998,6.140,5375427.0
41,2022-03-23,6.140,6.294,5.956,6.265,4336569.1
42,2022-03-24,6.264,6.552,6.166,6.490,6973873.6
43,2022-03-25,6.487,6.642,6.248,6.319,5138184.9
44,2022-03-26,6.320,6.666,6.316,6.607,4546360.2
45,2022-03-27,6.608,6.861,6.362,6.837,4914837.7
46,2022-03-28,6.836,7.245,6.735,6.820,7540538.5
47,2022-03-29,6.821,7.666,6.801,7.091,11445730.0
48,2022-03-30,7.088,7.267,6.737,7.157,6063814.7
49,2022-03-31,7.156,7.338,6.656,6.821,6094251.8
50,2022-04-01,6.818,6.997,6.379,6.928,5226099.7
51,2022-04-02,6.931,8.211,6.906,7.817,22583012.8
52,2022-04-03,7.802,7.816,7.251,7.475,7229637.6
53,2022-04-04,7.476,7.479,6.818,7.258,6063064.0
54,2022-04-05,7.257,7.621,7.131,7.373,7875800.6
55,2022-04-06,7.375,7.452,6.332,6.396,6937673.6
56,2022-04-07,6.390,6.622,6.169,6.509,5013452.0
57,2022-04-08,6.506,6.658,6.055,6.125,4295089.6
58,2022-04-09,6.124,6.286,6.020,6.236,2694592.2
59,2022-04-10,6.240,6.389,6.036,6.056,3718898.5
60,2022-04-11,6.057,6.255,5.319,5.394,6224484.3
61,2022-04-12,5.396,5.829,5.350,5.688,6010414.9
62,2022-04-13,5.693,5.977,5.562,5.906,5067995.9
63,2022-04-14,5.909,6.221,5.684,5.791,5918459.7
64,2022-04-15,5.790,5.990,5.724,5.891,4912922.8
65,2022-04-16,5.893,5.959,5.712,5.828,2592391.7
66,2022-04-17,5.828,5.849,5.545,5.576,2217302.1
67,2022-04-18,5.575,5.806,5.260,5.783,6955068.0
68,2022-04-19,5.783,6.063,5.744,6.032,4172591.3
69,2022-04-20,6.033,6.038,5.924,5.976,241925.2
