,time,open,high,low,close,volume
0,2020-12-07,0.021998,0.022719,0.021227,0.021707,130353265
1,2020-12-08,0.021709,0.021740,0.018732,0.019115,228108345
2,2020-12-09,0.019115,0.019969,0.017581,0.019606,194815054
3,2020-12-10,0.019609,0.020642,0.018739,0.019941,271335030
4,2020-12-11,0.019958,0.020038,0.018002,0.018368,191939642
5,2020-12-12,0.018351,0.019401,0.018327,0.019105,84349757
6,2020-12-13,0.019108,0.020782,0.018917,0.019949,143052134
7,2020-12-14,0.019952,0.021285,0.019385,0.021049,163725259
8,2020-12-15,0.021056,0.021489,0.020419,0.021018,142090931
9,2020-12-16,0.021032,0.021541,0.020170,0.020870,131783818
10,2020-12-17,0.020890,0.021415,0.019400,0.019639,284340788
11,2020-12-18,0.019654,0.020720,0.019091,0.020299,159713782
12,2020-12-19,0.020318,0.021537,0.020054,0.020725,170939132
13,2020-12-20,0.020736,0.021934,0.019840,0.020907,251631275
14,2020-12-21,0.020922,0.021875,0.018819,0.018988,333486216
15,2020-12-22,0.018984,0.019349,0.017825,0.018824,191852717
16,2020-12-23,0.018817,0.019374,0.014690,0.016405,316967151
17,2020-12-24,0.016392,0.017615,0.015440,0.017590,238024683
18,2020-12-25,0.017608,0.018406,0.016652,0.017297,205661191
19,2020-12-26,0.017301,0.017313,0.016249,0.016646,155241696
20,2020-12-27,0.016638,0.017714,0.016148,0.016701,314103164
21,2020-12-28,0.016684,0.018000,0.016298,0.017434,296748522
22,2020-12-29,0.017424,0.017777,0.015557,0.016360,322655382
23,2020-12-30,0.016371,0.017193,0.015527,0.016601,285994834
24,2020-12-31,0.016609,0.017164,0.015892,0.016952,243305012
25,2021-01-01,0.016967,0.017950,0.016600,0.017241,292165898
26,2021-01-02,0.017244,0.017276,0.016083,0.016421,200230063
27,2021-01-03,0.016418,0.019387,0.016149,0.018942,544926848
28,2021-01-04,0.018941,0.020802,0.016838,0.020539,912341242
29,2021-01-05,0.020556,0.021472,0.018715,0.020620,567149578
30,2021-01-06,0.020614,0.024609,0.019964,0.024516,450513371
31,2021-01-07,0.024521,0.027509,0.023171,0.023875,615852446
32,2021-01-08,0.023903,0.027515,0.021458,0.026334,550804274
33,2021-01-09,0.026311,0.029086,0.025056,0.027250,378875977
34,2021-01-10,0.027228,0.029392,0.023336,0.025269,483268426
35,2021-01-11,0.025252,0.025344,0.018891,0.022162,562718485
36,2021-01-12,0.022164,0.024558,0.021357,0.021956,340873416
37,2021-01-13,0.021910,0.024422,0.021113,0.023931,200702649
38,2021-01-14,0.023930,0.025400,0.023056,0.024709,205142021
39,2021-01-15,0.024707,0.028046,0.023508,0.026400,460714955
40,2021-01-16,0.026385,0.030918,0.026378,0.028585,363247021
41,2021-01-17,0.028600,0.031091,0.026231,0.030040,350546055
42,2021-01-18,0.030032,0.031548,0.028578,0.029855,230194470
43,2021-01-19,0.029862,0.031192,0.028001,0.028049,209785890
44,2021-01-20,0.028025,0.028888,0.025772,0.028674,193504220
45,2021-01-21,0.028699,0.029104,0.025675,0.026395,413197274
46,2021-01-22,0.026410,0.028478,0.024244,0.027065,217368444
47,2021-01-23,0.027047,0.043075,0.026604,0.040408,1265236218
48,2021-01-24,0.040436,0.059758,0.039385,0.056878,2876284805
49,2021-01-25,0.056879,0.064789,0.052158,0.052276,1253126949
50,2021-01-26,0.052287,0.074336,0.050525,0.072842,1001972310
51,2021-01-27,0.072729,0.085500,0.064763,0.081014,1841068979
52,2021-01-28,0.081014,0.131814,0.076663,0.119556,1151487660
53,2021-01-29,0.119555,0.262861,0.116000,0.128697,1746813594
54,2021-01-30,0.128684,0.168466,0.114197,0.132164,576569283
55,2021-01-31,0.132136,0.134991,0.103006,0.128493,454683380
56,2021-02-01,0.127981,0.128833,0.105904,0.108768,256722275
57,2021-02-02,0.108730,0.135151,0.097219,0.127050,541910167
58,2021-02-03,0.126942,0.158872,0.124770,0.130675,772422412
59,2021-02-04,0.130791,0.151568,0.120000,0.134837,432706435
60,2021-02-05,0.134795,0.175150,0.134734,0.164709,404172365
61,2021-02-06,0.164547,0.172692,0.130219,0.141523,324869513
62,2021-02-07,0.141529,0.144666,0.119620,0.132798,236334152
63,2021-02-08,0.132779,0.151491,0.128125,0.146311,250530275
64,2021-02-09,0.146414,0.156118,0.137940,0.148445,289871201
65,2021-02-10,0.148515,0.158726,0.127647,0.139298,378847857
66,2021-02-11,0.139142,0.190000,0.134393,0.178155,514695099
67,2021-02-12,0.178298,0.199500,0.169411,0.185285,493939042
68,2021-02-13,0.185434,0.198965,0.169215,0.180956,311287658
69,2021-02-14,0.181022,0.184757,0.162520,0.169426,196403792
70,2021-02-15,0.169588,0.198800,0.135741,0.173655,369282465
71,2021-02-16,0.173903,0.190000,0.163279,0.172287,218444774
