,time,open,high,low,close,volume
0,2022-03-15,0.32230,0.35385,0.27460,0.33171,608418094
1,2022-03-16,0.33111,0.55800,0.31500,0.55501,3448787796
2,2022-03-17,0.55501,0.84421,0.53116,0.83013,4677686713
3,2022-03-18,0.83013,0.83038,0.65200,0.69824,3032955909
4,2022-03-19,0.69823,0.77200,0.65025,0.67149,1152314559
5,2022-03-20,0.67149,0.70266,0.57400,0.57773,1015960793
6,2022-03-21,0.57809,0.82700,0.57607,0.79668,3326548314
7,2022-03-22,0.79703,0.89400,0.75408,0.80518,2166046165
8,2022-03-23,0.80516,0.82200,0.73230,0.76881,851671281
9,2022-03-24,0.76894,0.78900,0.68762,0.70072,534939987
10,2022-03-25,0.70071,0.79797,0.67241,0.78047,1167919505
11,2022-03-26,0.78050,0.83800,0.75000,0.76440,922407288
12,2022-03-27,0.76440,0.79500,0.73543,0.77213,391234199
13,2022-03-28,0.77213,1.14950,0.76532,1.13112,2489516349
14,2022-03-29,1.13111,1.88076,1.03166,1.68207,3521377984
15,2022-03-30,1.68205,2.31980,1.61150,2.03446,3525809346
16,2022-03-31,2.03447,2.64561,1.78388,2.48608,3212078970
17,2022-04-01,2.48608,3.12950,2.37520,2.69271,2684350932
18,2022-04-02,2.69271,2.89506,2.26786,2.31666,1736912357
19,2022-04-03,2.31668,2.74000,2.23966,2.45260,1676622107
20,2022-04-04,2.45267,2.56000,2.05374,2.16666,1302060764
21,2022-04-05,2.16609,2.32557,2.08520,2.13143,1282694742
22,2022-04-06,2.13143,2.71500,2.11704,2.32737,2596644338
23,2022-04-07,2.32855,2.36951,2.01120,2.18858,1291458833
24,2022-04-08,2.18823,2.43999,2.08888,2.17636,1423465833
25,2022-04-09,2.17623,2.32700,2.10000,2.30020,1024083441
26,2022-04-10,2.30020,2.39276,2.20271,2.25674,1228146229
27,2022-04-11,2.25697,2.67794,2.23853,2.38600,2031538416
28,2022-04-12,2.38600,2.39995,2.12595,2.21524,1250055834
29,2022-04-13,2.21520,2.24863,2.05300,2.17659,756307217
30,2022-04-14,2.17658,2.34930,2.14192,2.22562,841786778
31,2022-04-15,2.22562,2.32882,2.17000,2.30001,597357016
32,2022-04-16,2.30000,2.44999,2.24000,2.37868,905577637
33,2022-04-17,2.37873,2.60000,2.35522,2.42189,1206890699
34,2022-04-18,2.42189,3.32000,2.23887,3.19124,3049337595
35,2022-04-19,3.19150,3.84819,3.13666,3.70960,2598278499
36,2022-04-20,3.70967,3.73956,3.52000,3.53224,98483621
