,time,open,high,low,close,volume
0,2020-12-07,1.5046,1.5109,1.3908,1.4203,1974767
1,2020-12-08,1.4198,1.4395,1.2991,1.3292,1672926
2,2020-12-09,1.3285,1.4099,1.2900,1.3667,1593239
3,2020-12-10,1.3675,1.3746,1.2600,1.2630,1005864
4,2020-12-11,1.2626,1.2683,1.1575,1.1592,1162404
5,2020-12-12,1.1581,1.2332,1.1576,1.1941,846284
6,2020-12-13,1.1941,1.2661,1.1698,1.2606,1025799
7,2020-12-14,1.2615,1.2950,1.2265,1.2607,1116319
8,2020-12-15,1.2610,1.3333,1.2587,1.2998,888305
9,2020-12-16,1.2992,1.3182,1.2323,1.3163,1148556
10,2020-12-17,1.3170,1.3381,1.2546,1.2924,1946720
11,2020-12-18,1.2920,1.4782,1.2665,1.4712,3773467
12,2020-12-19,1.4722,1.5188,1.3891,1.4467,2385854
13,2020-12-20,1.4467,1.4759,1.3945,1.4273,1342774
14,2020-12-21,1.4276,1.4457,1.3428,1.4216,2086088
15,2020-12-22,1.4219,1.8200,1.4113,1.5714,19186500
16,2020-12-23,1.5711,1.5802,1.1113,1.2339,5409594
17,2020-12-24,1.2334,1.4291,1.2100,1.3817,3740731
18,2020-12-25,1.3811,1.3996,1.2507,1.2745,2134271
19,2020-12-26,1.2735,1.4561,1.2599,1.4559,2971316
20,2020-12-27,1.4561,1.6503,1.2969,1.3434,6189220
21,2020-12-28,1.3415,1.4835,1.3248,1.4347,3467444
22,2020-12-29,1.4351,1.4687,1.2303,1.2834,2364402
23,2020-12-30,1.2848,1.3365,1.2355,1.2660,1549745
24,2020-12-31,1.2664,1.3510,1.2353,1.2968,1476505
25,2021-01-01,1.2964,1.4435,1.2857,1.3605,2364536
26,2021-01-02,1.3614,1.4001,1.2722,1.2925,1537275
27,2021-01-03,1.2925,1.3679,1.2436,1.3215,2597234
28,2021-01-04,1.3229,1.4689,1.2713,1.3687,5032838
29,2021-01-05,1.3692,1.5022,1.3228,1.4848,2693268
30,2021-01-06,1.4828,1.6398,1.3608,1.5121,5107749
31,2021-01-07,1.5135,1.5277,1.3503,1.4048,6017985
32,2021-01-08,1.4065,1.4575,1.2790,1.4349,3039891
