,time,open,high,low,close,volume
0,2021-03-30,0.015000,0.020777,0.014858,0.018175,15205317882
1,2021-03-31,0.018176,0.019600,0.015099,0.016786,15818993958
2,2021-04-01,0.016785,0.018400,0.016543,0.017400,4899551017
3,2021-04-02,0.017413,0.024578,0.017100,0.024317,17957939534
4,2021-04-03,0.024317,0.028244,0.021708,0.023090,31090643166
5,2021-04-04,0.023080,0.029891,0.022500,0.027283,22145131092
6,2021-04-05,0.027282,0.031900,0.025500,0.028607,16116527894
7,2021-04-06,0.028602,0.028863,0.018823,0.022815,25158394782
8,2021-04-07,0.022815,0.023942,0.019254,0.020506,17641364774
9,2021-04-08,0.020501,0.024741,0.020348,0.023132,9337295391
10,2021-04-09,0.023138,0.023723,0.020399,0.020976,5451319393
11,2021-04-10,0.020987,0.021762,0.017779,0.019180,15889402344
12,2021-04-11,0.019194,0.022600,0.017365,0.019775,19580986315
13,2021-04-12,0.019762,0.021995,0.018720,0.018831,9322037747
14,2021-04-13,0.018834,0.019888,0.018400,0.018789,6745310364
15,2021-04-14,0.018790,0.019125,0.015670,0.017629,11316363412
16,2021-04-15,0.017630,0.021440,0.017243,0.018582,17441719026
17,2021-04-16,0.018590,0.020711,0.017000,0.019036,13277726365
18,2021-04-17,0.019058,0.021631,0.018613,0.018866,12757778686
19,2021-04-18,0.018885,0.019098,0.011001,0.017069,12645276068
20,2021-04-19,0.017077,0.018500,0.015500,0.015765,7907974424
21,2021-04-20,0.015780,0.017876,0.013655,0.016059,10765421879
22,2021-04-21,0.016056,0.017088,0.014720,0.014916,5576680747
23,2021-04-22,0.014937,0.015496,0.011497,0.012745,10424189089
24,2021-04-23,0.012733,0.013750,0.008565,0.012807,25385340658
25,2021-04-24,0.012794,0.015349,0.011734,0.012077,18414560630
26,2021-04-25,0.012092,0.013249,0.010506,0.011745,9161206687
27,2021-04-26,0.011744,0.014419,0.011556,0.014058,11563448111
28,2021-04-27,0.014046,0.017735,0.013525,0.016489,19357328476
29,2021-04-28,0.016475,0.017350,0.014302,0.015873,13423074715
30,2021-04-29,0.015863,0.016453,0.014717,0.015421,6681562685
31,2021-04-30,0.015421,0.016320,0.015066,0.016093,5942683696
32,2021-05-01,0.016099,0.017000,0.015673,0.016223,7220639738
33,2021-05-02,0.016234,0.016310,0.014643,0.015538,5115324150
34,2021-05-03,0.015547,0.016260,0.014000,0.015322,6803180620
35,2021-05-04,0.015325,0.015343,0.013050,0.013546,9758788109
36,2021-05-05,0.013551,0.016204,0.013373,0.014817,10123103009
37,2021-05-06,0.014806,0.015782,0.014270,0.015020,8227869179
38,2021-05-07,0.015021,0.016846,0.014606,0.015237,12992583952
39,2021-05-08,0.015244,0.016030,0.014640,0.014803,5667918196
40,2021-05-09,0.014803,0.014929,0.013640,0.014450,5361151549
41,2021-05-10,0.014456,0.014899,0.011000,0.012669,9419614319
42,2021-05-11,0.012669,0.013502,0.012148,0.013050,6381177496
43,2021-05-12,0.013049,0.013548,0.010374,0.010542,6736434207
44,2021-05-13,0.010566,0.011938,0.009759,0.011269,7251590671
45,2021-05-14,0.011262,0.012450,0.011101,0.011850,5477599236
46,2021-05-15,0.011846,0.011962,0.010700,0.010840,3895466523
47,2021-05-16,0.010838,0.012967,0.010689,0.011668,10022742472
48,2021-05-17,0.011657,0.012000,0.010548,0.011006,6962607752
49,2021-05-18,0.011007,0.011588,0.010800,0.011034,4022767589
50,2021-05-19,0.011031,0.011237,0.003500,0.007195,14034757943
51,2021-05-20,0.007190,0.009604,0.006374,0.008512,9568168339
52,2021-05-21,0.008515,0.009063,0.006436,0.007602,6928059328
53,2021-05-22,0.007601,0.007729,0.006790,0.007051,5322444916
54,2021-05-23,0.007047,0.007325,0.004974,0.006014,7631268155
55,2021-05-24,0.006014,0.007721,0.005876,0.007672,6764846713
56,2021-05-25,0.007673,0.010341,0.007222,0.009298,18591410854
57,2021-05-26,0.009294,0.011560,0.009104,0.010745,14627468446
58,2021-05-27,0.010745,0.010750,0.009293,0.009552,7530181636
59,2021-05-28,0.009548,0.009962,0.007982,0.008384,8124204045
60,2021-05-29,0.008386,0.008973,0.007554,0.008151,5589444165
61,2021-05-30,0.008155,0.008875,0.007710,0.008628,4235757243
62,2021-05-31,0.008629,0.009207,0.008326,0.009010,4030866238
63,2021-06-01,0.009010,0.009153,0.008410,0.008552,3417956496
64,2021-06-02,0.008554,0.009022,0.008428,0.008745,3094565124
65,2021-06-03,0.008738,0.009797,0.008670,0.009282,4975039486
66,2021-06-04,0.009279,0.009299,0.008019,0.008550,4389730669
67,2021-06-05,0.008554,0.009133,0.008028,0.008348,3051380254
68,2021-06-06,0.008349,0.008644,0.008281,0.008566,1926651447
69,2021-06-07,0.008571,0.008763,0.007663,0.007794,3166950957
70,2021-06-08,0.007795,0.008197,0.006995,0.007942,5240609514
71,2021-06-09,0.007943,0.008346,0.007549,0.008233,3966813140
72,2021-06-10,0.008235,0.008307,0.007741,0.007837,2753707605
73,2021-06-11,0.007841,0.008045,0.007369,0.007513,2458135049
74,2021-06-12,0.007515,0.007620,0.007132,0.007351,2346313575
75,2021-06-13,0.007353,0.008649,0.007267,0.008195,5241480295
76,2021-06-14,0.008200,0.008469,0.007926,0.008294,4202941552
77,2021-06-15,0.008298,0.008531,0.007960,0.008064,3192525425
78,2021-06-16,0.008061,0.008111,0.007661,0.007757,2927806398
79,2021-06-17,0.007759,0.007990,0.007492,0.007689,2975569992
80,2021-06-18,0.007691,0.007691,0.006905,0.007202,3175745365
81,2021-06-19,0.007201,0.007320,0.006964,0.007006,2540431927
82,2021-06-20,0.007011,0.007594,0.006624,0.007441,4431686159
83,2021-06-21,0.007443,0.007464,0.005883,0.005955,7128653599
84,2021-06-22,0.005955,0.006343,0.004783,0.005452,7663578620
85,2021-06-23,0.005455,0.006201,0.005204,0.005924,4922786220
86,2021-06-24,0.005924,0.006195,0.005669,0.006095,2468313459
87,2021-06-25,0.006096,0.006256,0.005401,0.005560,3671703864
88,2021-06-26,0.005560,0.005748,0.005311,0.005648,2957164404
89,2021-06-27,0.005648,0.005931,0.005540,0.005912,2603810792
90,2021-06-28,0.005912,0.006060,0.005806,0.005950,2329232311
91,2021-06-29,0.005951,0.006596,0.005930,0.006243,3678638339
92,2021-06-30,0.006241,0.006338,0.005756,0.006135,3258211774
93,2021-07-01,0.006131,0.006161,0.005758,0.005878,3027471622
94,2021-07-02,0.005878,0.005960,0.005683,0.005873,2475376360
95,2021-07-03,0.005875,0.006104,0.005860,0.006050,2189191287
96,2021-07-04,0.006052,0.006348,0.005931,0.006170,1950454547
97,2021-07-05,0.006170,0.006170,0.005843,0.005961,2219781453
98,2021-07-06,0.005961,0.006204,0.005921,0.006031,2677195131
99,2021-07-07,0.006030,0.006238,0.005950,0.005988,2918388515
100,2021-07-08,0.005985,0.006011,0.005667,0.005744,3025470877
101,2021-07-09,0.005743,0.005889,0.005458,0.005803,2533564877
102,2021-07-10,0.005802,0.005920,0.005558,0.005687,1483768121
103,2021-07-11,0.005688,0.005845,0.005623,0.005756,1305922961
104,2021-07-12,0.005762,0.005829,0.005505,0.005619,1696552451
105,2021-07-13,0.005621,0.005669,0.005351,0.005465,1711692199
106,2021-07-14,0.005466,0.005553,0.005095,0.005482,2546915549
107,2021-07-15,0.005483,0.005567,0.005131,0.005241,2282343416
108,2021-07-16,0.005242,0.005398,0.004987,0.005012,2137397040
109,2021-07-17,0.005012,0.005547,0.004950,0.005169,3810194990
110,2021-07-18,0.005169,0.005292,0.005037,0.005110,2687856377
111,2021-07-19,0.005113,0.005135,0.004748,0.004796,2737658110
112,2021-07-20,0.004798,0.004876,0.004347,0.004448,4441497170
113,2021-07-21,0.004450,0.004939,0.004323,0.004784,3677598904
114,2021-07-22,0.004786,0.004979,0.004688,0.004889,2952059943
115,2021-07-23,0.004891,0.005195,0.004747,0.005157,3316236813
116,2021-07-24,0.005159,0.005429,0.005027,0.005197,4371714819
117,2021-07-25,0.005202,0.005339,0.005041,0.005336,3034193694
118,2021-07-26,0.005336,0.006680,0.005283,0.005916,15200843306
119,2021-07-27,0.005921,0.006522,0.005589,0.006313,10003998044
120,2021-07-28,0.006314,0.006440,0.006054,0.006218,6279223657
121,2021-07-29,0.006218,0.006428,0.006075,0.006242,5152666811
122,2021-07-30,0.006244,0.006383,0.005919,0.006375,4480332701
123,2021-07-31,0.006375,0.006450,0.006207,0.006312,3759188523
124,2021-08-01,0.006315,0.006669,0.006100,0.006232,5848059646
125,2021-08-02,0.006232,0.006399,0.006157,0.006230,3097234259
126,2021-08-03,0.006230,0.006300,0.006013,0.006148,3938928096
127,2021-08-04,0.006146,0.006418,0.006073,0.006377,3758364080
128,2021-08-05,0.006377,0.006600,0.006209,0.006539,5154824154
129,2021-08-06,0.006539,0.008453,0.006400,0.007869,21700908268
130,2021-08-07,0.007870,0.008300,0.007302,0.007855,15940862625
131,2021-08-08,0.007852,0.008950,0.007582,0.008162,21311392698
132,2021-08-09,0.008163,0.008792,0.007915,0.008547,14056332686
133,2021-08-10,0.008545,0.009879,0.008441,0.009794,13964931595
134,2021-08-11,0.009795,0.012297,0.009531,0.011513,26579223365
135,2021-08-12,0.011514,0.011997,0.010241,0.011003,18023318758
136,2021-08-13,0.010999,0.012534,0.010935,0.012145,13866810920
137,2021-08-14,0.012156,0.012411,0.011493,0.011845,9015818712
138,2021-08-15,0.011845,0.012212,0.011043,0.011805,7037253293
139,2021-08-16,0.011808,0.012208,0.011014,0.011318,7156342232
140,2021-08-17,0.011318,0.011625,0.009995,0.010245,7954503816
141,2021-08-18,0.010249,0.011000,0.009550,0.010259,7776378663
142,2021-08-19,0.010259,0.010849,0.009721,0.010776,7096545271
143,2021-08-20,0.010775,0.011633,0.010693,0.011324,6692686248
144,2021-08-21,0.011328,0.011380,0.010696,0.010790,5180716274
145,2021-08-22,0.010790,0.011800,0.010760,0.011037,7441958758
146,2021-08-23,0.011043,0.011590,0.010928,0.011186,6031545714
147,2021-08-24,0.011185,0.011800,0.010497,0.010594,9251531585
148,2021-08-25,0.010592,0.011019,0.010101,0.010922,5738581259
149,2021-08-26,0.010920,0.011023,0.009750,0.009946,6170725949
150,2021-08-27,0.009946,0.010627,0.009472,0.010577,5428380017
151,2021-08-28,0.010576,0.011559,0.010276,0.011398,10245767032
152,2021-08-29,0.011399,0.011518,0.010829,0.011036,6312703063
153,2021-08-30,0.011035,0.011110,0.010350,0.010472,5037251377
154,2021-08-31,0.010475,0.011067,0.010271,0.010563,5208200509
155,2021-09-01,0.010557,0.011327,0.010360,0.011041,4765108703
156,2021-09-02,0.011043,0.013395,0.010952,0.013017,19218669380
157,2021-09-03,0.013010,0.013286,0.012000,0.012400,15476866264
158,2021-09-04,0.012400,0.012766,0.011692,0.012065,9488135207
159,2021-09-05,0.012071,0.013394,0.011890,0.013096,14995860705
160,2021-09-06,0.013096,0.013332,0.010170,0.012323,13929512004
161,2021-09-07,0.012322,0.012602,0.007248,0.010060,19598583592
162,2021-09-08,0.010062,0.010475,0.008833,0.010157,12628499279
163,2021-09-09,0.010159,0.010663,0.009860,0.010204,7516130408
164,2021-09-10,0.010202,0.010515,0.009400,0.009741,5737512858
165,2021-09-11,0.009742,0.010100,0.009584,0.009824,4691478941
166,2021-09-12,0.009825,0.010512,0.009533,0.010022,4785172734
167,2021-09-13,0.010024,0.010100,0.009196,0.009607,5171073755
168,2021-09-14,0.009610,0.009940,0.009473,0.009869,3535972131
169,2021-09-15,0.009869,0.010293,0.009775,0.010118,3582218417
170,2021-09-16,0.010117,0.010200,0.009534,0.009751,4045387926
171,2021-09-17,0.009751,0.009971,0.009320,0.009510,3822963995
172,2021-09-18,0.009513,0.010266,0.009351,0.009746,5500025981
173,2021-09-19,0.009746,0.009885,0.009257,0.009471,4106493771
174,2021-09-20,0.009474,0.009489,0.007768,0.008119,10566342860
175,2021-09-21,0.008121,0.008673,0.007400,0.007617,9879703706
176,2021-09-22,0.007616,0.008962,0.007488,0.008815,8171622358
177,2021-09-23,0.008812,0.009034,0.008547,0.008807,5271825689
178,2021-09-24,0.008809,0.008837,0.007601,0.008180,7410580058
179,2021-09-25,0.008180,0.008337,0.007845,0.007952,5083746503
180,2021-09-26,0.007951,0.008100,0.007381,0.007899,5515063059
181,2021-09-27,0.007900,0.008235,0.007687,0.007712,4375363297
182,2021-09-28,0.007712,0.007894,0.007439,0.007474,4062513630
183,2021-09-29,0.007475,0.007952,0.007450,0.007594,4797483755
184,2021-09-30,0.007594,0.007933,0.007563,0.007899,3787204468
185,2021-10-01,0.007902,0.008744,0.007819,0.008633,5500589580
186,2021-10-02,0.008633,0.008950,0.008384,0.008601,4571218468
187,2021-10-03,0.008602,0.009847,0.008416,0.009420,10492254176
188,2021-10-04,0.009421,0.009556,0.008660,0.009098,9024440355
189,2021-10-05,0.009099,0.010594,0.009028,0.009842,13384706898
190,2021-10-06,0.009845,0.010194,0.009171,0.009680,11308394616
191,2021-10-07,0.009681,0.009860,0.009355,0.009451,7134191062
192,2021-10-08,0.009454,0.009844,0.009302,0.009440,6172420432
193,2021-10-09,0.009441,0.010227,0.009321,0.009708,7605863675
194,2021-10-10,0.009707,0.009881,0.009112,0.009180,5254888026
195,2021-10-11,0.009178,0.009664,0.008910,0.009223,4800904357
196,2021-10-12,0.009225,0.009345,0.008549,0.009128,6021101923
197,2021-10-13,0.009129,0.009397,0.008833,0.009235,5014604594
198,2021-10-14,0.009237,0.009684,0.009141,0.009213,5342651690
199,2021-10-15,0.009215,0.009398,0.008900,0.009174,6215196924
200,2021-10-16,0.009169,0.009654,0.009072,0.009299,7123785004
201,2021-10-17,0.009298,0.009922,0.009037,0.009341,12215398843
202,2021-10-18,0.009339,0.009592,0.009068,0.009219,7646994662
203,2021-10-19,0.009218,0.009342,0.009082,0.009169,4360864413
204,2021-10-20,0.009170,0.009910,0.009103,0.009746,6634197760
205,2021-10-21,0.009746,0.010290,0.009345,0.009561,9297148038
206,2021-10-22,0.009561,0.010110,0.009413,0.009630,6939444505
207,2021-10-23,0.009633,0.009757,0.009468,0.009607,3869596340
208,2021-10-24,0.009607,0.009627,0.009089,0.009280,4549022483
