,time,open,high,low,close,volume
0,2022-02-11,2.5306,2.7114,2.2219,2.3029,6416440
1,2022-02-12,2.3046,2.3801,2.2011,2.3001,4201554
2,2022-02-13,2.2997,2.4600,2.2453,2.2906,13260634
3,2022-02-14,2.2905,2.3489,2.1664,2.2917,6084301
4,2022-02-15,2.2868,2.4903,2.2751,2.4799,4815292
5,2022-02-16,2.4784,2.5196,2.3256,2.3947,6005065
6,2022-02-17,2.3947,2.4187,2.1017,2.1252,4916121
7,2022-02-18,2.1250,2.1998,2.0271,2.0471,4912399
8,2022-02-19,2.0474,2.1008,1.8905,1.9747,5762045
9,2022-02-20,1.9747,1.9765,1.7709,1.8126,7528244
10,2022-02-21,1.8108,1.9600,1.5500,1.5673,15622222
11,2022-02-22,1.5673,1.6909,1.5598,1.6499,21248922
12,2022-02-23,1.6493,1.7225,1.5376,1.5536,11835852
13,2022-02-24,1.5529,1.5599,1.3140,1.5023,26796497
14,2022-02-25,1.5023,1.5817,1.4477,1.5339,18474471
15,2022-02-26,1.5337,1.6222,1.4852,1.4988,11766214
16,2022-02-27,1.4983,1.5908,1.3687,1.4079,22011338
17,2022-02-28,1.4084,1.5620,1.3814,1.5586,18330978
18,2022-03-01,1.5575,1.6458,1.5000,1.5827,20354971
19,2022-03-02,1.5832,1.5851,1.4507,1.4630,13187921
20,2022-03-03,1.4637,1.4951,1.4000,1.4565,9130275
21,2022-03-04,1.4566,1.4861,1.2751,1.3212,16038215
22,2022-03-05,1.3211,1.3302,1.2490,1.2809,11538494
23,2022-03-06,1.2810,1.2835,1.1471,1.1490,16924098
24,2022-03-07,1.1490,1.6300,1.0999,1.5825,375572921
25,2022-03-08,1.5822,1.8345,1.4600,1.5193,394236799
26,2022-03-09,1.5185,1.7618,1.4250,1.6029,177905913
27,2022-03-10,1.6017,1.6974,1.4502,1.5102,101750492
28,2022-03-11,1.5102,1.8600,1.4856,1.7013,285657404
29,2022-03-12,1.7013,1.9626,1.6760,1.8625,313410491
30,2022-03-13,1.8627,1.9820,1.6543,1.6897,179086211
31,2022-03-14,1.6892,1.7458,1.5583,1.6503,98559665
32,2022-03-15,1.6489,1.6600,1.4966,1.5111,70376310
33,2022-03-16,1.5112,1.6725,1.4450,1.6476,89061958
34,2022-03-17,1.6473,1.6846,1.5517,1.5782,56419017
35,2022-03-18,1.5785,1.6450,1.4890,1.6434,43277530
36,2022-03-19,1.6433,2.2111,1.5911,2.0853,261833090
37,2022-03-20,2.0849,2.3643,1.9287,2.1880,200134697
38,2022-03-21,2.1884,2.3134,1.9916,2.1428,120117255
39,2022-03-22,2.1420,2.4400,2.0822,2.3154,83727970
40,2022-03-23,2.3157,2.4271,2.1377,2.2691,87598991
41,2022-03-24,2.2690,2.3695,2.1026,2.1605,54962805
42,2022-03-25,2.1604,2.2764,2.1100,2.2534,48055343
43,2022-03-26,2.2533,2.2700,2.1510,2.2013,28742506
44,2022-03-27,2.2010,2.4020,2.1721,2.3196,49529967
45,2022-03-28,2.3198,2.6957,2.2701,2.6797,85772842
46,2022-03-29,2.6781,2.7888,2.5024,2.6991,72079716
47,2022-03-30,2.6996,2.7432,2.5220,2.6430,32144222
48,2022-03-31,2.6427,2.8564,2.2955,2.3522,48346435
49,2022-04-01,2.3530,2.5631,2.2150,2.4957,39615802
50,2022-04-02,2.4955,2.7744,2.4000,2.4184,46697365
51,2022-04-03,2.4199,2.6772,2.3466,2.6171,31748819
52,2022-04-04,2.6154,2.6168,2.3231,2.4940,25425407
53,2022-04-05,2.4945,2.5515,2.3231,2.3346,20390759
54,2022-04-06,2.3360,2.3380,1.9800,2.0319,35681162
55,2022-04-07,2.0317,2.1772,1.9614,2.1472,30571887
56,2022-04-08,2.1464,2.1860,1.9900,2.0962,34007012
57,2022-04-09,2.0962,2.3090,2.0519,2.1602,67519965
58,2022-04-10,2.1607,2.1999,2.0214,2.0410,19312317
59,2022-04-11,2.0415,2.0913,1.7095,1.7349,42882505
60,2022-04-12,1.7347,1.8788,1.7070,1.8382,32701198
61,2022-04-13,1.8391,1.8741,1.7291,1.8571,24279362
62,2022-04-14,1.8571,1.9317,1.7586,1.8010,24241725
63,2022-04-15,1.8009,1.8304,1.7322,1.7852,18470287
64,2022-04-16,1.7861,1.8594,1.7543,1.8562,32795778
65,2022-04-17,1.8553,1.8681,1.7053,1.7235,26992438
66,2022-04-18,1.7241,1.7662,1.5609,1.7503,36237441
67,2022-04-19,1.7509,1.9994,1.7065,1.9739,46148968
68,2022-04-20,1.9739,2.0633,1.9536,2.0341,6398927
