,time,open,high,low,close,volume
0,2020-12-07,0.3382,0.3390,0.3119,0.3189,20780119.5
1,2020-12-08,0.3189,0.3238,0.2945,0.2994,20912150.2
2,2020-12-09,0.2996,0.3117,0.2850,0.3087,15432038.6
3,2020-12-10,0.3089,0.3100,0.2839,0.2843,17097073.6
4,2020-12-11,0.2847,0.2850,0.2672,0.2738,20323741.2
5,2020-12-12,0.2742,0.2961,0.2729,0.2901,16302511.6
6,2020-12-13,0.2902,0.3050,0.2857,0.3011,18682567.5
7,2020-12-14,0.3010,0.3057,0.2910,0.3020,15012278.1
8,2020-12-15,0.3019,0.3090,0.2941,0.3047,16646073.8
9,2020-12-16,0.3047,0.3340,0.2956,0.3295,29275235.4
10,2020-12-17,0.3294,0.3430,0.3127,0.3204,43437121.8
11,2020-12-18,0.3208,0.3324,0.3136,0.3241,21421450.7
12,2020-12-19,0.3241,0.3460,0.3228,0.3412,22348437.0
13,2020-12-20,0.3412,0.3450,0.3173,0.3248,23049072.5
14,2020-12-21,0.3250,0.3325,0.2985,0.3046,21871837.6
15,2020-12-22,0.3043,0.3124,0.2868,0.3077,20481381.0
16,2020-12-23,0.3071,0.3292,0.2472,0.2644,47923053.1
17,2020-12-24,0.2645,0.2943,0.2585,0.2933,26250128.9
18,2020-12-25,0.2934,0.3081,0.2878,0.2924,25289894.8
19,2020-12-26,0.2924,0.3024,0.2805,0.2864,24191159.9
20,2020-12-27,0.2865,0.3159,0.2724,0.2982,38922544.7
21,2020-12-28,0.2978,0.3199,0.2942,0.3065,26445422.2
22,2020-12-29,0.3064,0.3122,0.2849,0.3027,22716440.6
23,2020-12-30,0.3026,0.3067,0.2883,0.2953,17880492.7
24,2020-12-31,0.2953,0.3053,0.2810,0.2966,28550565.3
25,2021-01-01,0.2965,0.3037,0.2888,0.2917,18137811.6
26,2021-01-02,0.2918,0.2972,0.2774,0.2867,29408490.8
27,2021-01-03,0.2867,0.3154,0.2779,0.3106,45273500.9
28,2021-01-04,0.3110,0.3530,0.2800,0.3439,90195543.2
29,2021-01-05,0.3439,0.3861,0.3163,0.3531,122781405.4
30,2021-01-06,0.3533,0.4010,0.3423,0.3819,90971307.2
31,2021-01-07,0.3824,0.4069,0.3582,0.3844,68275925.3
32,2021-01-08,0.3845,0.3869,0.3452,0.3699,45500882.7
33,2021-01-09,0.3702,0.4811,0.3701,0.4334,125851796.1
34,2021-01-10,0.4334,0.4776,0.3817,0.4281,77257743.4
35,2021-01-11,0.4281,0.4292,0.3285,0.3681,69357115.7
36,2021-01-12,0.3683,0.3850,0.3475,0.3591,35219604.8
37,2021-01-13,0.3597,0.4179,0.3472,0.4155,53659715.8
38,2021-01-14,0.4157,0.4515,0.4021,0.4261,46533436.0
39,2021-01-15,0.4261,0.4565,0.3856,0.4329,65602243.9
40,2021-01-16,0.4328,0.4592,0.4137,0.4256,50424634.7
41,2021-01-17,0.4255,0.4482,0.3980,0.4368,42594495.5
42,2021-01-18,0.4372,0.4885,0.4177,0.4786,77359379.5
43,2021-01-19,0.4787,0.5100,0.4623,0.4703,54398252.6
44,2021-01-20,0.4697,0.4855,0.4296,0.4726,45776197.7
45,2021-01-21,0.4727,0.4974,0.4128,0.4194,63408118.9
46,2021-01-22,0.4194,0.4729,0.3920,0.4548,42228486.7
47,2021-01-23,0.4552,0.4763,0.4445,0.4510,32578440.7
48,2021-01-24,0.4510,0.4817,0.4431,0.4565,31711273.8
49,2021-01-25,0.4564,0.4708,0.4290,0.4322,27291376.0
50,2021-01-26,0.4320,0.4407,0.4117,0.4326,28291498.0
51,2021-01-27,0.4325,0.4331,0.3786,0.3922,32390372.3
52,2021-01-28,0.3922,0.4163,0.3877,0.4038,24915280.8
53,2021-01-29,0.4040,0.4273,0.3936,0.4127,38551099.0
54,2021-01-30,0.4123,0.4510,0.4004,0.4293,30736830.1
55,2021-01-31,0.4296,0.4426,0.3951,0.4083,29291501.5
56,2021-02-01,0.4085,0.4286,0.3931,0.4164,26138905.1
57,2021-02-02,0.4164,0.4350,0.4102,0.4305,24292314.8
58,2021-02-03,0.4305,0.4574,0.4269,0.4532,34036418.1
59,2021-02-04,0.4531,0.4559,0.4194,0.4406,31814035.0
60,2021-02-05,0.4404,0.5438,0.4404,0.5164,115323176.9
61,2021-02-06,0.5171,0.6193,0.4993,0.5642,133467932.3
62,2021-02-07,0.5647,0.5999,0.5300,0.5584,63895877.7
63,2021-02-08,0.5587,0.7493,0.5450,0.7209,97312356.3
64,2021-02-09,0.7212,0.8140,0.7080,0.7532,95285976.4
65,2021-02-10,0.7537,0.9248,0.7094,0.8861,115835268.5
66,2021-02-11,0.8866,1.3343,0.8710,1.1771,256381215.2
67,2021-02-12,1.1772,1.3000,1.0920,1.2380,98066990.8
68,2021-02-13,1.2373,1.4229,1.1900,1.3144,90144372.8
69,2021-02-14,1.3148,1.3300,1.1400,1.1881,56133030.9
70,2021-02-15,1.1904,1.4023,0.9536,1.2700,130423232.1
71,2021-02-16,1.2700,1.3885,1.2100,1.2557,73234375.8
72,2021-02-17,1.2564,1.3469,1.1786,1.2993,54237877.0
73,2021-02-18,1.3001,1.5779,1.2800,1.4965,99755693.5
74,2021-02-19,1.4979,1.5884,1.4048,1.4888,68207460.1
75,2021-02-20,1.4902,1.5683,1.3011,1.3777,55358036.1
76,2021-02-21,1.3791,1.4591,1.3286,1.4088,30425199.6
77,2021-02-22,1.4088,1.4179,1.0028,1.3073,74153864.4
78,2021-02-23,1.3085,1.3167,0.8778,1.0911,71792146.5
79,2021-02-24,1.0899,1.3147,1.0274,1.1934,52669985.7
80,2021-02-25,1.1944,1.2503,1.0852,1.0992,37757500.0
81,2021-02-26,1.0976,1.1745,1.0215,1.1183,31264230.2
82,2021-02-27,1.1184,1.2357,1.1148,1.1473,28353802.9
83,2021-02-28,1.1480,1.1573,1.0255,1.1232,26165697.1
84,2021-03-01,1.1232,1.2474,1.1165,1.2134,25310964.1
85,2021-03-02,1.2129,1.2316,1.1250,1.1811,29873455.8
86,2021-03-03,1.1812,1.2619,1.1704,1.2170,30513042.6
87,2021-03-04,1.2169,1.3150,1.1715,1.2695,48737792.0
88,2021-03-05,1.2684,1.4587,1.1920,1.3262,102264512.9
89,2021-03-06,1.3256,1.3498,1.2800,1.2825,32293062.9
90,2021-03-07,1.2826,1.3495,1.2629,1.3130,29409996.6
91,2021-03-08,1.3125,1.3462,1.2856,1.3034,21361668.9
92,2021-03-09,1.3039,1.4316,1.2922,1.4265,32795018.1
93,2021-03-10,1.4273,1.4319,1.2902,1.3082,31287496.3
