Date,Close,Open,High,Low,Volume,Change
2010-07-19,2198.23,2185.81,2201.29,2171.2,470210000.0,0.0088
2010-07-20,2222.49,2165.35,2222.61,2159.95,558770000.0,0.011000000000000001
2010-07-21,2187.33,2236.13,2236.37,2183.22,636840000.0,-0.0158
2010-07-22,2245.89,2216.04,2251.42,2216.04,630730000.0,0.0268
2010-07-23,2269.47,2234.34,2269.47,2227.5,670310000.0,0.0105
2010-07-26,2296.43,2271.62,2296.43,2262.96,577810000.0,0.011899999999999999
2010-07-27,2288.25,2306.62,2307.6,2280.72,567000000.0,-0.0036
2010-07-28,2264.56,2284.62,2292.24,2257.76,540550000.0,-0.0104
2010-07-29,2251.69,2279.07,2282.94,2228.52,669340000.0,-0.005699999999999999
2010-07-30,2254.7,2227.29,2264.81,2218.61,624500000.0,0.0013
2010-08-02,2295.36,2283.32,2299.24,2274.27,524820000.00000006,0.018000000000000002
2010-08-03,2283.52,2291.75,2295.03,2272.33,515630000.0,-0.0052
2010-08-04,2303.57,2291.09,2305.07,2283.21,541230000.0,0.0088
2010-08-05,2293.06,2291.22,2298.86,2281.68,473760000.0,-0.0046
2010-08-06,2288.47,2267.42,2291.15,2253.92,512539999.99999994,-0.002
2010-08-09,2305.69,2298.81,2309.43,2289.03,441720000.0,0.0075
2010-08-10,2277.17,2280.06,2290.51,2261.5,567320000.0,-0.0124
2010-08-11,2208.63,2236.93,2236.93,2204.94,641700000.0,-0.0301
2010-08-12,2190.27,2164.64,2197.97,2163.07,594740000.0,-0.0083
2010-08-13,2173.48,2183.09,2190.27,2173.48,468630000.0,-0.0077
2010-08-16,2181.87,2161.31,2193.84,2155.66,459600000.0,0.0039000000000000003
2010-08-17,2209.44,2197.09,2225.08,2193.42,495880000.0,0.0126
2010-08-18,2215.7,2205.3,2228.9,2196.11,470370000.0,0.0028000000000000004
2010-08-19,2178.95,2204.8,2211.73,2168.74,616310000.0,-0.0166
2010-08-20,2179.76,2172.26,2182.67,2159.54,558440000.0,0.0004
2010-08-23,2159.63,2188.34,2200.52,2159.44,451390000.0,-0.0092
2010-08-24,2123.76,2131.0,2144.2,2113.71,588480000.0,-0.0166
2010-08-25,2141.54,2109.15,2148.35,2102.26,548410000.0,0.0084
2010-08-26,2118.69,2148.49,2154.32,2116.82,494230000.0,-0.010700000000000001
2010-08-27,2153.63,2134.16,2154.99,2099.29,574920000.0,0.0165
2010-08-30,2119.97,2145.76,2154.47,2119.93,425380000.0,-0.015600000000000001
2010-08-31,2114.03,2109.76,2128.9,2101.52,647200000.0,-0.0028000000000000004
2010-09-01,2176.84,2142.75,2177.5,2141.95,574510000.0,0.0297
2010-09-02,2200.01,2178.99,2200.01,2173.71,445620000.0,0.0106
2010-09-03,2233.75,2227.96,2235.57,2213.56,452450000.0,0.015300000000000001
2010-09-07,2208.89,2227.26,2231.28,2206.62,475020000.0,-0.0111
2010-09-08,2228.87,2216.07,2237.42,2215.9,552020000.0,0.009000000000000001
2010-09-09,2236.2,2251.09,2251.98,2229.8,467170000.0,0.0033
2010-09-10,2242.48,2239.08,2246.6,2229.12,455930000.0,0.0028000000000000004
2010-09-13,2285.71,2263.8,2289.49,2263.69,553390000.0,0.019299999999999998
2010-09-14,2289.77,2281.31,2302.57,2274.57,553840000.0,0.0018
2010-09-15,2301.32,2283.17,2304.6,2276.32,555050000.0,0.005
2010-09-16,2303.25,2297.51,2304.95,2288.71,496460000.0,0.0008
2010-09-17,2315.61,2318.42,2320.37,2301.82,919350000.0,0.0054
2010-09-20,2355.83,2322.8,2358.9,2317.89,547990000.0,0.0174
2010-09-21,2349.35,2355.27,2366.76,2341.82,583710000.0,-0.0028000000000000004
2010-09-22,2334.55,2339.91,2355.91,2323.55,586260000.0,-0.0063
2010-09-23,2327.08,2316.71,2353.79,2316.11,516150000.0,-0.0032
2010-09-24,2381.22,2356.26,2381.22,2353.5,536280000.0,0.0233
2010-09-27,2369.77,2379.73,2386.01,2368.65,484980000.0,-0.0048
2010-09-28,2379.59,2373.13,2383.67,2339.5,585540000.0,0.0040999999999999995
2010-09-29,2376.56,2372.37,2382.15,2366.19,575390000.0,-0.0013
