,time,open,high,low,close,volume
0,2020-12-07,1.6680,1.6928,1.6200,1.6868,5852241.7
1,2020-12-08,1.6872,1.6974,1.5022,1.5384,8670599.6
2,2020-12-09,1.5390,1.5621,1.4506,1.5431,6215653.0
3,2020-12-10,1.5433,1.5523,1.4675,1.5024,5283424.7
4,2020-12-11,1.5032,1.5092,1.4146,1.4759,5754329.3
5,2020-12-12,1.4750,1.5340,1.4724,1.5226,4138447.4
6,2020-12-13,1.5226,1.6078,1.5063,1.5566,4935470.5
7,2020-12-14,1.5566,1.6127,1.5160,1.6080,5129366.9
8,2020-12-15,1.6081,1.6300,1.5662,1.5770,4713367.1
9,2020-12-16,1.5773,1.6472,1.5324,1.6416,5847297.3
10,2020-12-17,1.6418,1.6894,1.5800,1.6031,8929324.0
11,2020-12-18,1.6037,1.6323,1.5700,1.6248,5838732.4
12,2020-12-19,1.6246,1.7316,1.6194,1.6432,6727665.9
13,2020-12-20,1.6436,1.6879,1.5614,1.5728,5948052.3
14,2020-12-21,1.5722,1.5968,1.4800,1.4926,6370777.5
15,2020-12-22,1.4924,1.5390,1.4223,1.5066,6451923.6
16,2020-12-23,1.5058,1.5253,1.1256,1.2618,11186001.2
17,2020-12-24,1.2613,1.3847,1.2111,1.3783,9112439.6
18,2020-12-25,1.3785,1.4294,1.2969,1.3534,7440124.3
19,2020-12-26,1.3533,1.3558,1.2780,1.3079,4810388.0
20,2020-12-27,1.3076,1.3973,1.2522,1.2872,8318704.9
21,2020-12-28,1.2862,1.4188,1.2713,1.3603,7892416.4
22,2020-12-29,1.3602,1.4025,1.2371,1.2958,7495602.7
23,2020-12-30,1.2963,1.3289,1.2371,1.3015,6024504.3
24,2020-12-31,1.3014,1.3064,1.2171,1.2956,6419526.6
25,2021-01-01,1.2956,1.3601,1.2646,1.3061,7890402.0
26,2021-01-02,1.3056,1.3438,1.2600,1.2957,6900648.8
27,2021-01-03,1.2959,1.4153,1.2420,1.3924,14049366.1
28,2021-01-04,1.3908,1.6000,1.2660,1.5171,23561647.3
29,2021-01-05,1.5170,1.6661,1.3834,1.5721,25147504.8
30,2021-01-06,1.5722,1.8953,1.5235,1.8170,20838859.6
31,2021-01-07,1.8178,1.9385,1.5752,1.6890,18570409.3
32,2021-01-08,1.6894,1.7679,1.4335,1.6206,18790602.9
33,2021-01-09,1.6198,2.0013,1.5638,1.8643,17772434.3
34,2021-01-10,1.8632,2.0400,1.6185,1.8225,16705588.8
35,2021-01-11,1.8224,1.8463,1.3800,1.5355,20666291.8
36,2021-01-12,1.5347,1.6322,1.4327,1.4779,9406191.0
37,2021-01-13,1.4774,1.6748,1.4226,1.6511,7123866.1
38,2021-01-14,1.6532,1.7869,1.6033,1.7069,8463029.9
