,time,open,high,low,close,volume
0,2020-12-07,0.97799,0.97959,0.93713,0.95533,4520656
1,2020-12-08,0.95513,0.95605,0.87200,0.89352,6404800
2,2020-12-09,0.89332,0.90600,0.83556,0.89416,5898488
3,2020-12-10,0.89358,0.91671,0.85212,0.86374,4883359
4,2020-12-11,0.86364,0.88650,0.83675,0.86840,6488732
5,2020-12-12,0.86812,0.91229,0.86518,0.89493,5340480
6,2020-12-13,0.89523,0.94490,0.88768,0.92385,4729603
7,2020-12-14,0.92356,0.93225,0.90259,0.91117,4025858
8,2020-12-15,0.91077,0.95318,0.90465,0.95041,4922090
9,2020-12-16,0.95114,0.95512,0.90557,0.94044,8537548
10,2020-12-17,0.94031,0.98399,0.91122,0.92722,11659660
11,2020-12-18,0.92781,0.94855,0.90950,0.94598,6164590
12,2020-12-19,0.94598,0.99732,0.93597,0.94788,10300542
13,2020-12-20,0.94786,0.95985,0.90029,0.92285,6454613
14,2020-12-21,0.92289,0.94261,0.84962,0.87378,7411338
15,2020-12-22,0.87394,0.89431,0.84231,0.89157,6037445
16,2020-12-23,0.89132,0.90000,0.70216,0.75478,11892395
17,2020-12-24,0.75457,0.83300,0.72718,0.81968,9073248
18,2020-12-25,0.81975,0.86156,0.80228,0.83210,6895601
19,2020-12-26,0.83215,0.83215,0.78591,0.79849,4874768
20,2020-12-27,0.79891,0.87533,0.79400,0.81206,10991823
21,2020-12-28,0.81202,0.87631,0.80465,0.86018,8878455
22,2020-12-29,0.86021,0.87978,0.79458,0.82785,7165408
23,2020-12-30,0.82809,0.83659,0.79641,0.80727,5722621
24,2020-12-31,0.80696,0.81043,0.78008,0.80154,5220782
25,2021-01-01,0.80147,0.84015,0.77370,0.79854,9252931
26,2021-01-02,0.79847,0.81111,0.78014,0.78603,6752691
27,2021-01-03,0.78660,0.85051,0.76500,0.83162,11400689
28,2021-01-04,0.83146,0.93677,0.76533,0.82426,23161446
29,2021-01-05,0.82408,0.92500,0.79709,0.90940,16946826
30,2021-01-06,0.90978,1.25600,0.88354,1.18566,35380443
31,2021-01-07,1.18574,1.29800,0.99435,1.06397,30221316
32,2021-01-08,1.06421,1.22332,0.94324,1.12842,24554284
33,2021-01-09,1.12741,1.28553,1.08407,1.18832,22735313
34,2021-01-10,1.18935,1.28887,1.02314,1.13715,17999353
35,2021-01-11,1.13703,1.14236,0.85709,0.98016,18862998
36,2021-01-12,0.98036,1.08967,0.96412,1.00204,14252691
37,2021-01-13,1.00239,1.10459,0.97866,1.09987,8972039
38,2021-01-14,1.09929,1.10733,1.03760,1.07403,7619346
39,2021-01-15,1.07426,1.23987,1.04101,1.23605,20346631
40,2021-01-16,1.23642,1.28536,1.14461,1.27819,19640059
41,2021-01-17,1.27750,1.29896,1.12671,1.23329,14294712
42,2021-01-18,1.23391,1.40114,1.17591,1.33870,19830094
43,2021-01-19,1.33956,1.43000,1.25471,1.26499,20464161
44,2021-01-20,1.26313,1.32243,1.15456,1.29207,13720826
45,2021-01-21,1.29273,1.49026,1.13718,1.37986,41394805
46,2021-01-22,1.37846,1.48440,1.19002,1.36566,22485084
47,2021-01-23,1.36501,1.44761,1.31961,1.36433,14750882
48,2021-01-24,1.36466,1.43352,1.32250,1.38423,13644668
49,2021-01-25,1.38485,1.44622,1.31232,1.32067,12086050
50,2021-01-26,1.32042,1.35834,1.22450,1.31971,10875367
51,2021-01-27,1.32040,1.32111,1.14405,1.18248,11410945
52,2021-01-28,1.18173,1.34646,1.15563,1.28042,13113898
53,2021-01-29,1.28077,1.31578,1.23506,1.26261,8698595
54,2021-01-30,1.26211,1.40212,1.21986,1.38441,11989475
55,2021-01-31,1.38269,1.45167,1.26672,1.29446,15309478
56,2021-02-01,1.29467,1.41000,1.26015,1.40652,12234863
57,2021-02-02,1.40590,1.55603,1.36863,1.41588,18688858
58,2021-02-03,1.41511,1.55834,1.39818,1.49216,13039824
59,2021-02-04,1.49173,1.71061,1.38100,1.56798,19729894
60,2021-02-05,1.56720,2.36304,1.56720,2.00858,55040604
61,2021-02-06,2.00730,2.01388,1.67211,1.78830,28280828
62,2021-02-07,1.78965,1.83626,1.56100,1.75498,19209787
63,2021-02-08,1.75534,2.00511,1.71528,1.83996,23145833
64,2021-02-09,1.84066,2.07365,1.79420,2.01326,25497894
65,2021-02-10,2.01429,2.48398,1.86367,2.34943,45081371
66,2021-02-11,2.34806,2.50648,2.22576,2.35814,26867342
67,2021-02-12,2.36063,2.52124,2.24596,2.39405,22266112
68,2021-02-13,2.39248,2.54000,2.06954,2.34573,24418294
69,2021-02-14,2.34654,2.39000,2.04346,2.13264,17984630
70,2021-02-15,2.13334,2.29226,1.67657,2.11036,25835711
71,2021-02-16,2.11389,2.18694,1.95138,2.05003,13145205
72,2021-02-17,2.05015,2.19722,1.89487,2.13509,13003423
73,2021-02-18,2.13524,2.30302,2.09465,2.22760,11736362
74,2021-02-19,2.22716,2.29037,2.10241,2.19359,13535004
75,2021-02-20,2.19399,2.34272,1.92664,2.07074,21184496
76,2021-02-21,2.07237,2.24430,2.00900,2.19075,14851764
77,2021-02-22,2.19238,2.20202,1.62099,1.97514,21859162
78,2021-02-23,1.97480,1.99443,1.36000,1.60437,26218343
79,2021-02-24,1.60454,1.74640,1.50888,1.63039,18536624
80,2021-02-25,1.63042,1.92128,1.59884,1.62896,15245365
81,2021-02-26,1.63219,1.70314,1.47116,1.62389,13295213
82,2021-02-27,1.62254,1.79652,1.61511,1.68346,10199242
83,2021-02-28,1.68374,1.69521,1.44940,1.57136,10984890
84,2021-03-01,1.57259,1.69608,1.56145,1.68535,9044338
85,2021-03-02,1.68655,1.75754,1.59766,1.67073,10186606
86,2021-03-03,1.67227,1.92669,1.65102,1.83120,12284094
87,2021-03-04,1.83401,2.12724,1.77136,2.00922,17508176
88,2021-03-05,2.00905,2.33636,1.87210,2.12093,39602814
89,2021-03-06,2.12247,2.18645,1.95956,2.05715,14659296
