,time,open,high,low,close,volume
0,2020-12-07,52.402,54.677,51.628,53.667,188565.6
1,2020-12-08,53.670,53.766,45.700,46.418,263092.5
2,2020-12-09,46.425,51.300,43.937,48.980,324257.5
3,2020-12-10,49.012,49.810,46.369,47.125,201398.9
4,2020-12-11,47.142,47.288,43.555,44.953,225142.2
5,2020-12-12,44.948,48.798,44.860,48.208,185540.9
6,2020-12-13,48.279,52.793,47.316,50.868,211838.1
7,2020-12-14,50.903,51.973,49.045,50.445,177364.0
8,2020-12-15,50.450,57.549,49.938,56.860,376474.3
9,2020-12-16,56.876,58.373,55.000,57.413,333207.1
10,2020-12-17,57.444,62.802,55.500,58.226,422311.5
11,2020-12-18,58.277,59.527,56.182,57.554,260659.7
12,2020-12-19,57.581,59.500,55.754,56.044,218509.6
13,2020-12-20,55.991,57.197,53.000,53.646,188621.8
14,2020-12-21,53.629,56.094,48.538,49.574,234569.5
15,2020-12-22,49.591,54.492,48.338,54.190,213760.3
16,2020-12-23,54.222,55.088,43.600,47.517,324138.0
17,2020-12-24,47.560,53.025,45.938,52.386,264609.3
18,2020-12-25,52.425,52.590,48.066,50.126,239418.9
19,2020-12-26,50.141,50.924,47.348,47.830,197086.6
20,2020-12-27,47.865,51.483,46.500,50.372,260810.5
21,2020-12-28,50.416,58.765,49.261,58.471,432608.3
22,2020-12-29,58.426,63.279,53.740,61.994,546190.2
23,2020-12-30,61.963,65.846,59.646,62.146,363200.6
24,2020-12-31,62.196,73.682,59.693,72.005,476403.0
25,2021-01-01,72.058,73.559,65.506,69.689,323481.4
26,2021-01-02,69.719,73.540,65.139,69.331,307914.7
27,2021-01-03,69.348,74.999,66.035,73.135,377638.8
28,2021-01-04,73.149,74.960,59.898,68.626,516797.5
29,2021-01-05,68.660,71.333,62.000,67.949,337564.4
30,2021-01-06,68.041,76.344,65.555,75.623,380623.6
31,2021-01-07,75.621,77.453,65.069,69.152,414288.8
32,2021-01-08,69.108,71.827,64.045,68.889,283615.2
33,2021-01-09,68.903,70.631,66.000,69.344,235244.3
34,2021-01-10,69.346,75.300,65.410,71.465,406670.7
35,2021-01-11,71.499,71.715,57.700,64.469,481405.0
36,2021-01-12,64.444,67.740,61.700,62.773,209259.1
37,2021-01-13,62.775,78.383,60.630,76.848,373183.8
38,2021-01-14,76.952,89.248,76.307,88.814,408307.4
39,2021-01-15,88.735,89.529,74.100,83.700,392953.3
40,2021-01-16,83.697,109.788,81.300,102.664,483120.9
41,2021-01-17,102.732,109.806,90.377,102.693,357765.2
42,2021-01-18,102.705,121.448,101.656,109.525,392110.6
43,2021-01-19,109.561,110.610,98.669,101.417,243383.9
44,2021-01-20,101.331,107.740,90.132,106.056,281395.7
45,2021-01-21,106.053,106.662,92.553,93.015,301604.1
46,2021-01-22,92.893,105.484,85.301,104.117,253789.1
47,2021-01-23,104.067,112.893,101.604,107.763,224136.6
48,2021-01-24,107.675,112.353,100.528,104.157,208615.5
49,2021-01-25,104.173,109.489,98.210,98.916,178109.0
50,2021-01-26,98.820,104.197,93.177,102.118,171558.9
51,2021-01-27,102.095,102.095,90.302,95.400,175915.8
52,2021-01-28,95.447,118.069,93.704,114.260,237827.0
53,2021-01-29,114.236,115.659,102.040,106.993,206101.0
54,2021-01-30,106.957,107.876,99.402,101.432,167476.3
55,2021-01-31,101.418,106.282,96.446,98.081,203450.7
56,2021-02-01,98.049,102.028,95.442,100.993,180317.7
57,2021-02-02,100.965,108.095,98.052,105.374,219920.4
58,2021-02-03,105.440,123.465,104.978,119.493,363375.4
59,2021-02-04,119.469,124.786,108.698,115.795,395365.6
60,2021-02-05,115.802,123.284,114.876,121.834,322397.1
61,2021-02-06,121.946,124.780,111.000,113.275,257616.2
62,2021-02-07,113.175,116.406,100.090,116.308,296438.6
63,2021-02-08,116.308,137.000,111.515,133.655,330477.9
64,2021-02-09,133.734,139.000,126.439,131.101,261608.0
65,2021-02-10,131.103,138.893,115.990,129.586,319120.0
66,2021-02-11,129.587,148.164,126.474,142.753,282673.1
67,2021-02-12,142.819,160.617,138.000,154.314,234708.9
68,2021-02-13,154.482,170.000,153.393,161.956,274676.2
69,2021-02-14,162.056,164.482,146.693,157.598,226010.4
70,2021-02-15,157.598,224.828,135.028,190.431,1116322.3
71,2021-02-16,190.632,229.629,187.932,209.741,654172.0
72,2021-02-17,209.500,244.730,195.000,241.025,468674.8
73,2021-02-18,241.108,241.950,218.864,223.794,248053.5
74,2021-02-19,223.817,243.268,205.599,224.544,309066.9
75,2021-02-20,224.555,248.295,209.296,222.166,360280.3
76,2021-02-21,222.142,237.812,216.264,224.063,204128.4
77,2021-02-22,224.060,300.000,191.347,272.462,740881.2
78,2021-02-23,272.422,289.868,206.747,241.605,688090.0
79,2021-02-24,241.549,270.198,225.073,242.797,359010.3
80,2021-02-25,242.759,258.565,222.177,224.682,302670.5
81,2021-02-26,224.983,230.930,198.628,216.324,322054.9
82,2021-02-27,216.324,239.573,215.761,229.673,252095.7
83,2021-02-28,229.612,235.167,195.000,213.045,324899.0
84,2021-03-01,213.011,231.309,209.799,228.141,224275.5
85,2021-03-02,228.126,246.132,218.937,240.945,240368.4
86,2021-03-03,241.080,259.608,238.501,244.852,228680.1
87,2021-03-04,244.914,254.975,231.325,234.772,197748.1
88,2021-03-05,234.905,234.905,211.437,228.112,220614.8
89,2021-03-06,228.037,230.989,215.702,229.032,141633.8
90,2021-03-07,229.081,239.823,225.567,234.075,136537.2
91,2021-03-08,234.105,244.348,223.476,244.348,166361.3
92,2021-03-09,244.097,297.975,238.790,290.692,281362.4
93,2021-03-10,290.959,318.740,267.766,304.240,420816.8
94,2021-03-11,304.091,345.400,278.552,330.179,301486.3
95,2021-03-12,330.317,336.699,301.646,314.651,274006.3
96,2021-03-13,314.381,324.662,301.930,314.195,212074.6
97,2021-03-14,314.210,322.837,300.000,300.612,161752.9
98,2021-03-15,300.342,325.308,277.023,310.888,236774.9
99,2021-03-16,310.642,334.609,291.350,319.041,231438.6
100,2021-03-17,319.125,349.500,310.283,346.112,227064.1
101,2021-03-18,346.149,392.103,343.572,368.057,309739.5
102,2021-03-19,368.061,423.554,356.500,384.457,330615.1
103,2021-03-20,384.302,411.769,379.504,389.902,188663.7
104,2021-03-21,389.867,417.655,383.010,400.480,213261.8
105,2021-03-22,400.546,461.019,398.359,437.848,307701.3
