,time,open,high,low,close,volume
0,2021-03-19,0.18000,0.20453,0.16670,0.16904,205395635
1,2021-03-20,0.16921,0.17878,0.15303,0.15612,366838704
2,2021-03-21,0.15597,0.18066,0.15500,0.16977,305621729
3,2021-03-22,0.16983,0.17051,0.13200,0.14067,275663887
4,2021-03-23,0.14067,0.14770,0.12650,0.13061,336627890
5,2021-03-24,0.13035,0.14889,0.11344,0.12138,360382927
6,2021-03-25,0.12135,0.12598,0.11221,0.11516,286211538
7,2021-03-26,0.11502,0.13651,0.11492,0.13078,265009911
8,2021-03-27,0.13078,0.14542,0.12509,0.13850,323133897
9,2021-03-28,0.13850,0.15895,0.13550,0.14560,421901666
10,2021-03-29,0.14561,0.15354,0.14088,0.14402,236992728
11,2021-03-30,0.14409,0.15461,0.14056,0.14557,256732744
12,2021-03-31,0.14552,0.14894,0.12921,0.13872,267210263
13,2021-04-01,0.13872,0.14579,0.13442,0.13560,152033613
14,2021-04-02,0.13565,0.15000,0.13331,0.14001,235219525
15,2021-04-03,0.14001,0.14284,0.12100,0.12419,262948074
16,2021-04-04,0.12419,0.13535,0.12229,0.13192,178532336
17,2021-04-05,0.13194,0.14000,0.12429,0.13082,224115784
18,2021-04-06,0.13081,0.13766,0.12380,0.12858,223358684
19,2021-04-07,0.12850,0.12928,0.09800,0.11010,539272544
20,2021-04-08,0.11017,0.12192,0.10920,0.11944,290013112
21,2021-04-09,0.11947,0.13490,0.11888,0.13283,393160619
22,2021-04-10,0.13294,0.17355,0.12931,0.14343,1446116118
23,2021-04-11,0.14347,0.16555,0.13816,0.14899,928765316
24,2021-04-12,0.14900,0.16158,0.13759,0.14179,438687833
25,2021-04-13,0.14179,0.14609,0.13150,0.13644,297780619
26,2021-04-14,0.13645,0.13806,0.12174,0.13116,321665802
27,2021-04-15,0.13119,0.14100,0.13100,0.13440,284780833
28,2021-04-16,0.13450,0.13690,0.11347,0.12425,360990451
29,2021-04-17,0.12435,0.13528,0.12023,0.12293,337226904
30,2021-04-18,0.12292,0.12479,0.08319,0.10693,572195559
31,2021-04-19,0.10693,0.11441,0.09362,0.09622,431570224
32,2021-04-20,0.09622,0.10661,0.08278,0.09964,678987810
33,2021-04-21,0.09967,0.10492,0.09116,0.09165,414416620
34,2021-04-22,0.09158,0.10424,0.08823,0.09006,444760032
35,2021-04-23,0.09006,0.09214,0.06941,0.08120,588065417
36,2021-04-24,0.08117,0.08132,0.07124,0.07395,351179838
37,2021-04-25,0.07396,0.08250,0.06970,0.07428,418463704
38,2021-04-26,0.07434,0.09444,0.07343,0.08733,592611751
39,2021-04-27,0.08732,0.09409,0.08550,0.09140,512870286
40,2021-04-28,0.09140,0.09646,0.08186,0.09205,564595635
41,2021-04-29,0.09206,0.10773,0.08812,0.10236,1205047461
42,2021-04-30,0.10237,0.11650,0.10200,0.10644,963462838
43,2021-05-01,0.10637,0.11839,0.10417,0.11380,594405228
44,2021-05-02,0.11387,0.12474,0.10026,0.12471,735696418
45,2021-05-03,0.12471,0.13651,0.11800,0.12286,1322136035
46,2021-05-04,0.12295,0.12527,0.10359,0.10458,1014847073
47,2021-05-05,0.10452,0.11477,0.10226,0.11102,547369073
48,2021-05-06,0.11108,0.11488,0.10160,0.10317,557549233
49,2021-05-07,0.10317,0.10871,0.09612,0.09975,517440299
50,2021-05-08,0.09976,0.10722,0.09756,0.10112,490010483
51,2021-05-09,0.10115,0.10335,0.09322,0.09955,417600269
52,2021-05-10,0.09946,0.10250,0.07443,0.08617,645636512
53,2021-05-11,0.08617,0.09191,0.08309,0.09004,449632244
54,2021-05-12,0.09003,0.09376,0.07196,0.07400,593240870
55,2021-05-13,0.07400,0.08366,0.06749,0.07588,590449050
56,2021-05-14,0.07590,0.08584,0.07520,0.08101,432158442
57,2021-05-15,0.08101,0.08227,0.07227,0.07321,415084464
58,2021-05-16,0.07324,0.08556,0.07037,0.07504,546739441
59,2021-05-17,0.07505,0.07517,0.06361,0.06665,629618090
60,2021-05-18,0.06664,0.07301,0.06550,0.07058,530529919
61,2021-05-19,0.07053,0.07192,0.02673,0.04028,1444929934
62,2021-05-20,0.04029,0.04966,0.03569,0.04755,986814482
63,2021-05-21,0.04751,0.05115,0.03434,0.04009,681456901
64,2021-05-22,0.04005,0.05462,0.03466,0.05281,2517923152
65,2021-05-23,0.05281,0.05309,0.03149,0.03846,2395449871
66,2021-05-24,0.03846,0.04524,0.03844,0.04488,1246778598
67,2021-05-25,0.04488,0.04807,0.03929,0.04393,749541803
68,2021-05-26,0.04401,0.05040,0.04268,0.04938,580137712
69,2021-05-27,0.04936,0.05382,0.04388,0.05102,793662937
70,2021-05-28,0.05105,0.05127,0.04000,0.04244,802429427
71,2021-05-29,0.04248,0.04400,0.03784,0.03934,496248562
72,2021-05-30,0.03936,0.04210,0.03689,0.04041,339150220
73,2021-05-31,0.04041,0.04388,0.03857,0.04350,384705086
74,2021-06-01,0.04352,0.04482,0.04073,0.04272,566178949
75,2021-06-02,0.04276,0.04753,0.04144,0.04622,460850219
76,2021-06-03,0.04624,0.05080,0.04426,0.04932,652865373
77,2021-06-04,0.04935,0.04943,0.04050,0.04337,610290792
78,2021-06-05,0.04335,0.04559,0.03982,0.04127,421522863
79,2021-06-06,0.04128,0.04335,0.04050,0.04168,294038790
80,2021-06-07,0.04165,0.04438,0.03772,0.03827,478302823
81,2021-06-08,0.03828,0.03898,0.03339,0.03619,631717542
82,2021-06-09,0.03618,0.03916,0.03434,0.03916,483730869
83,2021-06-10,0.03912,0.03960,0.03393,0.03449,552985440
84,2021-06-11,0.03449,0.03502,0.03231,0.03276,527755908
85,2021-06-12,0.03275,0.03289,0.02988,0.03098,631121247
86,2021-06-13,0.03097,0.03449,0.03006,0.03319,579712388
87,2021-06-14,0.03321,0.03449,0.03202,0.03379,563760499
88,2021-06-15,0.03380,0.03549,0.03307,0.03504,612152873
89,2021-06-16,0.03507,0.03818,0.03340,0.03416,1242765163
90,2021-06-17,0.03416,0.03590,0.03273,0.03376,581680470
91,2021-06-18,0.03375,0.03389,0.02954,0.03106,556024249
92,2021-06-19,0.03105,0.03199,0.02960,0.02981,551801789
93,2021-06-20,0.02981,0.03083,0.02717,0.02941,756643654
94,2021-06-21,0.02942,0.02975,0.02315,0.02334,969198262
95,2021-06-22,0.02334,0.02498,0.02011,0.02258,1310413872
96,2021-06-23,0.02257,0.02541,0.02182,0.02441,848560257
97,2021-06-24,0.02441,0.02508,0.02313,0.02444,619309732
98,2021-06-25,0.02444,0.02517,0.02147,0.02179,765961615
