,time,open,high,low,close,volume
0,2020-12-07,13.520,13.574,12.880,13.082,10074465.96
1,2020-12-08,13.083,13.207,11.994,12.135,15423214.84
2,2020-12-09,12.140,12.832,11.568,12.617,21962464.29
3,2020-12-10,12.616,12.671,11.855,11.916,11104064.24
4,2020-12-11,11.916,11.994,11.423,11.644,16134782.51
5,2020-12-12,11.645,12.358,11.603,12.228,12897473.52
6,2020-12-13,12.229,13.277,12.026,12.941,17512226.03
7,2020-12-14,12.942,12.991,12.322,12.858,15682282.10
8,2020-12-15,12.858,13.034,12.470,12.692,10675359.81
9,2020-12-16,12.693,13.519,12.313,13.498,19839160.10
10,2020-12-17,13.497,14.547,13.100,13.457,37795134.70
11,2020-12-18,13.457,14.038,13.187,13.517,18652767.65
12,2020-12-19,13.518,14.007,13.311,13.486,14656408.42
13,2020-12-20,13.487,13.819,12.650,13.064,17512162.52
14,2020-12-21,13.064,13.287,12.082,12.317,19505156.54
15,2020-12-22,12.314,12.848,11.809,12.788,18929126.96
16,2020-12-23,12.788,12.870,8.022,10.972,47463792.21
17,2020-12-24,10.971,11.683,9.849,11.563,40364233.42
18,2020-12-25,11.562,11.915,11.050,11.560,23552756.60
19,2020-12-26,11.561,11.816,10.620,10.980,25207042.05
20,2020-12-27,10.980,13.274,10.478,12.169,49945357.04
21,2020-12-28,12.172,12.974,11.979,12.620,33021138.05
22,2020-12-29,12.619,13.057,10.806,11.781,33522575.32
23,2020-12-30,11.779,11.990,11.071,11.248,21085878.86
24,2020-12-31,11.248,11.756,10.944,11.244,18778512.86
25,2021-01-01,11.244,12.485,11.071,11.869,23199628.14
26,2021-01-02,11.868,12.455,11.456,12.226,25747352.18
27,2021-01-03,12.228,14.069,11.850,13.719,44451096.87
28,2021-01-04,13.724,15.860,12.333,13.611,66724684.51
29,2021-01-05,13.610,14.931,13.113,14.531,40608542.36
30,2021-01-06,14.537,17.366,14.158,17.290,49259450.11
31,2021-01-07,17.295,17.520,15.078,15.989,41306461.24
32,2021-01-08,15.990,16.262,14.130,15.251,41229302.63
33,2021-01-09,15.253,17.936,15.004,17.589,33525639.35
34,2021-01-10,17.595,18.498,15.488,16.228,38916176.03
35,2021-01-11,16.221,16.281,12.500,14.657,55281912.66
36,2021-01-12,14.655,15.495,13.684,13.982,30519127.87
37,2021-01-13,13.978,16.254,13.376,15.952,26764681.90
38,2021-01-14,15.956,18.047,15.350,18.023,27785906.34
39,2021-01-15,18.027,21.682,17.562,20.766,88211876.93
40,2021-01-16,20.768,23.067,19.655,20.130,60270706.38
41,2021-01-17,20.134,23.780,19.388,23.286,47435718.56
42,2021-01-18,23.279,23.750,21.085,22.069,29969769.86
43,2021-01-19,22.067,22.930,20.398,20.585,26192768.90
44,2021-01-20,20.564,21.991,19.055,21.867,31757963.44
45,2021-01-21,21.861,22.086,18.060,18.441,37677979.27
46,2021-01-22,18.437,22.548,17.111,21.578,41249960.45
47,2021-01-23,21.580,25.560,21.163,24.824,48751117.46
48,2021-01-24,24.827,24.988,23.100,24.831,30307266.89
49,2021-01-25,24.835,25.845,22.613,23.367,30125870.31
50,2021-01-26,23.367,23.993,21.669,23.132,24465211.72
51,2021-01-27,23.128,23.272,20.282,20.989,25834468.10
52,2021-01-28,20.986,24.516,20.521,23.020,26582152.09
