,time,open,high,low,close,volume
0,2021-11-11,68.955,73.408,61.253,63.550,678017.3
1,2021-11-12,63.550,64.805,57.200,58.889,455525.3
2,2021-11-13,58.911,75.785,58.911,68.096,2638218.4
3,2021-11-14,68.082,69.699,63.065,64.796,835479.2
4,2021-11-15,64.803,73.308,63.500,65.616,1348123.7
5,2021-11-16,65.604,68.778,58.614,61.142,1358423.1
6,2021-11-17,61.132,62.496,53.885,55.872,859277.0
7,2021-11-18,55.882,57.795,45.750,47.033,802788.9
8,2021-11-19,47.028,57.108,46.717,53.735,953561.0
9,2021-11-20,53.740,54.901,50.551,52.377,477764.1
10,2021-11-21,52.361,54.992,49.725,50.080,422603.3
11,2021-11-22,50.064,52.312,47.250,47.501,412130.5
12,2021-11-23,47.496,54.208,47.130,50.420,411541.6
13,2021-11-24,50.431,50.633,45.119,46.072,371879.0
14,2021-11-25,46.063,65.000,46.063,60.476,2538196.0
15,2021-11-26,60.476,70.560,53.245,54.928,2432962.3
16,2021-11-27,55.057,68.802,54.236,59.256,1401395.7
17,2021-11-28,59.301,59.467,51.000,58.081,715986.6
18,2021-11-29,58.101,58.391,54.000,55.051,474511.3
19,2021-11-30,55.061,56.199,51.042,52.142,480019.1
20,2021-12-01,52.162,57.450,51.942,55.896,686997.8
21,2021-12-02,55.890,60.100,52.364,53.307,1048419.4
22,2021-12-03,53.294,53.661,44.074,47.194,505468.2
23,2021-12-04,47.186,47.381,31.297,42.410,898443.1
24,2021-12-05,42.427,48.711,39.714,41.461,1680121.0
25,2021-12-06,41.471,43.917,37.551,43.188,653141.0
26,2021-12-07,43.214,44.046,40.708,41.281,457839.4
27,2021-12-08,41.282,41.639,39.041,41.498,490597.7
28,2021-12-09,41.499,42.206,37.201,37.715,471653.1
29,2021-12-10,37.690,39.647,35.368,35.560,309023.4
30,2021-12-11,35.583,38.600,34.954,38.304,569124.2
31,2021-12-12,38.367,39.382,37.130,38.667,432118.5
32,2021-12-13,38.673,39.700,32.006,32.582,611320.9
33,2021-12-14,32.575,33.932,31.555,33.284,672434.1
34,2021-12-15,33.249,35.582,31.027,35.243,529536.0
35,2021-12-16,35.239,39.891,35.006,36.770,1465420.1
36,2021-12-17,36.749,38.391,34.297,36.095,560544.2
37,2021-12-18,36.075,37.206,35.309,36.365,215033.9
38,2021-12-19,36.374,37.862,34.980,35.062,385864.7
39,2021-12-20,35.062,35.221,32.324,34.036,413307.6
40,2021-12-21,34.055,37.452,33.702,36.538,351752.0
41,2021-12-22,36.537,41.934,36.537,41.312,645367.4
42,2021-12-23,41.306,46.250,40.081,44.475,1889885.3
43,2021-12-24,44.476,46.867,43.720,44.199,772692.0
44,2021-12-25,44.206,48.044,44.020,44.552,505996.6
45,2021-12-26,44.522,45.017,42.659,43.501,391895.4
46,2021-12-27,43.505,46.789,43.113,43.654,639844.7
47,2021-12-28,43.667,43.670,38.001,38.440,494276.6
48,2021-12-29,38.422,54.500,38.395,42.508,6601061.5
49,2021-12-30,42.496,42.587,39.351,40.178,1757620.2
50,2021-12-31,40.173,42.772,38.610,39.641,1078546.9
51,2022-01-01,39.634,41.870,39.607,41.086,745100.5
52,2022-01-02,41.094,41.263,39.791,40.646,696306.1
53,2022-01-03,40.635,42.800,40.000,41.903,683008.6
54,2022-01-04,41.893,46.021,40.700,42.845,746716.1
55,2022-01-05,42.823,51.650,39.630,42.455,4103727.6
56,2022-01-06,42.459,46.723,40.309,41.814,2298534.2
57,2022-01-07,41.814,41.919,36.303,37.149,1132260.7
58,2022-01-08,37.185,38.564,33.754,34.986,710204.3
59,2022-01-09,34.991,38.124,34.649,37.044,515978.5
60,2022-01-10,37.050,37.430,32.164,33.339,675144.8
61,2022-01-11,33.340,37.161,33.008,36.853,586307.9
62,2022-01-12,36.857,39.395,36.262,39.168,393367.1
63,2022-01-13,39.165,39.290,35.539,35.703,359470.2
64,2022-01-14,35.709,37.297,34.610,36.175,536375.7
65,2022-01-15,36.175,36.980,35.562,36.151,454074.8
66,2022-01-16,36.156,36.838,35.228,36.313,304269.1
67,2022-01-17,36.319,36.508,33.681,34.420,402126.6
68,2022-01-18,34.428,35.220,33.012,34.090,294831.8
69,2022-01-19,34.084,34.434,32.009,32.440,396388.9
70,2022-01-20,32.433,34.372,30.006,30.162,472758.4
71,2022-01-21,30.156,30.730,24.352,24.827,985653.3
72,2022-01-22,24.817,25.493,20.665,23.830,879774.9
73,2022-01-23,23.834,26.212,23.166,24.372,906880.4
74,2022-01-24,24.354,24.372,20.325,23.400,755055.7
75,2022-01-25,23.389,24.241,22.585,23.694,601107.2
76,2022-01-26,23.707,26.655,23.454,24.037,523245.8
77,2022-01-27,24.053,25.633,22.650,24.335,461214.4
78,2022-01-28,24.341,25.960,24.070,25.779,581204.4
79,2022-01-29,25.778,27.408,25.656,27.044,428414.3
80,2022-01-30,27.059,27.543,25.502,26.251,333380.8
81,2022-01-31,26.253,27.848,24.863,26.963,518381.3
82,2022-02-01,26.970,27.613,26.340,26.613,395453.8
83,2022-02-02,26.599,28.419,26.094,26.531,728685.3
84,2022-02-03,26.525,27.306,24.910,25.456,648805.3
85,2022-02-04,25.471,29.887,25.042,29.672,903122.9
86,2022-02-05,29.669,30.697,28.588,29.703,771113.6
87,2022-02-06,29.699,31.358,28.983,31.281,566801.8
88,2022-02-07,31.284,32.389,30.211,31.903,572382.9
89,2022-02-08,31.902,33.767,29.056,30.702,553581.0
90,2022-02-09,30.706,34.627,29.924,33.845,1469434.3
91,2022-02-10,33.842,34.750,31.391,33.860,1200683.9
92,2022-02-11,33.884,36.350,29.352,29.913,1387585.2
93,2022-02-12,29.911,30.417,28.035,28.555,889427.7
94,2022-02-13,28.562,28.696,25.530,25.839,1274245.4
95,2022-02-14,25.849,27.117,25.181,26.408,1072796.6
96,2022-02-15,26.405,28.789,26.322,28.630,745782.1
97,2022-02-16,28.626,29.252,27.126,28.618,582100.2
98,2022-02-17,28.613,28.949,25.268,25.498,590657.0
99,2022-02-18,25.518,26.628,24.613,24.936,542199.2
100,2022-02-19,24.926,25.847,23.977,25.375,415020.8
101,2022-02-20,25.369,25.435,23.253,23.671,407011.2
102,2022-02-21,23.678,25.296,21.779,21.853,656503.6
103,2022-02-22,21.858,23.847,21.483,23.719,587574.3
104,2022-02-23,23.696,24.990,22.090,22.147,581543.8
105,2022-02-24,22.157,22.602,18.785,22.266,1155229.1
106,2022-02-25,22.267,25.440,22.228,25.224,1422236.8
107,2022-02-26,25.216,25.988,24.153,24.401,664193.5
108,2022-02-27,24.401,25.684,23.124,23.974,510414.1
109,2022-02-28,23.971,26.367,23.566,26.326,513515.3
110,2022-03-01,26.321,28.499,25.665,27.247,788316.3
111,2022-03-02,27.261,27.378,25.639,26.537,475417.4
112,2022-03-03,26.540,27.402,24.741,25.166,501574.0
113,2022-03-04,25.163,25.276,22.619,22.874,1004070.3
114,2022-03-05,22.877,23.722,22.160,23.352,633835.0
115,2022-03-06,23.352,23.572,21.958,22.050,512866.0
116,2022-03-07,22.055,23.449,21.347,22.372,525765.8
117,2022-03-08,22.370,23.811,22.243,23.257,617648.9
118,2022-03-09,23.265,25.412,23.172,25.057,451127.7
119,2022-03-10,25.054,25.245,22.929,24.147,369065.4
120,2022-03-11,24.143,24.388,22.592,22.811,387407.8
121,2022-03-12,22.800,23.638,22.734,22.921,312888.5
122,2022-03-13,22.917,23.428,22.102,22.206,279695.5
123,2022-03-14,22.203,23.425,21.998,23.406,365892.8
124,2022-03-15,23.410,23.503,22.121,23.073,330134.6
125,2022-03-16,23.072,24.337,22.730,24.334,366336.7
126,2022-03-17,24.334,25.165,23.503,24.716,447958.1
