,time,open,high,low,close,volume
0,2020-12-07,83.62,87.01,81.78,83.43,2536058.718
1,2020-12-08,83.46,84.85,75.38,76.74,2521838.944
2,2020-12-09,76.76,78.18,72.12,77.41,2502057.619
3,2020-12-10,77.40,77.65,73.11,74.73,1593866.494
4,2020-12-11,74.74,75.12,69.80,72.22,2599196.229
5,2020-12-12,72.21,77.56,71.99,76.63,1774905.153
6,2020-12-13,76.64,84.37,75.48,82.30,2363064.632
7,2020-12-14,82.28,83.00,79.13,82.38,2297953.554
8,2020-12-15,82.37,85.00,80.41,81.35,2548882.483
9,2020-12-16,81.39,93.45,78.33,93.05,4756813.740
10,2020-12-17,93.03,110.00,90.52,101.09,10810004.404
11,2020-12-18,101.09,113.02,99.21,109.43,7337280.897
12,2020-12-19,109.45,124.42,105.47,119.91,6361308.528
13,2020-12-20,119.92,123.34,110.00,114.68,6162094.030
14,2020-12-21,114.67,118.86,100.43,104.57,8098408.711
15,2020-12-22,104.60,114.74,98.39,114.37,7090188.752
16,2020-12-23,114.33,117.50,94.94,102.50,8981367.086
17,2020-12-24,102.44,112.44,98.66,111.25,5403149.019
18,2020-12-25,111.24,128.80,108.37,127.96,6734096.834
19,2020-12-26,127.87,135.39,125.11,129.79,7237393.522
20,2020-12-27,129.80,139.63,121.83,127.99,8863865.403
21,2020-12-28,127.97,137.58,126.44,130.04,5068093.822
22,2020-12-29,130.04,131.09,120.10,129.05,4358835.964
23,2020-12-30,129.04,133.29,122.73,130.21,3857615.453
24,2020-12-31,130.21,130.56,121.89,124.36,3004910.831
25,2021-01-01,124.37,134.23,123.07,126.31,3818243.550
26,2021-01-02,126.32,142.39,123.23,137.08,5716443.970
27,2021-01-03,137.09,165.99,135.55,161.97,9070260.102
28,2021-01-04,161.87,174.65,139.50,155.58,8310498.048
29,2021-01-05,155.58,163.42,146.54,158.60,4042152.230
30,2021-01-06,158.64,170.49,155.18,169.18,4017916.796
31,2021-01-07,169.20,182.13,161.83,169.65,6034438.230
32,2021-01-08,169.70,182.50,149.61,172.47,7460104.240
33,2021-01-09,172.50,179.54,163.58,177.56,4404269.027
34,2021-01-10,177.51,186.61,162.10,170.36,5920578.790
35,2021-01-11,170.31,171.06,112.55,139.06,11343644.875
36,2021-01-12,139.07,147.00,128.15,133.48,5077347.884
37,2021-01-13,133.55,148.59,126.00,147.63,3735324.722
38,2021-01-14,147.55,157.12,143.66,152.64,3461480.927
39,2021-01-15,152.61,156.00,130.33,143.54,3931814.915
40,2021-01-16,143.56,152.95,139.42,143.65,3039715.156
41,2021-01-17,143.65,147.24,136.36,142.91,2347455.834
42,2021-01-18,142.92,155.22,138.58,152.09,3147254.898
43,2021-01-19,152.10,166.49,150.53,151.85,3933726.523
