,time,open,high,low,close,volume
0,2021-01-28,1.2170,1.5700,0.9008,1.4452,12369673
1,2021-01-29,1.4452,1.7458,1.3970,1.4745,8671595
2,2021-01-30,1.4746,1.5700,1.4006,1.4424,5841438
3,2021-01-31,1.4428,1.5473,1.3697,1.4639,6130476
4,2021-02-01,1.4637,1.9237,1.4149,1.8086,8374039
5,2021-02-02,1.8095,2.3900,1.8003,2.3724,12422427
6,2021-02-03,2.3840,2.5366,2.0200,2.1217,18009512
7,2021-02-04,2.1252,2.9055,1.9626,2.6827,30577936
8,2021-02-05,2.6827,3.0553,2.6730,2.8926,12638618
9,2021-02-06,2.8933,3.0016,2.6312,2.6955,8168705
10,2021-02-07,2.6990,3.1943,2.4399,3.0854,13610522
11,2021-02-08,3.0880,6.2332,3.0680,5.8077,56215150
12,2021-02-09,5.8078,8.4052,4.8581,6.5000,65308414
13,2021-02-10,6.5000,7.1204,5.3134,6.1064,25029171
14,2021-02-11,6.1037,6.5600,5.4900,5.5146,18708499
15,2021-02-12,5.5146,6.2237,5.3841,5.7593,21001843
16,2021-02-13,5.7640,6.0581,5.3266,5.6161,13811744
17,2021-02-14,5.6238,6.2579,5.3097,5.6497,16685330
18,2021-02-15,5.6497,5.8900,4.6074,5.4572,17236434
19,2021-02-16,5.4588,6.7800,5.2345,6.5368,27034408
20,2021-02-17,6.5335,7.5000,5.8300,7.3165,27341914
21,2021-02-18,7.3217,7.5916,6.4418,6.7012,18021938
22,2021-02-19,6.7055,6.9053,6.1145,6.3514,14612898
23,2021-02-20,6.3570,6.7981,5.5078,5.9412,17724740
24,2021-02-21,5.9411,6.3758,5.8000,6.1289,12042604
25,2021-02-22,6.1294,8.4000,5.9173,7.0470,38322768
26,2021-02-23,7.0479,7.1099,5.1800,6.7448,18994228
27,2021-02-24,6.7476,7.7101,6.4035,6.6831,13991502
28,2021-02-25,6.6793,7.2493,5.9282,5.9943,11061909
29,2021-02-26,5.9956,6.4266,5.5626,5.8921,10458842
30,2021-02-27,5.8901,6.3800,5.7598,5.9136,8972671
31,2021-02-28,5.9152,6.0139,4.9747,5.3637,11214764
32,2021-03-01,5.3661,6.7879,5.3363,6.7643,12236991
33,2021-03-02,6.7650,6.8081,6.2167,6.4868,8028288
34,2021-03-03,6.4866,8.2348,6.4213,7.2012,18541097
35,2021-03-04,7.2089,8.1666,7.1000,7.4845,15883880
36,2021-03-05,7.4863,8.7888,6.9800,8.4776,24783090
37,2021-03-06,8.4833,8.9760,8.0937,8.2486,16384925
38,2021-03-07,8.2511,8.3366,7.7900,8.2451,10239846
39,2021-03-08,8.2487,9.8157,8.0890,9.7093,16088258
40,2021-03-09,9.7091,12.1615,9.6332,11.6560,23822857
41,2021-03-10,11.6691,11.7850,10.8583,11.1139,12405805
42,2021-03-11,11.1175,11.4428,10.3476,10.8290,10453079
43,2021-03-12,10.8312,14.4000,10.6011,14.1800,18307213
44,2021-03-13,14.1800,14.9755,12.7130,14.6340,10475351
45,2021-03-14,14.6309,16.7805,13.8837,15.7900,16551328
46,2021-03-15,15.7900,16.8000,14.5804,16.2976,12003103
47,2021-03-16,16.2814,20.7816,15.9680,19.8404,23867983
48,2021-03-17,19.8387,19.8832,17.0500,18.4533,16435747
49,2021-03-18,18.4582,19.2796,17.6232,18.8749,11447718
50,2021-03-19,18.8720,21.8800,18.4029,19.7438,14545010
51,2021-03-20,19.7394,21.3070,19.5020,20.7732,7776778
52,2021-03-21,20.7730,22.3594,20.6100,21.8385,10990385
53,2021-03-22,21.8385,21.9923,19.0045,19.2619,9454568
54,2021-03-23,19.2587,19.7012,16.6625,16.9182,9793577
55,2021-03-24,16.9182,18.7499,15.5500,16.4916,14908284
56,2021-03-25,16.4801,17.1964,15.8472,16.3577,9363064
57,2021-03-26,16.3589,19.0358,16.3093,18.3549,8517586
58,2021-03-27,18.3462,19.2298,17.9581,18.6317,6022358
59,2021-03-28,18.6309,19.3000,17.9600,18.5675,5253217
60,2021-03-29,18.5746,19.5700,18.1635,18.9277,5318591
61,2021-03-30,18.9299,19.2355,18.1877,18.6256,5843106
62,2021-03-31,18.6222,19.5599,17.6808,18.6906,7540693
63,2021-04-01,18.6926,19.0928,18.0161,18.4312,5566669
64,2021-04-02,18.4342,19.1779,18.3169,18.5433,4934867
65,2021-04-03,18.5419,18.9255,17.6900,18.0093,4937013
66,2021-04-04,18.0014,18.5645,17.7700,18.2068,4398149
67,2021-04-05,18.2116,18.4899,17.0400,17.5424,6133650
68,2021-04-06,17.5407,17.6422,16.3809,16.7710,8013360
69,2021-04-07,16.7699,16.8341,14.7711,15.4365,9955251
70,2021-04-08,15.4364,16.1943,15.2165,15.8028,6974154
71,2021-04-09,15.8026,17.0366,15.5357,15.6838,9156816
72,2021-04-10,15.6881,15.9901,14.7771,15.5080,8385542
73,2021-04-11,15.5103,15.6280,15.0000,15.1288,5625068
74,2021-04-12,15.1299,15.2621,14.1500,14.6535,7539395
75,2021-04-13,14.6524,16.9000,14.6524,15.6463,12459865
76,2021-04-14,15.6426,16.4773,15.0786,15.3081,9163824
77,2021-04-15,15.3112,17.5286,15.0241,16.8893,10565390
78,2021-04-16,16.8871,17.0856,15.5000,15.7689,10102394
79,2021-04-17,15.7702,16.3553,15.1000,15.1999,8323108
80,2021-04-18,15.2151,15.2808,10.0000,13.3933,17104508
81,2021-04-19,13.3935,16.3116,13.1160,13.8434,16335998
82,2021-04-20,13.8436,13.8752,12.5815,13.4321,9031054
83,2021-04-21,13.4310,14.4751,13.1333,13.2368,9690885
84,2021-04-22,13.2394,15.5662,12.9216,13.6032,12737694
85,2021-04-23,13.6032,14.3662,12.6841,14.1069,12019270
86,2021-04-24,14.1020,16.5498,13.5678,15.5824,13176642
87,2021-04-25,15.5893,18.9200,15.5300,17.7191,21466608
88,2021-04-26,17.7191,18.0712,16.8363,17.6450,9813879
89,2021-04-27,17.6449,19.5866,17.1228,17.7027,12492064
90,2021-04-28,17.7032,17.9750,16.3667,16.8238,10546769
91,2021-04-29,16.8326,17.0011,15.8000,16.2860,9850227
92,2021-04-30,16.2850,16.9910,15.7763,16.7140,5633364
93,2021-05-01,16.7150,16.8570,16.2070,16.5830,4383483
94,2021-05-02,16.5830,17.6500,16.4000,17.1670,7884297
95,2021-05-03,17.1660,19.2750,17.0630,17.2740,12940066
96,2021-05-04,17.2800,17.5280,15.6670,16.2900,10102378
97,2021-05-05,16.2970,17.5750,16.2370,17.0410,6943850
98,2021-05-06,17.0410,17.4690,16.3680,16.7840,7892468
99,2021-05-07,16.7830,17.0200,16.4400,16.5740,5557923
100,2021-05-08,16.5740,17.2060,16.5280,17.0330,5050572
101,2021-05-09,17.0230,17.5400,16.6500,17.0320,6184756
102,2021-05-10,17.0310,18.2690,15.1580,15.8410,9226516
103,2021-05-11,15.8420,16.4560,15.2230,16.3360,5274592
104,2021-05-12,16.3360,17.9620,14.3210,14.6880,11244244
105,2021-05-13,14.6440,17.0070,13.3200,15.9280,13337807
106,2021-05-14,15.9320,16.9860,15.1760,16.4090,6984133
107,2021-05-15,16.4180,16.6520,15.1240,15.2290,6212747
108,2021-05-16,15.2170,17.4440,15.1650,16.1870,10051642
