,time,open,high,low,close,volume
0,2020-12-07,0.01954,0.01961,0.01887,0.01920,66629200
1,2020-12-08,0.01918,0.01920,0.01735,0.01762,127370886
2,2020-12-09,0.01764,0.01818,0.01651,0.01809,130041462
3,2020-12-10,0.01806,0.01820,0.01718,0.01769,98598761
4,2020-12-11,0.01770,0.01795,0.01698,0.01747,114681283
5,2020-12-12,0.01748,0.01809,0.01738,0.01785,72943003
6,2020-12-13,0.01787,0.01845,0.01780,0.01819,86065709
7,2020-12-14,0.01820,0.01863,0.01794,0.01841,95869173
8,2020-12-15,0.01842,0.01988,0.01831,0.01948,308061849
9,2020-12-16,0.01949,0.01995,0.01875,0.01958,208026419
10,2020-12-17,0.01956,0.01990,0.01843,0.01898,307620518
11,2020-12-18,0.01901,0.02087,0.01865,0.02057,264716490
12,2020-12-19,0.02057,0.02088,0.01969,0.01992,202053732
13,2020-12-20,0.01991,0.02019,0.01865,0.01922,185985172
14,2020-12-21,0.01922,0.01972,0.01785,0.01809,209334694
15,2020-12-22,0.01810,0.01877,0.01736,0.01860,126344163
16,2020-12-23,0.01859,0.01874,0.01440,0.01526,237781913
17,2020-12-24,0.01524,0.01658,0.01471,0.01646,256320615
18,2020-12-25,0.01645,0.01717,0.01500,0.01661,267913443
19,2020-12-26,0.01664,0.01981,0.01623,0.01931,423944524
20,2020-12-27,0.01932,0.02011,0.01768,0.01831,494046726
21,2020-12-28,0.01832,0.01970,0.01806,0.01891,262438888
22,2020-12-29,0.01891,0.01917,0.01775,0.01848,190999979
23,2020-12-30,0.01848,0.01905,0.01785,0.01808,141243209
24,2020-12-31,0.01809,0.01815,0.01687,0.01763,163079872
25,2021-01-01,0.01764,0.01883,0.01730,0.01780,196676144
26,2021-01-02,0.01779,0.01969,0.01718,0.01908,355570363
27,2021-01-03,0.01908,0.02070,0.01881,0.02004,411198574
28,2021-01-04,0.02005,0.02504,0.01964,0.02468,1014825933
29,2021-01-05,0.02472,0.02724,0.02345,0.02441,1210345912
30,2021-01-06,0.02443,0.03710,0.02386,0.03558,1818361926
31,2021-01-07,0.03560,0.04005,0.03071,0.03309,1129952879
32,2021-01-08,0.03306,0.03525,0.02744,0.03164,733176703
33,2021-01-09,0.03165,0.03492,0.03083,0.03347,334072476
34,2021-01-10,0.03348,0.03477,0.02755,0.03030,498101392
35,2021-01-11,0.03032,0.03044,0.02279,0.02595,469257098
36,2021-01-12,0.02595,0.02832,0.02502,0.02613,233816087
37,2021-01-13,0.02613,0.03069,0.02477,0.02996,310908806
38,2021-01-14,0.02999,0.03301,0.02908,0.03296,327682648
39,2021-01-15,0.03292,0.03574,0.02914,0.03417,427212522
40,2021-01-16,0.03411,0.03650,0.03169,0.03284,437008764
41,2021-01-17,0.03283,0.03495,0.03059,0.03417,276345984
42,2021-01-18,0.03419,0.03789,0.03350,0.03629,342892580
43,2021-01-19,0.03630,0.03640,0.03191,0.03233,270858543
44,2021-01-20,0.03236,0.03494,0.03012,0.03444,287613481
45,2021-01-21,0.03446,0.03515,0.02806,0.02870,336450262
46,2021-01-22,0.02871,0.03300,0.02617,0.03121,282337051
47,2021-01-23,0.03120,0.03530,0.03064,0.03410,441615095
48,2021-01-24,0.03410,0.03531,0.03229,0.03317,279960678
49,2021-01-25,0.03319,0.03704,0.03278,0.03282,356785971
50,2021-01-26,0.03279,0.04478,0.03185,0.04342,1823400809
51,2021-01-27,0.04342,0.04822,0.03760,0.04186,1255693015
52,2021-01-28,0.04189,0.04475,0.03838,0.03867,587305880
