,time,open,high,low,close,volume
0,2020-12-07,530.03,531.09,510.81,519.04,65102.167
1,2020-12-08,519.27,525.69,491.15,502.84,54984.558
2,2020-12-09,502.93,508.49,473.12,506.21,60619.512
3,2020-12-10,505.80,530.46,490.74,522.25,64038.741
4,2020-12-11,522.20,522.84,501.00,503.21,59369.056
5,2020-12-12,503.18,526.25,502.54,514.46,46494.727
6,2020-12-13,514.39,533.00,511.62,526.15,34766.095
7,2020-12-14,526.18,540.00,519.90,539.50,33522.449
8,2020-12-15,539.66,545.21,525.36,529.38,31468.598
9,2020-12-16,529.63,540.85,514.25,540.43,42628.334
10,2020-12-17,540.20,565.75,531.51,539.85,52592.857
11,2020-12-18,539.80,579.16,531.93,569.35,52631.492
12,2020-12-19,569.08,581.85,562.80,566.76,37528.582
13,2020-12-20,566.87,571.26,540.14,546.17,33397.760
14,2020-12-21,546.06,554.40,511.17,523.85,39652.995
15,2020-12-22,523.84,550.66,517.00,549.41,50136.723
16,2020-12-23,549.15,553.24,482.31,516.69,55458.436
17,2020-12-24,516.72,528.75,494.52,526.99,53698.371
18,2020-12-25,527.13,573.17,518.89,536.29,55705.505
19,2020-12-26,536.06,552.44,522.28,546.40,46273.220
20,2020-12-27,546.43,579.43,531.39,570.67,61582.938
21,2020-12-28,570.80,601.33,561.32,586.54,60736.568
22,2020-12-29,586.79,596.46,545.67,565.79,56646.789
23,2020-12-30,565.70,585.82,551.71,576.51,49149.224
24,2020-12-31,576.48,591.15,559.37,586.59,40751.535
25,2021-01-01,586.25,603.10,572.30,581.67,47693.285
26,2021-01-02,581.53,618.00,568.55,611.01,53062.645
27,2021-01-03,611.40,701.14,609.40,678.98,83040.191
28,2021-01-04,678.98,754.29,631.00,690.47,83047.733
29,2021-01-05,690.63,779.95,654.31,766.77,81527.909
30,2021-01-06,766.62,1241.77,746.24,1040.98,137310.581
31,2021-01-07,1040.90,1196.00,987.25,1059.03,107494.715
32,2021-01-08,1059.32,1134.03,947.60,1039.71,93480.134
33,2021-01-09,1038.69,1599.00,1026.26,1591.59,119698.614
34,2021-01-10,1591.14,1971.17,1425.00,1487.07,152722.514
35,2021-01-11,1487.07,1499.00,1081.00,1401.87,123885.815
36,2021-01-12,1398.84,1630.07,1315.71,1490.49,111551.237
37,2021-01-13,1490.05,1582.75,1384.40,1552.03,92172.864
38,2021-01-14,1551.84,1712.00,1479.46,1606.12,88953.084
39,2021-01-15,1607.73,1645.96,1339.23,1472.56,91388.280
40,2021-01-16,1472.93,1625.02,1452.09,1484.43,81678.852
41,2021-01-17,1485.14,1515.71,1421.46,1448.71,74892.531
42,2021-01-18,1448.41,1464.84,1369.25,1424.06,70573.669
43,2021-01-19,1424.98,1539.69,1395.79,1408.81,75484.330
44,2021-01-20,1407.46,1444.89,1265.60,1416.70,79138.980
