,time,open,high,low,close,volume
0,2020-12-07,17.896,17.937,17.245,17.466,394594.01
1,2020-12-08,17.466,17.544,16.063,16.460,697284.35
2,2020-12-09,16.457,17.033,15.697,16.894,615585.96
3,2020-12-10,16.892,16.966,16.010,16.244,419739.45
4,2020-12-11,16.248,16.327,15.501,15.897,564664.39
5,2020-12-12,15.903,16.644,15.859,16.470,359219.90
6,2020-12-13,16.467,17.711,16.367,17.280,708796.39
7,2020-12-14,17.277,17.630,16.960,17.399,417313.21
8,2020-12-15,17.400,17.558,16.726,17.108,505313.87
9,2020-12-16,17.109,18.000,16.651,17.980,784717.02
10,2020-12-17,17.980,18.814,17.425,17.777,1483607.97
11,2020-12-18,17.785,18.362,17.376,17.943,680705.83
12,2020-12-19,17.937,18.485,17.631,17.855,692062.82
13,2020-12-20,17.858,18.546,16.938,17.554,1385037.88
14,2020-12-21,17.553,17.865,16.111,16.540,1268633.73
15,2020-12-22,16.544,16.943,15.764,16.536,832270.72
16,2020-12-23,16.536,16.657,12.030,13.449,1840618.20
17,2020-12-24,13.448,15.296,13.067,15.248,1141898.20
18,2020-12-25,15.245,15.879,14.592,15.154,809484.99
19,2020-12-26,15.163,15.449,14.211,14.963,897198.17
20,2020-12-27,14.957,15.940,14.069,15.122,1260090.16
21,2020-12-28,15.114,16.265,14.969,15.619,1168085.04
22,2020-12-29,15.626,15.937,14.401,15.062,945631.46
23,2020-12-30,15.059,15.218,14.485,14.719,517279.92
24,2020-12-31,14.719,14.737,13.900,14.248,537320.30
25,2021-01-01,14.249,14.871,14.100,14.458,554171.18
26,2021-01-02,14.451,14.754,14.085,14.424,839657.13
27,2021-01-03,14.430,16.387,14.005,16.049,2089187.79
28,2021-01-04,16.049,17.852,14.613,16.374,2932345.20
29,2021-01-05,16.369,17.300,15.419,16.875,1955456.17
30,2021-01-06,16.871,20.333,16.530,19.589,3145297.33
31,2021-01-07,19.602,22.936,18.713,20.967,4458320.63
32,2021-01-08,20.976,21.439,18.555,19.796,2625742.50
33,2021-01-09,19.793,21.727,19.013,21.375,1962957.45
34,2021-01-10,21.372,26.681,20.225,24.937,5001192.32
35,2021-01-11,24.940,26.677,20.241,23.690,7486029.43
36,2021-01-12,23.697,24.769,21.504,22.160,2638454.64
37,2021-01-13,22.156,23.900,20.736,23.240,2051592.55
38,2021-01-14,23.251,24.048,22.126,23.151,1636169.63
39,2021-01-15,23.160,25.620,21.379,23.461,3367268.54
40,2021-01-16,23.452,24.651,22.850,23.628,1681799.11
41,2021-01-17,23.621,24.739,22.220,23.864,1490070.86
42,2021-01-18,23.868,28.388,23.111,27.170,3586218.14
43,2021-01-19,27.162,28.925,26.270,26.270,2390917.65
44,2021-01-20,26.314,26.867,23.830,26.090,2038957.09
45,2021-01-21,26.099,26.270,21.941,22.124,2113724.75
46,2021-01-22,22.111,24.500,20.799,23.434,1656325.24
47,2021-01-23,23.427,25.429,23.019,24.459,1721441.62
48,2021-01-24,24.457,25.658,23.637,24.465,1146423.91
49,2021-01-25,24.475,25.304,23.118,23.305,920398.06
50,2021-01-26,23.306,23.810,22.300,23.184,846367.94
51,2021-01-27,23.180,23.219,20.315,21.040,1084639.44
52,2021-01-28,21.040,22.900,20.647,22.248,809404.50
53,2021-01-29,22.248,24.000,21.853,22.590,1426894.31
54,2021-01-30,22.607,22.942,21.829,22.927,675371.76
55,2021-01-31,22.912,23.492,21.582,22.333,1062754.05
56,2021-02-01,22.337,23.646,21.811,23.135,1502474.31
57,2021-02-02,23.138,23.900,22.467,23.761,1038146.29
58,2021-02-03,23.764,25.275,23.580,24.763,1403738.68
59,2021-02-04,24.760,25.231,22.990,23.789,1245976.23
