,time,open,high,low,close,volume
0,2021-04-01,2.0000,2.0000,1.7341,1.7901,5622318
1,2021-04-02,1.7905,2.0525,1.7568,1.8447,8667178
2,2021-04-03,1.8447,1.8986,1.6610,1.6680,8029302
3,2021-04-04,1.6680,1.9983,1.6500,1.9688,9330381
4,2021-04-05,1.9684,2.8464,1.8350,2.5222,21791244
5,2021-04-06,2.5222,3.2141,2.3200,2.3230,56108611
6,2021-04-07,2.3218,3.2003,2.0174,2.9330,61593562
7,2021-04-08,2.9240,3.4000,2.9048,3.0909,56018917
8,2021-04-09,3.0916,3.2682,2.8430,2.9533,33847100
9,2021-04-10,2.9517,2.9673,2.5558,2.6321,20169271
10,2021-04-11,2.6330,2.8171,2.5029,2.5685,14937048
11,2021-04-12,2.5694,2.6569,2.3111,2.4188,18389434
12,2021-04-13,2.4188,2.8183,2.3800,2.4296,33956460
13,2021-04-14,2.4313,2.4531,2.0917,2.3695,25101971
14,2021-04-15,2.3714,2.5840,2.3211,2.4110,18849781
15,2021-04-16,2.4116,2.4331,2.1100,2.2740,17181726
16,2021-04-17,2.2767,2.3929,2.2310,2.2876,11608913
17,2021-04-18,2.2869,2.3320,1.2010,1.9547,36634047
18,2021-04-19,1.9560,2.0952,1.6221,1.6565,20942289
19,2021-04-20,1.6573,1.7685,1.4826,1.6809,21112267
20,2021-04-21,1.6811,2.2066,1.6767,1.9278,45677139
21,2021-04-22,1.9290,2.1885,1.5870,1.6432,42552678
22,2021-04-23,1.6437,1.7198,1.3311,1.6707,30844084
23,2021-04-24,1.6710,1.6784,1.4482,1.4626,13264874
24,2021-04-25,1.4627,1.6480,1.4050,1.5123,11020054
25,2021-04-26,1.5112,1.9100,1.4890,1.7095,18401346
26,2021-04-27,1.7113,2.0600,1.6762,1.9509,19181534
27,2021-04-28,1.9511,2.0333,1.7688,1.8801,14192614
28,2021-04-29,1.8815,1.9503,1.7278,1.8050,15040315
29,2021-04-30,1.8047,1.9032,1.7417,1.8629,12733764
30,2021-05-01,1.8646,1.9236,1.7818,1.8767,15446082
31,2021-05-02,1.8763,1.8818,1.7266,1.8009,12181103
32,2021-05-03,1.8012,1.9500,1.7936,1.8648,25793132
33,2021-05-04,1.8648,1.8690,1.5353,1.5691,27488699
34,2021-05-05,1.5682,1.8352,1.5504,1.7089,33301266
35,2021-05-06,1.7104,1.7325,1.5516,1.5903,23103990
36,2021-05-07,1.5903,1.6528,1.5020,1.5772,20495696
37,2021-05-08,1.5769,1.6568,1.5400,1.5760,11523191
38,2021-05-09,1.5761,1.6500,1.4602,1.5614,20870345
39,2021-05-10,1.5626,1.6304,1.2230,1.3527,28207340
40,2021-05-11,1.3527,1.4743,1.3093,1.4337,15952905
41,2021-05-12,1.4347,1.6770,1.1687,1.2086,39874607
42,2021-05-13,1.2086,1.3605,1.1034,1.2725,29798945
43,2021-05-14,1.2726,1.4700,1.2665,1.3815,31063001
44,2021-05-15,1.3820,1.3976,1.2235,1.2536,20939992
45,2021-05-16,1.2529,1.3514,1.1113,1.2011,20324556
46,2021-05-17,1.2010,1.2033,1.0262,1.1165,29899579
47,2021-05-18,1.1164,1.2390,1.1052,1.1308,22284793
48,2021-05-19,1.1309,1.1625,0.3504,0.7051,64186157
49,2021-05-20,0.7055,0.8729,0.6347,0.8005,37520877
50,2021-05-21,0.8005,0.9750,0.6049,0.7041,38602863
51,2021-05-22,0.7039,0.7472,0.6126,0.6821,36259260
52,2021-05-23,0.6822,0.7345,0.4541,0.5670,38602844
53,2021-05-24,0.5671,0.6953,0.5474,0.6845,35027163
54,2021-05-25,0.6848,1.0970,0.6377,1.0644,85656398
55,2021-05-26,1.0644,1.4332,1.0208,1.1998,287739906
56,2021-05-27,1.2000,1.3321,1.0355,1.1109,113700525
57,2021-05-28,1.1110,1.1249,0.9038,0.9398,72325556
58,2021-05-29,0.9404,1.0596,0.8075,0.9009,49534385
59,2021-05-30,0.9012,1.1815,0.8219,1.1333,97307574
60,2021-05-31,1.1337,1.1659,1.0160,1.0859,74980998
61,2021-06-01,1.0857,1.1897,1.0459,1.0543,44227350
62,2021-06-02,1.0543,1.1199,1.0177,1.0429,30487856
63,2021-06-03,1.0433,1.1090,1.0300,1.0734,27055031
64,2021-06-04,1.0739,1.0785,0.8900,0.9434,31617652
65,2021-06-05,0.9434,0.9990,0.8536,0.9257,29062160
66,2021-06-06,0.9260,0.9642,0.9082,0.9469,18719265
67,2021-06-07,0.9467,0.9936,0.8234,0.8404,24261017
68,2021-06-08,0.8405,0.8792,0.7494,0.8232,39270102
69,2021-06-09,0.8232,0.8663,0.7676,0.8577,28818731
70,2021-06-10,0.8578,0.8625,0.7462,0.7696,25856704
71,2021-06-11,0.7694,0.9105,0.7308,0.7702,60664524
72,2021-06-12,0.7696,0.7704,0.6799,0.7236,36435785
73,2021-06-13,0.7230,0.7908,0.6954,0.7747,24175150
74,2021-06-14,0.7746,0.9463,0.7599,0.9197,101670782
75,2021-06-15,0.9203,0.9892,0.8912,0.9823,62915883
76,2021-06-16,0.9830,1.0800,0.8950,0.9162,92599073
77,2021-06-17,0.9163,0.9900,0.8629,0.8930,41418504
78,2021-06-18,0.8930,0.8948,0.7608,0.8224,46974994
79,2021-06-19,0.8225,0.9036,0.7835,0.8191,79556188
80,2021-06-20,0.8195,0.8997,0.7600,0.8661,65090176
81,2021-06-21,0.8659,0.9030,0.6684,0.6688,95734853
82,2021-06-22,0.6691,0.7358,0.5385,0.6163,67414638
83,2021-06-23,0.6162,0.7257,0.5900,0.6715,49422590
84,2021-06-24,0.6724,0.7402,0.6657,0.6868,58049073
85,2021-06-25,0.6870,0.6996,0.6086,0.6112,45004695
86,2021-06-26,0.6112,0.6362,0.5657,0.6214,36063583
87,2021-06-27,0.6209,0.6955,0.5840,0.6819,29149589
88,2021-06-28,0.6825,0.7112,0.6574,0.6700,37815486
89,2021-06-29,0.6700,0.7321,0.6655,0.6860,29065725
90,2021-06-30,0.6861,0.7003,0.6271,0.6886,23678746
91,2021-07-01,0.6890,0.7083,0.6342,0.6478,21778146
92,2021-07-02,0.6477,0.6616,0.6110,0.6440,13966368
93,2021-07-03,0.6440,0.6741,0.6256,0.6561,15350188
94,2021-07-04,0.6561,0.6966,0.6343,0.6727,24854186
95,2021-07-05,0.6722,0.6763,0.6214,0.6362,19819865
96,2021-07-06,0.6363,0.6820,0.6351,0.6641,27715771
97,2021-07-07,0.6641,0.8081,0.6569,0.7321,73827043
98,2021-07-08,0.7320,0.7970,0.6365,0.6578,93076305
99,2021-07-09,0.6579,0.6869,0.6112,0.6749,51381732
100,2021-07-10,0.6750,0.7957,0.6577,0.7919,96880776
101,2021-07-11,0.7923,0.7957,0.7338,0.7618,95001979
102,2021-07-12,0.7613,0.7671,0.6814,0.7052,51086208
103,2021-07-13,0.7047,0.7421,0.6717,0.7404,55105775
104,2021-07-14,0.7409,0.8500,0.6654,0.8179,129349437
105,2021-07-15,0.8180,0.9578,0.7943,0.9368,187238222
106,2021-07-16,0.9370,0.9400,0.7379,0.7394,89308470
107,2021-07-17,0.7395,0.7796,0.7018,0.7178,67014734
108,2021-07-18,0.7177,0.7660,0.6929,0.7073,40585568
109,2021-07-19,0.7074,0.7119,0.6359,0.6530,40483438
110,2021-07-20,0.6524,0.6651,0.5604,0.5907,51468197
111,2021-07-21,0.5908,0.6835,0.5691,0.6596,46864069
112,2021-07-22,0.6597,0.7178,0.6404,0.6792,41900525
113,2021-07-23,0.6793,0.7695,0.6660,0.7518,61416989
