,time,open,high,low,close,volume
0,2020-12-07,3.7053,3.7450,3.5365,3.5839,3148380.1
1,2020-12-08,3.5839,3.6071,3.1574,3.2378,4010826.1
2,2020-12-09,3.2363,3.3257,3.0076,3.2842,3715257.9
3,2020-12-10,3.2841,3.3138,3.0613,3.1481,1961164.2
4,2020-12-11,3.1493,3.2915,2.9600,2.9955,5548684.2
5,2020-12-12,2.9924,3.2320,2.9839,3.1868,3040729.0
6,2020-12-13,3.1869,3.3600,3.1127,3.2797,3381634.8
7,2020-12-14,3.2789,3.2905,3.1538,3.2390,2725474.4
8,2020-12-15,3.2389,3.3150,3.1345,3.1575,3019834.0
9,2020-12-16,3.1573,3.3575,3.0770,3.3560,4966997.1
10,2020-12-17,3.3558,3.5038,3.1507,3.2405,9862662.1
11,2020-12-18,3.2397,3.3393,3.1690,3.2469,5741892.0
12,2020-12-19,3.2470,3.4067,3.2393,3.2631,5647047.0
13,2020-12-20,3.2639,3.3281,3.1110,3.1713,5230666.4
14,2020-12-21,3.1710,3.2876,2.9210,2.9584,6622187.5
15,2020-12-22,2.9581,3.0388,2.8243,3.0057,5054125.4
16,2020-12-23,3.0057,3.0269,1.9465,2.3315,11470667.5
17,2020-12-24,2.3332,2.5971,2.2533,2.5887,7984417.3
18,2020-12-25,2.5873,2.7668,2.5319,2.5889,6349859.4
19,2020-12-26,2.5908,2.6395,2.4924,2.5392,3740256.3
20,2020-12-27,2.5383,2.8463,2.4053,2.6382,7445363.2
21,2020-12-28,2.6385,2.7950,2.5813,2.6562,5979069.8
22,2020-12-29,2.6578,2.7258,2.4200,2.5637,4936791.3
23,2020-12-30,2.5639,2.5861,2.4311,2.4598,2627159.9
24,2020-12-31,2.4604,2.5674,2.3482,2.4745,4499892.5
25,2021-01-01,2.4737,2.7686,2.4401,2.5443,7933456.0
26,2021-01-02,2.5449,2.7289,2.4580,2.5412,8031353.1
27,2021-01-03,2.5412,3.0642,2.4884,3.0497,13496100.5
28,2021-01-04,3.0534,3.4785,2.6896,3.2986,33590679.0
29,2021-01-05,3.2999,3.7666,3.1451,3.5171,29010188.0
30,2021-01-06,3.5189,3.9500,3.3500,3.7139,14652483.0
31,2021-01-07,3.7138,3.9500,3.3950,3.5159,14576671.1
32,2021-01-08,3.5169,3.5893,3.0902,3.4088,10515778.1
33,2021-01-09,3.4086,3.8485,3.3036,3.7132,9714862.1
34,2021-01-10,3.7151,4.1620,3.2356,3.6609,17102389.7
35,2021-01-11,3.6616,3.6782,2.5931,3.0894,16374654.9
36,2021-01-12,3.0932,3.2803,2.8850,2.9916,7574973.4
37,2021-01-13,2.9934,3.2896,2.8916,3.2527,5916572.1
38,2021-01-14,3.2530,3.3887,3.1011,3.2515,8719975.7
39,2021-01-15,3.2509,3.8990,3.2188,3.6090,19123783.4
40,2021-01-16,3.6074,3.8949,3.4614,3.5540,15260971.7
41,2021-01-17,3.5520,3.8053,3.3392,3.7267,11593336.6
42,2021-01-18,3.7267,4.4507,3.6524,4.2243,26149999.9
43,2021-01-19,4.2280,4.3515,3.8128,3.8620,11768122.3
44,2021-01-20,3.8585,4.0391,3.4802,3.8413,9364231.7
45,2021-01-21,3.8407,3.8605,3.1846,3.2066,9608647.5
46,2021-01-22,3.2056,3.5152,2.9503,3.3569,7155425.4
47,2021-01-23,3.3565,3.7646,3.3035,3.6326,10556091.0
48,2021-01-24,3.6341,3.8805,3.4505,3.5937,9665843.3
49,2021-01-25,3.5930,3.8500,3.5000,3.5483,13420870.4
50,2021-01-26,3.5467,3.6784,3.2544,3.4435,6884965.1
51,2021-01-27,3.4429,3.4534,3.0663,3.1216,5667483.9
52,2021-01-28,3.1233,3.4074,3.0543,3.3088,5798223.5
53,2021-01-29,3.3087,3.8516,3.3000,3.5086,17467480.9
54,2021-01-30,3.5106,3.6127,3.3356,3.4904,6099481.0
55,2021-01-31,3.4894,3.7935,3.4220,3.5342,10497975.4
56,2021-02-01,3.5317,4.3800,3.3898,4.1858,30750463.1
57,2021-02-02,4.1837,4.1867,3.8200,3.9689,13613342.0
58,2021-02-03,3.9681,4.8432,3.8852,4.6399,25852294.3
59,2021-02-04,4.6399,4.6912,4.1230,4.4530,15960055.3
60,2021-02-05,4.4550,5.5199,4.4140,5.1703,24569569.5
61,2021-02-06,5.1731,5.4214,4.6400,4.9099,16292248.0
62,2021-02-07,4.9114,5.0476,4.2660,4.6359,13348918.2
63,2021-02-08,4.6352,4.9634,4.4929,4.8868,13523612.7
64,2021-02-09,4.8873,5.2855,4.6547,5.1351,15310421.5
65,2021-02-10,5.1366,5.9878,4.8200,5.5912,24976210.0
66,2021-02-11,5.5855,6.2510,5.2744,5.9690,20142934.0
67,2021-02-12,5.9705,6.3457,5.6500,6.1580,15819164.2
68,2021-02-13,6.1588,8.0000,6.1588,7.7248,34719629.8
69,2021-02-14,7.7254,7.8600,6.4931,6.7045,19249728.3
70,2021-02-15,6.7111,6.9521,5.4281,6.1897,16699394.1
71,2021-02-16,6.1884,6.5700,5.9100,6.1766,10107991.0
72,2021-02-17,6.1800,6.4402,5.7180,6.4067,9045429.6
73,2021-02-18,6.4052,6.6970,6.2879,6.5474,8014712.6
74,2021-02-19,6.5464,6.7822,6.2171,6.5514,7708608.0
75,2021-02-20,6.5537,6.9880,5.8800,6.2231,16098943.0
76,2021-02-21,6.2237,6.5395,6.0746,6.3431,7330691.0
77,2021-02-22,6.3455,6.3647,4.5112,5.5490,15671990.2
78,2021-02-23,5.5519,5.5994,3.7195,4.6807,20948886.2
79,2021-02-24,4.6782,5.1419,4.3794,4.7214,9916197.3
80,2021-02-25,4.7256,5.0886,4.4913,4.5339,6323776.9
81,2021-02-26,4.5370,4.6808,4.1056,4.4385,6880933.9
82,2021-02-27,4.4346,4.7225,4.3794,4.4776,4883577.7
83,2021-02-28,4.4753,4.5470,3.9322,4.2692,5754930.4
84,2021-03-01,4.2661,4.6789,4.2047,4.6109,5359281.6
85,2021-03-02,4.6122,4.9343,4.4391,4.6642,7561678.4
86,2021-03-03,4.6638,5.0000,4.6070,4.8361,5206127.6
87,2021-03-04,4.8386,4.9771,4.5204,4.6617,5467801.4
88,2021-03-05,4.6604,4.6794,4.3120,4.6169,4082504.8
89,2021-03-06,4.6126,5.2564,4.5110,5.0632,8768394.8
90,2021-03-07,5.0623,5.2447,4.8974,5.1357,6446506.7
91,2021-03-08,5.1361,5.2485,4.9090,5.1862,5185452.1
92,2021-03-09,5.1835,5.5409,5.0932,5.4257,7303712.5
93,2021-03-10,5.4292,5.4587,4.9697,5.0632,6254421.1
94,2021-03-11,5.0643,5.2415,4.7827,5.2353,6611042.7
95,2021-03-12,5.2342,5.4889,4.9154,5.1265,9972532.7
96,2021-03-13,5.1254,5.3994,4.8460,5.3318,7578903.2
97,2021-03-14,5.3338,5.4385,5.0701,5.0717,5057746.2
98,2021-03-15,5.0737,5.3380,4.8150,5.0259,7624301.4
99,2021-03-16,5.0267,5.2082,4.7779,5.1945,5466469.3
100,2021-03-17,5.1943,5.6425,5.0511,5.6066,8900984.6
101,2021-03-18,5.6080,6.2133,5.5265,6.0896,11731195.7
102,2021-03-19,6.0883,6.3695,5.8501,5.9244,8809845.5
103,2021-03-20,5.9244,6.0662,5.6448,5.6845,5683843.8
104,2021-03-21,5.6834,5.7469,5.3800,5.5831,5112830.9
105,2021-03-22,5.5832,5.8722,5.2425,5.2761,7540796.8
106,2021-03-23,5.2794,5.8046,5.1600,5.7502,7152921.4
107,2021-03-24,5.7481,5.9318,4.9200,5.0944,9871523.3
108,2021-03-25,5.0928,5.1411,4.6958,4.9506,8776030.5
109,2021-03-26,4.9506,5.3260,4.9457,5.3073,5458579.3
110,2021-03-27,5.3071,5.4699,5.1804,5.3248,4761067.2
111,2021-03-28,5.3267,6.2166,5.2611,5.8868,12864409.6
112,2021-03-29,5.8868,7.1838,5.8514,6.7969,19299067.5
113,2021-03-30,6.7959,7.3620,6.5837,6.6222,14540199.5
114,2021-03-31,6.6226,8.4062,6.4656,7.9125,26269274.6
115,2021-04-01,7.9162,8.1104,7.3355,7.3975,12338741.0
116,2021-04-02,7.3965,7.7127,7.1003,7.5462,9817618.6
117,2021-04-03,7.5443,7.5653,6.7205,6.7612,9100183.0
118,2021-04-04,6.7613,8.0323,6.6166,7.8554,10115266.1
119,2021-04-05,7.8554,8.8000,7.8554,8.7282,17624211.9
120,2021-04-06,8.7282,9.6401,8.2135,9.3298,18458335.7
121,2021-04-07,9.3300,11.2872,8.6496,9.9590,42345798.0
