,time,open,high,low,close,volume
0,2020-12-07,0.5563,0.5590,0.5368,0.5457,6270437.0
1,2020-12-08,0.5456,0.5505,0.4986,0.5063,10680068.1
2,2020-12-09,0.5064,0.5094,0.4750,0.5061,11688521.6
3,2020-12-10,0.5062,0.5091,0.4846,0.4948,6887064.7
4,2020-12-11,0.4954,0.4970,0.4702,0.4798,11764017.5
5,2020-12-12,0.4798,0.5063,0.4783,0.5008,8967870.8
6,2020-12-13,0.5008,0.5335,0.4981,0.5188,12104304.5
7,2020-12-14,0.5185,0.5187,0.4983,0.5154,8914691.1
8,2020-12-15,0.5154,0.5192,0.4994,0.5116,8939725.9
9,2020-12-16,0.5117,0.5403,0.5030,0.5400,14393539.8
10,2020-12-17,0.5400,0.5647,0.5276,0.5344,24621962.2
11,2020-12-18,0.5350,0.5776,0.5225,0.5705,21117897.2
12,2020-12-19,0.5707,0.5905,0.5607,0.5652,14524479.1
13,2020-12-20,0.5652,0.5782,0.5409,0.5508,14244605.2
14,2020-12-21,0.5507,0.5697,0.5136,0.5202,16448823.3
15,2020-12-22,0.5197,0.5282,0.4916,0.5214,15274390.0
16,2020-12-23,0.5214,0.5259,0.3391,0.4085,40646069.4
17,2020-12-24,0.4083,0.4619,0.3953,0.4601,26900168.6
18,2020-12-25,0.4602,0.4760,0.4400,0.4526,21260813.1
19,2020-12-26,0.4524,0.4631,0.4358,0.4547,15865844.9
20,2020-12-27,0.4544,0.4759,0.4300,0.4502,26647070.0
21,2020-12-28,0.4499,0.4825,0.4463,0.4646,23616798.0
22,2020-12-29,0.4646,0.4742,0.4283,0.4551,19004217.5
23,2020-12-30,0.4552,0.4718,0.4351,0.4453,14927990.3
24,2020-12-31,0.4455,0.4487,0.4265,0.4420,9571474.4
25,2021-01-01,0.4421,0.4670,0.4371,0.4499,16990066.4
26,2021-01-02,0.4500,0.4913,0.4424,0.4658,38403713.7
27,2021-01-03,0.4661,0.5103,0.4585,0.5047,32212786.9
28,2021-01-04,0.5047,0.5462,0.4474,0.4952,49964127.1
29,2021-01-05,0.4955,0.5153,0.4649,0.5094,30887632.7
30,2021-01-06,0.5098,0.5857,0.4989,0.5826,44298459.4
31,2021-01-07,0.5827,0.6151,0.5300,0.5600,51658045.8
32,2021-01-08,0.5599,0.5823,0.5112,0.5578,34806192.8
33,2021-01-09,0.5578,0.6492,0.5396,0.6365,55451321.6
34,2021-01-10,0.6367,0.6851,0.5501,0.6556,67115744.8
35,2021-01-11,0.6555,0.6593,0.4888,0.5490,78868725.7
36,2021-01-12,0.5489,0.5731,0.5227,0.5346,26943100.6
37,2021-01-13,0.5349,0.5828,0.5213,0.5766,21869823.3
38,2021-01-14,0.5765,0.5955,0.5494,0.5826,24030169.6
39,2021-01-15,0.5827,0.6600,0.5718,0.6364,48878072.6
40,2021-01-16,0.6362,0.6976,0.6280,0.6552,51798616.9
41,2021-01-17,0.6549,0.6865,0.6107,0.6738,30065805.5
42,2021-01-18,0.6736,0.7318,0.6351,0.7146,40563612.4
43,2021-01-19,0.7141,0.7166,0.6562,0.6616,29808177.2
44,2021-01-20,0.6616,0.6709,0.5914,0.6365,30079241.9
45,2021-01-21,0.6370,0.6397,0.5400,0.5467,25139868.1
46,2021-01-22,0.5472,0.5936,0.5109,0.5701,34665386.4
47,2021-01-23,0.5700,0.6258,0.5637,0.6024,33243081.2
48,2021-01-24,0.6020,0.6368,0.5863,0.6113,30388137.7
49,2021-01-25,0.6114,0.6281,0.5900,0.5912,28077978.6
50,2021-01-26,0.5905,0.6079,0.5627,0.5807,20216096.3
51,2021-01-27,0.5805,0.5813,0.5218,0.5362,20837491.0
52,2021-01-28,0.5366,0.5726,0.5292,0.5604,17364264.5
53,2021-01-29,0.5604,0.6430,0.5510,0.5786,52486643.6
54,2021-01-30,0.5786,0.6050,0.5653,0.5898,22236566.0
55,2021-01-31,0.5900,0.6081,0.5600,0.5800,26545604.3
56,2021-02-01,0.5798,0.6004,0.5625,0.5912,23100823.4
57,2021-02-02,0.5912,0.6313,0.5810,0.6221,42130687.9
58,2021-02-03,0.6227,0.6420,0.6024,0.6326,32438930.4
59,2021-02-04,0.6328,0.6382,0.5826,0.6072,33900803.2
60,2021-02-05,0.6070,0.6840,0.6022,0.6744,50710859.7
61,2021-02-06,0.6743,0.6900,0.6345,0.6629,44305931.5
62,2021-02-07,0.6630,0.6981,0.6200,0.6955,51551257.7
63,2021-02-08,0.6952,0.8035,0.6631,0.7725,100453808.0
64,2021-02-09,0.7723,0.8553,0.7566,0.8451,68169715.7
65,2021-02-10,0.8447,0.9837,0.7531,0.9102,124514136.9
66,2021-02-11,0.9106,1.1039,0.8808,1.0398,95071632.6
67,2021-02-12,1.0399,1.1733,1.0200,1.0931,70880542.2
68,2021-02-13,1.0939,1.3617,1.0938,1.2978,105494662.7
69,2021-02-14,1.2977,1.3781,1.1226,1.1664,82348226.0
70,2021-02-15,1.1672,1.2837,0.8700,1.1586,110622367.9
71,2021-02-16,1.1593,1.2573,1.0734,1.1271,76888132.2
72,2021-02-17,1.1272,1.2000,1.0403,1.1601,57825645.2
73,2021-02-18,1.1605,1.2905,1.1321,1.2314,52661489.1
74,2021-02-19,1.2331,1.3124,1.1622,1.2688,67026795.1
75,2021-02-20,1.2690,1.4392,1.1100,1.2316,105987706.4
76,2021-02-21,1.2316,1.6000,1.1910,1.4169,155449509.1
77,2021-02-22,1.4174,1.4288,0.8427,1.1946,108172317.5
78,2021-02-23,1.1938,1.2055,0.8000,0.9824,123224157.9
79,2021-02-24,0.9824,1.0919,0.9222,1.0037,79991370.4
80,2021-02-25,1.0037,1.0623,0.9330,0.9401,52949269.4
81,2021-02-26,0.9395,0.9544,0.8355,0.8966,57242675.4
82,2021-02-27,0.8969,0.9767,0.8861,0.9143,44847225.6
83,2021-02-28,0.9142,0.9250,0.7801,0.8479,49595066.3
84,2021-03-01,0.8476,0.9292,0.8388,0.9175,37829664.4
85,2021-03-02,0.9177,0.9476,0.8626,0.9226,54101391.7
86,2021-03-03,0.9227,1.0467,0.9057,1.0326,64381875.0
87,2021-03-04,1.0327,1.0713,0.9315,0.9645,57249146.2
