,time,open,high,low,close,volume
0,2021-12-24,0.17220,0.17768,0.15288,0.15757,384739752
1,2021-12-25,0.15777,0.16324,0.14052,0.14668,657976685
2,2021-12-26,0.14658,0.15474,0.14115,0.14839,420743905
3,2021-12-27,0.14839,0.15734,0.14515,0.14816,568475745
4,2021-12-28,0.14816,0.14816,0.12000,0.12526,982989178
5,2021-12-29,0.12534,0.13247,0.11200,0.11350,702929917
6,2021-12-30,0.11350,0.13390,0.10443,0.12444,1240495949
7,2021-12-31,0.12444,0.13434,0.11188,0.11779,1100922524
8,2022-01-01,0.11779,0.12620,0.11779,0.12495,467555417
9,2022-01-02,0.12496,0.12556,0.11613,0.12081,366235047
10,2022-01-03,0.12075,0.14051,0.11841,0.12359,1620465562
11,2022-01-04,0.12357,0.12677,0.11700,0.11922,592470460
12,2022-01-05,0.11920,0.12200,0.08962,0.10148,1091637640
13,2022-01-06,0.10139,0.10726,0.09199,0.10189,1627966219
14,2022-01-07,0.10189,0.11150,0.09050,0.10042,2011295771
15,2022-01-08,0.10044,0.10500,0.08962,0.09451,1171680578
16,2022-01-09,0.09451,0.09912,0.08541,0.08982,1252349593
17,2022-01-10,0.08983,0.09163,0.07300,0.07703,2768480373
18,2022-01-11,0.07709,0.08065,0.07129,0.07706,2024490514
19,2022-01-12,0.07705,0.08721,0.07678,0.08199,1704952684
20,2022-01-13,0.08196,0.08800,0.07730,0.07931,1808296963
21,2022-01-14,0.07930,0.08106,0.07240,0.07897,1624261713
22,2022-01-15,0.07896,0.07975,0.07508,0.07556,969518907
23,2022-01-16,0.07557,0.08375,0.07320,0.08000,2350321640
24,2022-01-17,0.08000,0.08068,0.06455,0.06759,2280975674
25,2022-01-18,0.06758,0.06860,0.06058,0.06308,2545945251
26,2022-01-19,0.06306,0.06549,0.05650,0.05746,2683441950
27,2022-01-20,0.05746,0.06384,0.05187,0.05284,3227394743
28,2022-01-21,0.05283,0.05465,0.03844,0.04162,5052304297
29,2022-01-22,0.04161,0.04374,0.03216,0.03762,6680322961
30,2022-01-23,0.03763,0.04190,0.03394,0.03744,4219921175
31,2022-01-24,0.03743,0.03955,0.03050,0.03751,6371919732
32,2022-01-25,0.03751,0.04155,0.03652,0.04006,4204973474
33,2022-01-26,0.04004,0.04852,0.03822,0.04379,5655670491
34,2022-01-27,0.04381,0.05500,0.04150,0.05421,9492850329
35,2022-01-28,0.05422,0.05724,0.04968,0.05672,6331687161
36,2022-01-29,0.05673,0.09584,0.05443,0.09080,16608839121
37,2022-01-30,0.09081,0.09764,0.07419,0.07728,19456124472
38,2022-01-31,0.07727,0.10099,0.06976,0.09737,15761436872
39,2022-02-01,0.09736,0.10480,0.08253,0.08610,10842764939
40,2022-02-02,0.08610,0.09421,0.07556,0.07855,9788744421
41,2022-02-03,0.07854,0.08604,0.07124,0.07771,11322020801
42,2022-02-04,0.07771,0.08480,0.07530,0.07982,8568707164
43,2022-02-05,0.07980,0.11473,0.07770,0.10892,11784594125
44,2022-02-06,0.10893,0.11400,0.08845,0.09287,6988318719
45,2022-02-07,0.09295,0.09989,0.08640,0.09008,7114091118
46,2022-02-08,0.09006,0.09147,0.07678,0.07979,7023604593
47,2022-02-09,0.07978,0.08731,0.07940,0.08608,4785048264
48,2022-02-10,0.08601,0.08985,0.07172,0.07442,6410752104
49,2022-02-11,0.07440,0.07840,0.06310,0.06537,5423572504
50,2022-02-12,0.06537,0.07500,0.06131,0.06827,6643723478
