,time,open,high,low,close,volume
0,2020-12-07,2.657,2.691,2.566,2.615,1249177.9
1,2020-12-08,2.612,2.620,2.376,2.412,1743324.9
2,2020-12-09,2.412,2.508,2.292,2.493,2089804.8
3,2020-12-10,2.493,2.509,2.363,2.432,1388941.1
4,2020-12-11,2.432,2.442,2.314,2.338,1545048.7
5,2020-12-12,2.339,2.480,2.329,2.467,1184137.5
6,2020-12-13,2.466,2.612,2.451,2.559,1826253.5
7,2020-12-14,2.559,2.559,2.467,2.522,1006082.7
8,2020-12-15,2.523,2.656,2.450,2.589,2376852.6
9,2020-12-16,2.589,2.778,2.518,2.766,2436918.1
10,2020-12-17,2.766,2.851,2.655,2.692,4450054.6
11,2020-12-18,2.693,2.792,2.635,2.745,2272823.0
12,2020-12-19,2.744,2.952,2.727,2.817,3933246.0
13,2020-12-20,2.817,2.927,2.721,2.806,3236354.0
14,2020-12-21,2.805,2.870,2.554,2.600,3161238.3
15,2020-12-22,2.597,2.630,2.429,2.576,2599086.2
16,2020-12-23,2.575,2.594,1.860,2.093,5712064.8
17,2020-12-24,2.093,2.321,2.020,2.310,3953885.5
18,2020-12-25,2.307,2.388,2.222,2.288,3601810.6
19,2020-12-26,2.288,2.307,2.161,2.262,2394910.7
20,2020-12-27,2.263,2.404,2.144,2.278,4116118.6
21,2020-12-28,2.277,2.446,2.257,2.386,3848185.0
22,2020-12-29,2.385,2.443,2.128,2.272,3745463.1
23,2020-12-30,2.276,2.296,2.175,2.218,1864488.5
24,2020-12-31,2.217,2.260,2.149,2.222,1900309.2
25,2021-01-01,2.222,2.368,2.197,2.270,2737592.6
26,2021-01-02,2.270,2.294,2.192,2.254,2512443.8
27,2021-01-03,2.253,2.502,2.203,2.472,5897284.9
28,2021-01-04,2.471,2.708,2.256,2.522,11418776.2
29,2021-01-05,2.522,2.661,2.394,2.616,5496444.4
30,2021-01-06,2.617,3.051,2.538,3.027,7762048.2
31,2021-01-07,3.026,3.187,2.765,2.904,7861736.5
32,2021-01-08,2.904,2.985,2.636,2.870,4857046.8
33,2021-01-09,2.871,3.330,2.781,3.241,7222940.4
34,2021-01-10,3.244,3.728,2.866,3.400,11929404.1
35,2021-01-11,3.398,3.486,2.553,2.902,9618308.9
36,2021-01-12,2.902,2.971,2.662,2.753,4484627.2
37,2021-01-13,2.750,3.019,2.677,2.953,5317534.6
38,2021-01-14,2.953,3.127,2.819,3.032,6767078.3
39,2021-01-15,3.024,3.226,2.708,2.947,8649369.8
40,2021-01-16,2.946,3.257,2.905,3.063,7545241.2
41,2021-01-17,3.062,3.290,2.857,3.191,8139974.2
42,2021-01-18,3.194,3.391,3.060,3.311,11191608.7
43,2021-01-19,3.312,3.449,3.136,3.163,9225295.9
44,2021-01-20,3.161,3.296,2.966,3.240,6264816.0
45,2021-01-21,3.240,3.267,2.673,2.737,5080093.3
46,2021-01-22,2.736,3.055,2.549,2.923,5660318.4
47,2021-01-23,2.922,4.007,2.883,3.941,30409619.7
48,2021-01-24,3.941,4.187,3.431,3.553,21142560.1
49,2021-01-25,3.555,3.677,3.261,3.287,8806607.7
