,time,open,high,low,close,volume
0,2020-12-07,0.9844,1.0184,0.9503,0.9653,8543793
1,2020-12-08,0.9654,0.9662,0.8300,0.8423,14215423
2,2020-12-09,0.8424,0.9239,0.8100,0.8969,10992462
3,2020-12-10,0.8960,0.9084,0.8353,0.8763,8798247
4,2020-12-11,0.8762,0.8801,0.7700,0.8045,13850308
5,2020-12-12,0.8030,0.8851,0.8017,0.8521,7916765
6,2020-12-13,0.8515,0.9192,0.8339,0.8999,8631005
7,2020-12-14,0.8996,0.9361,0.8605,0.9302,6070612
8,2020-12-15,0.9302,0.9503,0.8915,0.9159,8379722
9,2020-12-16,0.9163,1.0302,0.8699,1.0293,11252019
10,2020-12-17,1.0293,1.1197,0.9754,0.9987,22457196
11,2020-12-18,0.9987,1.0647,0.9652,1.0243,10462936
12,2020-12-19,1.0236,1.1100,1.0218,1.0538,8712226
13,2020-12-20,1.0546,1.0571,0.9613,0.9809,6931765
14,2020-12-21,0.9799,1.0186,0.8961,0.8967,8681933
15,2020-12-22,0.8960,0.9597,0.8572,0.9185,10078261
16,2020-12-23,0.9173,1.0001,0.8150,0.8755,18298498
17,2020-12-24,0.8756,0.9400,0.8410,0.9259,10007432
18,2020-12-25,0.9262,0.9648,0.8987,0.9248,5825901
19,2020-12-26,0.9250,0.9364,0.8596,0.8757,6410444
20,2020-12-27,0.8763,0.9766,0.8389,0.8984,12022921
21,2020-12-28,0.8986,1.0615,0.8874,1.0395,11634869
22,2020-12-29,1.0394,1.2300,0.9542,1.2014,16207126
23,2020-12-30,1.2032,1.2587,1.1270,1.2152,19472890
24,2020-12-31,1.2157,1.2214,1.1305,1.1711,9232390
25,2021-01-01,1.1717,1.4230,1.1545,1.2915,19642828
26,2021-01-02,1.2918,1.4030,1.2186,1.2974,12130243
27,2021-01-03,1.2980,1.5341,1.2881,1.4961,14208059
28,2021-01-04,1.4953,1.6026,1.3047,1.5958,17491555
29,2021-01-05,1.5957,1.6680,1.5036,1.5844,10109736
30,2021-01-06,1.5851,1.6608,1.4655,1.5977,11141905
31,2021-01-07,1.5992,1.6285,1.3605,1.4647,12821558
32,2021-01-08,1.4649,1.4714,1.1979,1.3532,13167719
33,2021-01-09,1.3536,1.6047,1.3129,1.5691,10978857
34,2021-01-10,1.5671,1.6499,1.3370,1.4569,10303502
35,2021-01-11,1.4575,1.4607,1.1200,1.3042,15194917
36,2021-01-12,1.3034,1.4231,1.2332,1.2882,12063727
37,2021-01-13,1.2902,1.8568,1.2184,1.8022,36022752
38,2021-01-14,1.8007,1.9493,1.7100,1.9123,17476321
39,2021-01-15,1.9120,1.9982,1.6500,1.8520,12323549
40,2021-01-16,1.8509,2.1469,1.8501,1.9612,11111308
41,2021-01-17,1.9632,2.0200,1.8014,1.9584,9394504
42,2021-01-18,1.9591,2.0915,1.8534,2.0793,6901437
43,2021-01-19,2.0802,2.2093,1.9553,1.9950,7276118
44,2021-01-20,1.9993,2.0637,1.7934,2.0159,8417754
45,2021-01-21,2.0176,2.0407,1.5904,1.6427,8841546
46,2021-01-22,1.6425,2.1714,1.5415,2.1187,14593149
47,2021-01-23,2.1166,2.5580,2.0731,2.3644,15923243
48,2021-01-24,2.3649,2.6386,2.3351,2.5946,7609837
49,2021-01-25,2.5923,2.6421,2.2281,2.3656,6950047
50,2021-01-26,2.3657,2.4679,2.1930,2.4131,6176561
51,2021-01-27,2.4131,2.5530,2.1696,2.5330,8532688
52,2021-01-28,2.5313,3.3630,2.4776,3.1715,17748634
53,2021-01-29,3.1734,3.6680,3.0300,3.6450,12465967
54,2021-01-30,3.6430,4.0212,3.5235,3.8940,9274285
55,2021-01-31,3.8940,4.0584,3.3775,3.6178,7528102
56,2021-02-01,3.6170,4.2800,3.4154,4.1915,9044928
57,2021-02-02,4.1914,4.2840,3.6448,3.7987,6688490
58,2021-02-03,3.7986,3.9160,3.6835,3.7474,5794006
59,2021-02-04,3.7504,4.2172,3.5619,3.9066,10161567
60,2021-02-05,3.9038,4.3838,3.8166,3.9811,11551107
61,2021-02-06,3.9761,4.0364,3.3223,3.5802,10790940
62,2021-02-07,3.5802,3.8500,3.0153,3.7905,13913167
63,2021-02-08,3.7947,4.6335,3.5613,4.6175,14793510
64,2021-02-09,4.6168,4.7802,4.3065,4.5932,8234354
65,2021-02-10,4.5985,5.0005,4.0494,4.4651,9412192
66,2021-02-11,4.4662,4.7381,4.3572,4.5120,5903891
67,2021-02-12,4.5202,4.5581,4.0933,4.3101,9522512
68,2021-02-13,4.3103,4.4675,3.8700,4.4226,13198647
69,2021-02-14,4.4245,4.5727,3.8626,3.9669,10235343
70,2021-02-15,3.9669,4.4080,3.3512,3.8874,14494972
71,2021-02-16,3.8877,4.1971,3.6334,3.9251,9049307
72,2021-02-17,3.9278,4.0925,3.5649,3.9993,6907456
73,2021-02-18,4.0034,4.2993,3.9568,3.9974,6821115
74,2021-02-19,3.9969,5.0000,3.8335,4.7944,13424868
75,2021-02-20,4.7987,5.7390,4.5347,5.1169,19372751
76,2021-02-21,5.1109,5.2957,4.6418,4.7792,8401068
77,2021-02-22,4.7809,4.7879,3.5926,4.4982,16004511
78,2021-02-23,4.5004,4.9011,3.0100,4.8641,23570041
79,2021-02-24,4.8644,5.6000,4.4284,4.9283,21537552
80,2021-02-25,4.9255,5.2789,4.3924,4.4324,10335879
81,2021-02-26,4.4260,4.9566,4.0043,4.4035,10823891
82,2021-02-27,4.4065,4.8390,4.3974,4.5128,9665575
83,2021-02-28,4.5118,4.5459,3.8664,4.3555,8501545
84,2021-03-01,4.3598,5.2000,4.3443,5.1882,7140799
85,2021-03-02,5.1935,5.6690,4.8901,5.1631,8298785
86,2021-03-03,5.1602,6.1552,5.0617,5.7058,8725052
87,2021-03-04,5.7010,5.7674,5.0955,5.2527,7574736
88,2021-03-05,5.2496,5.6708,4.9344,5.5093,6378026
89,2021-03-06,5.5174,5.9304,5.3813,5.6845,5419915
90,2021-03-07,5.6880,5.9899,5.5125,5.6999,3907126
91,2021-03-08,5.6999,5.8488,5.3399,5.8270,4048193
92,2021-03-09,5.8262,6.2086,5.7332,6.1586,4805971
93,2021-03-10,6.1547,6.6838,5.7546,6.3198,8579898
94,2021-03-11,6.3195,6.7987,6.1000,6.4373,7332919
95,2021-03-12,6.4393,6.4905,5.6900,6.0086,7276300
96,2021-03-13,6.0113,6.3127,5.8136,6.1214,3877722
97,2021-03-14,6.1235,6.1687,5.5395,5.5443,5444639
98,2021-03-15,5.5461,5.8738,5.2100,5.6678,6650758
99,2021-03-16,5.6700,5.7748,5.3380,5.5973,4637414
100,2021-03-17,5.6013,5.9100,5.4084,5.8400,4475402
101,2021-03-18,5.8422,6.0250,5.6046,5.6403,3591419
102,2021-03-19,5.6448,5.7179,5.4861,5.5717,3002244
103,2021-03-20,5.5704,6.0617,5.5461,5.7847,3493640
104,2021-03-21,5.7916,5.8258,5.3652,5.6432,3741337
105,2021-03-22,5.6412,5.6814,4.9918,5.2479,5176646
106,2021-03-23,5.2511,5.3668,4.9293,5.1261,5635781
107,2021-03-24,5.1208,5.4226,4.4800,4.6273,6182619
108,2021-03-25,4.6311,4.9217,4.4578,4.7459,6432278
109,2021-03-26,4.7455,5.9500,4.7434,5.9262,8633009
110,2021-03-27,5.9275,6.4319,5.7173,6.2196,6944325
111,2021-03-28,6.2169,6.5081,5.8870,6.1470,5633060
112,2021-03-29,6.1470,6.7900,6.1130,6.7464,5375450
113,2021-03-30,6.7473,7.3406,6.6196,7.2899,8659339
114,2021-03-31,7.2907,8.0855,6.9450,7.9596,9115233
115,2021-04-01,7.9596,8.9550,7.9579,8.3403,8303806
116,2021-04-02,8.3464,8.8285,7.9310,8.4022,5799672
117,2021-04-03,8.4045,9.5053,8.2015,9.2390,9102144
118,2021-04-04,9.2407,10.4491,9.0479,10.3715,9157223
119,2021-04-05,10.3710,10.9237,9.4784,9.8435,7681181
