,time,open,high,low,close,volume
0,2020-12-08,0.13780,0.13876,0.10681,0.12341,153330613
1,2020-12-09,0.12314,0.14566,0.10990,0.13799,242004150
2,2020-12-10,0.13800,0.15012,0.12402,0.12450,198159302
3,2020-12-11,0.12455,0.12721,0.11364,0.11546,112603167
4,2020-12-12,0.11552,0.13187,0.11533,0.12321,82459132
5,2020-12-13,0.12307,0.12700,0.11522,0.11829,68380963
6,2020-12-14,0.11836,0.12054,0.10989,0.11585,69964961
7,2020-12-15,0.11565,0.12380,0.11307,0.11680,66490546
8,2020-12-16,0.11679,0.11981,0.10708,0.11331,71742329
9,2020-12-17,0.11317,0.11610,0.09679,0.09901,97413323
10,2020-12-18,0.09900,0.10857,0.09231,0.10684,118561688
11,2020-12-19,0.10684,0.13168,0.10250,0.12104,147189463
12,2020-12-20,0.12103,0.13357,0.10405,0.10693,183647245
13,2020-12-21,0.10693,0.11364,0.09500,0.09920,97460298
14,2020-12-22,0.09922,0.10091,0.08988,0.09490,69631764
15,2020-12-23,0.09489,0.09512,0.05840,0.06771,142369520
16,2020-12-24,0.06777,0.08241,0.06551,0.08174,127098085
17,2020-12-25,0.08177,0.09196,0.07502,0.09006,64404474
18,2020-12-26,0.09029,0.09497,0.08113,0.09098,53746092
19,2020-12-27,0.09079,0.09810,0.08575,0.08942,69925482
20,2020-12-28,0.08952,0.09451,0.08600,0.08762,37498553
21,2020-12-29,0.08762,0.09367,0.07470,0.08070,59698042
22,2020-12-30,0.08063,0.08132,0.07519,0.07760,30155780
23,2020-12-31,0.07750,0.08108,0.07355,0.07896,28405296
24,2021-01-01,0.07904,0.08584,0.07437,0.08037,44270036
25,2021-01-02,0.08039,0.08056,0.07482,0.07680,68666277
26,2021-01-03,0.07686,0.09076,0.07680,0.08741,47968653
27,2021-01-04,0.08747,0.09586,0.08037,0.09466,81353554
28,2021-01-05,0.09466,0.11366,0.08586,0.11155,130790946
29,2021-01-06,0.11163,0.11808,0.10436,0.11231,61060638
30,2021-01-07,0.11253,0.12250,0.10620,0.11276,70106670
31,2021-01-08,0.11286,0.12003,0.09696,0.10997,86472032
32,2021-01-09,0.11010,0.11420,0.10639,0.11053,34913228
33,2021-01-10,0.11053,0.12641,0.09428,0.10266,103716905
34,2021-01-11,0.10275,0.10384,0.08689,0.09778,176115591
35,2021-01-12,0.09785,0.10690,0.09410,0.10111,52629543
36,2021-01-13,0.10093,0.11894,0.09961,0.11222,49185254
