,time,open,high,low,close,volume
0,2020-12-07,5.160,5.370,5.029,5.205,1932056.3
1,2020-12-08,5.206,5.498,4.580,4.669,5026679.3
2,2020-12-09,4.672,4.940,4.285,4.861,3275225.7
3,2020-12-10,4.861,4.886,4.445,4.633,1631705.6
4,2020-12-11,4.633,4.671,4.128,4.356,1502437.3
5,2020-12-12,4.360,4.618,4.354,4.468,990586.3
6,2020-12-13,4.466,4.788,4.390,4.746,989017.0
7,2020-12-14,4.747,5.464,4.598,5.250,4265127.8
8,2020-12-15,5.249,5.612,5.180,5.473,5352421.7
9,2020-12-16,5.473,5.477,4.930,5.273,3632006.9
10,2020-12-17,5.273,5.639,5.037,5.293,3819076.7
11,2020-12-18,5.295,6.618,5.159,6.131,8857588.0
12,2020-12-19,6.131,6.528,5.915,6.120,3982876.4
13,2020-12-20,6.123,6.393,5.800,5.967,2652104.3
14,2020-12-21,5.962,6.439,5.628,6.119,3374208.8
15,2020-12-22,6.117,7.700,5.709,7.204,9186388.4
16,2020-12-23,7.211,8.416,6.378,7.121,14024658.6
17,2020-12-24,7.128,7.750,6.562,7.472,6605499.7
18,2020-12-25,7.472,7.959,7.010,7.319,3886582.7
19,2020-12-26,7.321,8.785,7.239,8.002,8055732.8
20,2020-12-27,8.003,8.495,7.254,8.051,5958062.2
21,2020-12-28,8.043,8.475,7.816,8.018,3245027.4
22,2020-12-29,8.013,8.158,7.332,7.786,2991584.8
23,2020-12-30,7.791,7.967,7.250,7.343,2054796.0
24,2020-12-31,7.346,7.864,7.048,7.232,2601408.2
25,2021-01-01,7.234,8.553,7.155,8.326,3849980.7
26,2021-01-02,8.326,8.641,7.975,8.193,2701079.3
27,2021-01-03,8.193,9.660,8.007,9.536,3996571.7
28,2021-01-04,9.538,11.502,8.469,11.472,6574963.8
29,2021-01-05,11.478,13.378,10.492,12.405,7859774.1
30,2021-01-06,12.410,13.323,11.508,12.164,4445375.9
31,2021-01-07,12.179,13.300,11.116,11.586,4390148.6
32,2021-01-08,11.592,12.950,9.814,11.808,5625231.1
33,2021-01-09,11.817,13.938,11.068,13.170,3847674.0
34,2021-01-10,13.170,14.810,12.200,14.132,5875553.4
35,2021-01-11,14.139,14.215,10.370,12.814,6184696.5
36,2021-01-12,12.807,16.000,12.102,14.907,6702017.8
37,2021-01-13,14.916,16.565,13.830,15.556,6141667.9
38,2021-01-14,15.556,16.050,14.105,14.730,3161027.6
39,2021-01-15,14.735,15.632,13.175,15.157,4815605.8
40,2021-01-16,15.177,17.178,14.970,15.570,4381554.0
41,2021-01-17,15.577,16.443,14.466,15.674,2660363.8
42,2021-01-18,15.691,15.804,14.880,15.610,1777568.6
43,2021-01-19,15.614,16.807,15.131,15.172,2730419.4
44,2021-01-20,15.180,15.841,13.761,15.767,2224981.4
45,2021-01-21,15.769,15.845,11.744,12.318,3100898.9
46,2021-01-22,12.323,15.076,11.500,14.206,3061031.1
47,2021-01-23,14.200,15.517,13.949,14.619,1865419.2
48,2021-01-24,14.614,17.863,14.446,17.557,4475597.3
49,2021-01-25,17.547,18.339,15.400,15.479,3802679.8
50,2021-01-26,15.490,17.189,14.762,16.866,3047591.0
51,2021-01-27,16.859,17.343,14.719,15.262,3344121.4
52,2021-01-28,15.263,18.000,14.871,16.939,3062290.3
53,2021-01-29,16.938,17.503,16.000,17.051,2440392.0
54,2021-01-30,17.039,18.716,16.409,17.895,2171303.4
55,2021-01-31,17.904,19.639,17.093,17.242,2932496.9
56,2021-02-01,17.244,17.920,16.832,17.588,1655522.1
57,2021-02-02,17.585,17.659,16.406,17.062,2004545.5
58,2021-02-03,17.072,18.114,16.840,17.230,2173528.1
59,2021-02-04,17.221,21.220,17.100,19.684,5723955.0
60,2021-02-05,19.698,23.787,19.607,23.694,5200472.1
61,2021-02-06,23.697,24.299,19.670,21.055,4520476.0
62,2021-02-07,21.086,21.599,17.807,20.098,3625002.7
63,2021-02-08,20.103,22.494,19.525,21.390,4013626.6
64,2021-02-09,21.394,27.360,20.930,24.779,4867244.5
65,2021-02-10,24.763,27.794,23.000,25.080,5047394.0
66,2021-02-11,25.080,26.875,24.412,26.188,3686588.0
67,2021-02-12,26.193,28.383,25.163,27.210,3424981.6
68,2021-02-13,27.217,28.237,24.588,26.467,3410071.7
